Loss_Adversary	Accuracy_Adversary	Loss_Target	Accuracy_Target	
0.0004	0.3385	0.7911	50.0000	50.0000	
-0.0078	0.3352	0.7560	50.0000	50.0000	
-0.0160	0.3321	0.7216	50.0000	50.0000	
-0.0240	0.3291	0.6879	50.0000	50.0000	
-0.0319	0.3261	0.6546	50.0000	50.0000	
-0.0399	0.3232	0.6212	50.0000	50.0000	
-0.0479	0.3204	0.5881	50.0000	50.0000	
-0.0559	0.3177	0.5551	50.0000	50.0000	
-0.0639	0.3151	0.5221	50.0000	50.0000	
-0.0718	0.3126	0.4898	50.0000	50.0000	
-0.0796	0.3101	0.4582	50.0000	50.0000	
-0.0870	0.3077	0.4279	50.0000	50.0000	
-0.0942	0.3054	0.3986	50.0000	50.0000	
-0.1008	0.3032	0.3714	50.0000	50.0000	
-0.1070	0.3010	0.3456	50.0000	50.0000	
-0.1132	0.2988	0.3200	50.0000	50.0000	
-0.1176	0.2950	0.2962	50.0000	50.0000	
-0.1194	0.2881	0.2744	50.0000	50.0000	
-0.1202	0.2810	0.2550	50.0000	50.0000	
-0.1207	0.2741	0.2372	50.0000	57.7000	
-0.1201	0.2667	0.2219	50.0000	84.4250	
-0.1186	0.2589	0.2088	50.0000	87.5250	
-0.1162	0.2509	0.1981	50.0000	88.6500	
-0.1132	0.2428	0.1893	50.0000	88.9000	
-0.1094	0.2346	0.1827	58.7500	88.8500	
-0.1043	0.2253	0.1783	74.1750	88.8000	
-0.0985	0.2158	0.1751	74.6000	89.9000	
-0.0932	0.2073	0.1730	74.3000	90.7500	
-0.0885	0.1999	0.1715	74.7750	92.4750	
-0.0849	0.1946	0.1709	75.3250	93.8250	
-0.0834	0.1931	0.1726	75.2000	95.1250	
-0.0832	0.1955	0.1790	74.9750	95.3000	
-0.0849	0.2062	0.1983	72.6250	91.6000	
-0.0874	0.2291	0.2432	63.0750	77.7000	
-0.0907	0.2376	0.2523	63.0250	79.9750	
-0.0973	0.2407	0.2372	69.6000	94.2250	
-0.0983	0.2496	0.2546	64.3000	92.9250	
-0.1009	0.2656	0.2833	51.7000	77.5750	
-0.0980	0.2695	0.3022	41.4500	61.6500	
-0.0959	0.2698	0.3098	35.8000	65.5750	
-0.0941	0.2663	0.3077	41.3000	60.5000	
-0.0930	0.2608	0.2984	45.3750	55.4500	
-0.0926	0.2555	0.2876	48.1000	57.1750	
-0.0927	0.2511	0.2771	51.4000	60.9750	
