Loss_Adversary	Accuracy_Adversary	Loss_Target	Accuracy_Target	
0.6667	0.6436	0.8122	50.0000	50.0000	
0.6327	0.5967	0.7692	50.0000	50.0000	
0.5993	0.5631	0.7285	50.0000	50.0000	
0.5670	0.5433	0.6904	50.0000	50.0000	
0.5369	0.5249	0.6548	50.0000	50.0000	
0.5089	0.5071	0.6217	50.0000	50.0000	
0.4827	0.4901	0.5908	50.0000	50.0000	
0.4582	0.4734	0.5617	50.0000	50.0000	
0.4340	0.4572	0.5330	50.0000	50.0000	
0.4106	0.4417	0.5053	50.0000	50.0000	
0.3943	0.4267	0.4855	50.0000	50.0000	
0.3847	0.4125	0.4733	50.0000	50.0000	
0.3763	0.3990	0.4624	50.0000	50.0000	
0.3678	0.3860	0.4516	50.0000	50.0000	
0.3593	0.3733	0.4407	50.0000	50.0000	
0.3506	0.3612	0.4297	50.0000	50.0000	
0.3418	0.3496	0.4186	50.0000	50.0000	
0.3328	0.3384	0.4073	50.0000	50.0000	
0.3234	0.3279	0.3957	50.0000	50.0000	
0.3136	0.3181	0.3838	50.0000	50.0000	
0.3040	0.3088	0.3721	50.0000	50.0000	
0.2944	0.3002	0.3605	50.0000	50.0000	
0.2852	0.2923	0.3493	50.0000	50.0000	
0.2763	0.2853	0.3387	50.0000	50.0000	
0.2680	0.2790	0.3288	50.0000	50.0000	
0.2603	0.2734	0.3196	50.0000	50.0000	
0.2536	0.2681	0.3116	50.0000	50.0000	
0.2476	0.2635	0.3044	50.0000	50.0000	
0.2421	0.2595	0.2978	50.0000	50.0000	
0.2373	0.2557	0.2921	50.0000	50.0000	
0.2325	0.2525	0.2864	50.0000	50.0000	
0.2277	0.2496	0.2808	50.0000	50.0000	
0.2224	0.2473	0.2745	50.0000	50.0000	
0.2164	0.2453	0.2677	50.0000	50.0000	
0.2097	0.2433	0.2601	50.0000	50.0000	
0.2022	0.2416	0.2515	50.0000	42.1500	
0.1944	0.2399	0.2426	50.0000	41.4500	
0.1866	0.2380	0.2338	50.0000	45.6250	
0.1787	0.2357	0.2247	50.0000	47.8500	
0.1700	0.2337	0.2149	50.0000	48.5000	
0.1609	0.2319	0.2045	50.0000	48.8500	
0.1523	0.2298	0.1948	50.0000	48.9000	
0.1449	0.2275	0.1862	50.0000	49.0000	
0.1390	0.2251	0.1794	50.1500	48.9500	
0.1351	0.2226	0.1748	50.6250	48.7750	
0.1325	0.2202	0.1717	50.8000	48.5250	
0.1305	0.2181	0.1692	50.6000	48.3000	
0.1290	0.2160	0.1673	51.3750	48.0250	
0.1278	0.2140	0.1658	52.3500	47.8250	
0.1268	0.2120	0.1645	52.7750	47.7250	
0.1260	0.2101	0.1634	59.2250	47.6750	
0.1252	0.2079	0.1622	68.3750	47.6500	
0.1242	0.2057	0.1609	73.3000	47.5500	
0.1232	0.2033	0.1595	74.4000	47.4250	
0.1222	0.2009	0.1581	74.2000	47.1750	
0.1212	0.1984	0.1567	74.0250	46.8500	
0.1203	0.1960	0.1554	73.8250	46.6500	
0.1194	0.1937	0.1542	73.7750	46.3000	
0.1186	0.1919	0.1531	73.8000	46.2750	
0.1179	0.1900	0.1521	73.7750	46.2750	
0.1171	0.1885	0.1511	73.8250	46.4250	
0.1164	0.1869	0.1501	73.8750	46.4500	
0.1157	0.1858	0.1492	73.8750	46.7250	
0.1150	0.1848	0.1483	73.7500	47.0250	
0.1144	0.1838	0.1475	73.5750	47.3000	
0.1138	0.1830	0.1467	74.1250	47.4000	
0.1132	0.1820	0.1460	74.1500	47.5750	
0.1128	0.1812	0.1455	74.1250	47.6500	
0.1125	0.1803	0.1450	74.2250	47.7000	
0.1122	0.1793	0.1445	74.1750	47.7250	
0.1119	0.1789	0.1442	74.0250	47.5750	
0.1116	0.1781	0.1438	73.9250	47.8500	
0.1114	0.1779	0.1435	74.0750	47.7500	
0.1112	0.1772	0.1432	74.0250	47.9000	
0.1109	0.1768	0.1429	73.9750	47.9000	
0.1107	0.1766	0.1426	73.9250	47.8750	
0.1105	0.1762	0.1423	73.5250	47.9250	
0.1103	0.1759	0.1421	73.5500	48.0000	
0.1101	0.1758	0.1418	73.5000	48.0500	
0.1099	0.1755	0.1416	73.5750	48.1250	
0.1096	0.1753	0.1413	73.5750	48.2000	
0.1094	0.1753	0.1411	73.5750	48.2250	
0.1092	0.1752	0.1409	73.1250	48.2000	
0.1090	0.1750	0.1406	73.3500	48.1750	
0.1089	0.1748	0.1404	73.2500	48.2250	
0.1087	0.1748	0.1402	72.4000	48.2000	
0.1085	0.1748	0.1400	72.7000	48.2000	
0.1083	0.1747	0.1397	73.3250	48.2250	
0.1081	0.1745	0.1396	72.9500	48.2000	
0.1079	0.1746	0.1393	72.5500	48.2250	
0.1078	0.1746	0.1391	72.3750	48.2000	
0.1076	0.1745	0.1389	72.2250	48.1750	
0.1074	0.1742	0.1387	72.2500	48.1750	
0.1072	0.1743	0.1385	72.7750	48.2500	
0.1070	0.1743	0.1383	72.4000	48.2750	
0.1068	0.1743	0.1381	72.4250	48.2500	
0.1066	0.1742	0.1378	71.7750	48.2750	
0.1064	0.1741	0.1376	71.8500	48.2500	
0.1062	0.1740	0.1374	71.8500	48.2500	
0.1060	0.1741	0.1372	71.9500	48.2250	
0.1058	0.1739	0.1369	71.8000	48.2750	
0.1056	0.1740	0.1367	71.4500	48.2500	
0.1054	0.1739	0.1364	71.1250	48.2500	
0.1052	0.1737	0.1362	71.5000	48.2250	
