Loss_Adversary	Accuracy_Adversary	Loss_Target	Accuracy_Target	
0.2263	0.3385	0.7911	50.0000	50.0000	
0.2104	0.3352	0.7560	50.0000	50.0000	
0.1947	0.3321	0.7216	50.0000	50.0000	
0.1794	0.3291	0.6879	50.0000	50.0000	
0.1643	0.3261	0.6546	50.0000	50.0000	
0.1490	0.3232	0.6212	50.0000	50.0000	
0.1339	0.3204	0.5881	50.0000	50.0000	
0.1187	0.3177	0.5551	50.0000	50.0000	
0.1035	0.3151	0.5221	50.0000	50.0000	
0.0886	0.3126	0.4898	50.0000	50.0000	
0.0740	0.3101	0.4582	50.0000	50.0000	
0.0600	0.3077	0.4277	50.0000	50.0000	
0.0465	0.3054	0.3984	50.0000	50.0000	
0.0339	0.3032	0.3710	50.0000	50.0000	
0.0221	0.3010	0.3452	50.0000	50.0000	
0.0103	0.2988	0.3193	50.0000	50.0000	
0.0001	0.2950	0.2953	50.0000	50.0000	
-0.0074	0.2880	0.2733	50.0000	50.0000	
-0.0135	0.2808	0.2538	50.0000	50.0000	
-0.0188	0.2737	0.2361	50.0000	58.0000	
-0.0226	0.2660	0.2207	50.0000	85.2000	
-0.0251	0.2578	0.2075	50.0000	87.8250	
-0.0265	0.2495	0.1965	50.0000	88.8750	
-0.0268	0.2409	0.1874	50.0000	88.7750	
-0.0257	0.2319	0.1806	66.0750	88.6000	
-0.0231	0.2222	0.1759	74.4750	88.4250	
-0.0201	0.2129	0.1728	74.9250	88.5750	
-0.0173	0.2053	0.1707	75.1750	88.7000	
-0.0149	0.1991	0.1694	75.2000	88.8250	
-0.0127	0.1937	0.1683	75.1250	89.2000	
-0.0109	0.1895	0.1677	75.1750	89.3250	
-0.0097	0.1865	0.1671	75.2500	90.0500	
-0.0087	0.1842	0.1669	75.1250	90.6250	
-0.0078	0.1823	0.1666	75.5000	90.5250	
-0.0071	0.1807	0.1664	75.3500	91.1250	
-0.0068	0.1795	0.1659	75.6000	91.9500	
-0.0068	0.1795	0.1659	75.2750	92.5500	
-0.0070	0.1801	0.1661	75.4000	93.2750	
-0.0070	0.1805	0.1665	75.3000	93.9000	
-0.0067	0.1801	0.1666	75.0750	94.3750	
-0.0061	0.1784	0.1662	75.1000	94.9500	
-0.0058	0.1765	0.1650	75.2000	95.1750	
-0.0053	0.1747	0.1640	75.2250	95.4250	
-0.0050	0.1736	0.1636	75.3500	95.8500	
-0.0045	0.1728	0.1638	75.1750	96.3500	
-0.0040	0.1718	0.1639	75.1750	96.4000	
-0.0036	0.1703	0.1631	75.0750	96.4250	
-0.0033	0.1690	0.1625	74.7750	96.8250	
-0.0033	0.1681	0.1614	75.2250	96.7750	
-0.0042	0.1675	0.1591	75.2250	96.5000	
-0.0066	0.1668	0.1536	75.2250	96.5750	
-0.0086	0.1658	0.1486	75.0000	96.2000	
-0.0123	0.1651	0.1405	52.2250	97.3750	
-0.0163	0.1648	0.1322	51.0500	98.5000	
-0.0214	0.1636	0.1209	50.3000	98.6250	
-0.0275	0.1619	0.1070	49.7250	96.9500	
-0.0334	0.1586	0.0918	49.7250	93.5000	
-0.0393	0.1568	0.0782	52.3500	89.9750	
-0.0441	0.1559	0.0677	63.0000	88.0750	
-0.0474	0.1533	0.0586	61.9000	83.0000	
-0.0502	0.1522	0.0517	62.0000	80.5750	
-0.0523	0.1524	0.0478	71.6500	78.3500	
-0.0537	0.1522	0.0449	65.4500	76.2750	
-0.0548	0.1515	0.0419	58.2750	73.3250	
-0.0557	0.1504	0.0391	53.1750	74.6750	
-0.0569	0.1495	0.0358	51.6000	75.4250	
-0.0577	0.1483	0.0330	51.4750	77.0750	
-0.0587	0.1477	0.0303	50.8000	79.2500	
-0.0594	0.1473	0.0285	50.1000	79.4750	
-0.0603	0.1465	0.0258	50.4500	76.9000	
-0.0611	0.1461	0.0239	50.5750	77.1500	
-0.0617	0.1465	0.0230	49.2250	78.2000	
-0.0624	0.1461	0.0214	48.7000	76.0000	
-0.0631	0.1451	0.0189	48.5000	75.4500	
-0.0638	0.1452	0.0176	46.3500	76.2000	
-0.0641	0.1477	0.0194	40.8000	76.7500	
-0.0645	0.1464	0.0174	41.2500	75.8500	
-0.0645	0.1443	0.0153	43.9000	75.7750	
-0.0652	0.1458	0.0155	39.8250	75.9500	
-0.0655	0.1451	0.0141	41.8500	75.4000	
-0.0659	0.1446	0.0128	46.4250	75.3250	
-0.0664	0.1458	0.0129	42.7250	76.3750	
-0.0668	0.1455	0.0119	43.9000	74.6000	
-0.0670	0.1455	0.0115	47.6750	75.2500	
-0.0674	0.1464	0.0117	46.5750	76.2500	
-0.0677	0.1457	0.0103	46.4500	73.8250	
