Loss_Adversary	Accuracy_Adversary	Loss_Target	Accuracy_Target	
0.5251	0.4214	0.6302	50.0000	50.0000	
0.5191	0.4132	0.6226	50.0000	50.0000	
0.5122	0.4057	0.6142	50.0000	50.0000	
0.5049	0.3988	0.6053	50.0000	50.0000	
0.4975	0.3923	0.5964	50.0000	50.0000	
0.4900	0.3861	0.5873	50.0000	50.0000	
0.4820	0.3803	0.5778	50.0000	50.0000	
0.4735	0.3747	0.5678	50.0000	50.0000	
0.4643	0.3693	0.5570	50.0000	50.0000	
0.4546	0.3641	0.5455	50.0000	50.0000	
0.4443	0.3588	0.5335	50.0000	50.0000	
0.4333	0.3538	0.5207	50.0000	50.0000	
0.4219	0.3488	0.5075	50.0000	50.0000	
0.4100	0.3439	0.4937	50.0000	50.0000	
0.3978	0.3390	0.4796	50.0000	50.0000	
0.3855	0.3341	0.4654	50.0000	50.0000	
0.3730	0.3293	0.4510	50.0000	50.0000	
0.3605	0.3245	0.4366	50.0000	50.0000	
0.3483	0.3197	0.4225	50.0000	50.0000	
0.3360	0.3148	0.4083	50.0000	50.0000	
0.3240	0.3101	0.3944	50.0000	50.0000	
0.3119	0.3055	0.3805	50.0000	50.0000	
0.3002	0.3010	0.3670	50.0000	50.0000	
0.2886	0.2965	0.3536	50.0000	50.0000	
0.2775	0.2919	0.3408	50.0000	50.0000	
0.2668	0.2874	0.3284	50.0000	50.0000	
0.2564	0.2829	0.3163	50.0000	50.0000	
0.2465	0.2783	0.3048	50.0000	50.0000	
0.2370	0.2737	0.2937	50.0000	50.0000	
0.2280	0.2690	0.2832	50.0000	50.0000	
0.2194	0.2643	0.2731	50.0000	50.0000	
0.2113	0.2596	0.2637	50.0000	50.0000	
0.2038	0.2547	0.2547	50.0000	50.0000	
0.1966	0.2499	0.2462	50.0000	50.0000	
0.1898	0.2450	0.2381	50.0000	50.0000	
0.1835	0.2401	0.2306	50.0000	50.0000	
0.1777	0.2352	0.2236	50.0000	50.0000	
0.1721	0.2304	0.2169	50.0000	50.0000	
0.1670	0.2255	0.2106	50.0000	50.0000	
0.1623	0.2209	0.2048	50.0000	50.0000	
0.1579	0.2162	0.1995	50.0000	50.0000	
0.1538	0.2117	0.1945	50.0000	50.0000	
0.1496	0.2072	0.1892	50.0000	50.0000	
0.1443	0.2032	0.1829	50.0000	50.0000	
0.1389	0.1990	0.1765	50.0000	50.0000	
0.1341	0.1953	0.1707	50.0000	50.0000	
0.1301	0.1915	0.1658	50.0000	50.0000	
0.1270	0.1880	0.1620	50.0000	57.0500	
0.1248	0.1848	0.1592	50.0000	75.1000	
0.1235	0.1818	0.1574	50.0000	79.0500	
0.1225	0.1792	0.1561	50.0000	80.2500	
0.1219	0.1769	0.1551	50.0000	80.4250	
0.1215	0.1748	0.1544	50.0000	80.8000	
0.1213	0.1727	0.1539	50.0000	81.1000	
0.1211	0.1708	0.1535	49.1000	81.5750	
0.1209	0.1693	0.1531	42.0250	81.7000	
0.1208	0.1676	0.1528	36.3250	82.1750	
0.1206	0.1661	0.1525	32.4750	82.5000	
0.1205	0.1649	0.1523	31.1750	82.7750	
0.1204	0.1634	0.1519	29.9750	82.6500	
0.1201	0.1624	0.1515	29.6250	83.5750	
0.1198	0.1608	0.1510	29.0500	83.5000	
0.1192	0.1596	0.1502	28.4500	84.8000	
0.1182	0.1583	0.1490	27.9000	86.0250	
0.1165	0.1570	0.1468	27.4000	88.1750	
0.1133	0.1556	0.1431	26.9750	92.0000	
0.1078	0.1546	0.1370	26.5500	96.4750	
0.0992	0.1529	0.1273	26.1500	98.9250	
0.0890	0.1513	0.1156	25.9500	96.3250	
0.0788	0.1498	0.1042	26.0250	87.9000	
0.0683	0.1497	0.0925	26.5250	79.4000	
0.0573	0.1486	0.0802	26.9500	78.0250	
0.0477	0.1483	0.0694	27.6500	77.3750	
0.0396	0.1485	0.0605	28.5250	79.7500	
0.0330	0.1490	0.0532	28.9750	80.4750	
0.0277	0.1497	0.0474	30.2250	80.8500	
0.0236	0.1497	0.0428	30.3250	79.9500	
0.0205	0.1496	0.0394	30.4000	79.3750	
0.0181	0.1491	0.0367	30.0500	79.1750	
0.0161	0.1489	0.0345	29.3750	78.8500	
0.0145	0.1485	0.0327	29.2250	78.3000	
0.0133	0.1478	0.0312	28.3750	77.6500	
0.0121	0.1474	0.0298	28.3250	77.3000	
0.0111	0.1470	0.0287	28.2250	77.1250	
0.0103	0.1466	0.0277	28.1500	76.9250	
0.0095	0.1464	0.0268	27.9500	76.6500	
0.0087	0.1460	0.0259	27.7500	76.5750	
0.0081	0.1455	0.0251	27.6000	76.2250	
0.0075	0.1454	0.0244	27.4750	76.2500	
0.0069	0.1450	0.0237	27.1500	76.0250	
0.0063	0.1451	0.0231	27.2750	75.9750	
0.0058	0.1446	0.0225	27.1000	76.0000	
0.0053	0.1444	0.0219	27.0500	75.9250	
0.0048	0.1442	0.0214	26.7000	75.8500	
0.0044	0.1439	0.0209	26.7000	75.7250	
0.0039	0.1437	0.0204	26.6250	75.6750	
0.0036	0.1436	0.0199	26.4250	75.6000	
0.0032	0.1433	0.0195	26.3000	75.5500	
0.0028	0.1430	0.0190	26.3000	75.5500	
0.0024	0.1429	0.0186	26.0500	75.5000	
0.0021	0.1427	0.0182	26.3250	75.5000	
0.0018	0.1424	0.0178	25.9750	75.5250	
0.0014	0.1425	0.0174	25.9750	75.5250	
0.0011	0.1422	0.0171	25.9500	75.1750	
0.0008	0.1419	0.0167	26.0500	75.3250	
0.0005	0.1418	0.0164	25.6750	75.2250	
0.0002	0.1418	0.0160	25.6750	75.2250	
-0.0000	0.1416	0.0157	25.6750	75.2750	
-0.0003	0.1414	0.0154	25.8250	75.3000	
-0.0005	0.1412	0.0151	25.8000	75.0750	
-0.0008	0.1412	0.0148	25.9250	74.9500	
-0.0010	0.1414	0.0146	26.1750	74.9750	
-0.0012	0.1410	0.0143	26.0750	75.2250	
-0.0014	0.1410	0.0141	26.0500	75.1000	
-0.0017	0.1407	0.0138	26.0500	75.1250	
-0.0019	0.1407	0.0135	25.9500	75.1000	
-0.0021	0.1406	0.0133	25.9250	74.9000	
-0.0023	0.1404	0.0130	26.0750	74.9750	
-0.0025	0.1404	0.0128	26.2000	75.0250	
-0.0027	0.1404	0.0126	26.1500	75.2250	
-0.0028	0.1404	0.0124	25.9250	75.0500	
-0.0030	0.1402	0.0122	26.0000	75.1000	
-0.0032	0.1403	0.0120	26.2250	74.8750	
-0.0034	0.1401	0.0118	26.3500	74.8000	
-0.0036	0.1398	0.0116	26.2000	74.9250	
-0.0037	0.1399	0.0114	26.4750	75.0250	
-0.0039	0.1398	0.0112	26.3250	74.8250	
-0.0041	0.1398	0.0110	26.4250	74.8250	
-0.0042	0.1397	0.0109	26.7250	75.0250	
-0.0044	0.1395	0.0106	27.1000	74.8500	
-0.0045	0.1396	0.0105	27.2750	74.7750	
-0.0047	0.1395	0.0103	27.2750	74.8000	
-0.0048	0.1394	0.0102	27.5500	74.7750	
-0.0049	0.1394	0.0100	28.0250	74.7500	
-0.0051	0.1393	0.0098	28.5000	74.7500	
-0.0052	0.1394	0.0097	28.9000	74.8750	
-0.0053	0.1393	0.0095	29.4000	74.8000	
-0.0054	0.1392	0.0094	29.8000	74.7000	
-0.0056	0.1391	0.0093	30.2250	74.8250	
-0.0057	0.1390	0.0091	30.5000	74.9000	
-0.0058	0.1390	0.0090	31.4750	74.8000	
-0.0060	0.1389	0.0088	32.1500	74.5750	
-0.0061	0.1390	0.0087	32.7000	74.6750	
-0.0062	0.1388	0.0086	33.1500	74.8250	
-0.0063	0.1390	0.0084	33.7250	74.9250	
-0.0064	0.1387	0.0083	33.7250	74.7500	
-0.0065	0.1388	0.0082	33.7750	74.6750	
-0.0066	0.1387	0.0080	34.2500	74.7000	
-0.0067	0.1386	0.0079	34.7750	74.8000	
-0.0068	0.1387	0.0078	33.9750	74.8000	
-0.0069	0.1386	0.0077	35.1250	74.6250	
-0.0070	0.1385	0.0076	34.6000	74.8000	
-0.0071	0.1385	0.0074	34.7500	74.6750	
-0.0072	0.1385	0.0073	35.4250	74.7500	
-0.0073	0.1385	0.0072	35.4500	74.8000	
-0.0074	0.1384	0.0071	35.6000	74.7000	
-0.0075	0.1384	0.0070	35.7000	74.9000	
-0.0076	0.1384	0.0069	35.7000	74.7000	
-0.0077	0.1384	0.0068	35.5000	74.7500	
-0.0078	0.1383	0.0067	36.0500	74.8250	
-0.0079	0.1385	0.0066	35.5750	74.8000	
-0.0079	0.1384	0.0066	36.4750	74.9250	
-0.0080	0.1383	0.0065	36.8250	74.8250	
-0.0081	0.1386	0.0064	36.5250	74.7500	
-0.0082	0.1383	0.0063	36.5750	74.9250	
-0.0082	0.1382	0.0062	36.7250	74.9250	
-0.0083	0.1384	0.0062	36.9250	75.0250	
-0.0084	0.1381	0.0061	36.2250	74.8500	
-0.0085	0.1384	0.0059	37.2750	74.7000	
-0.0086	0.1384	0.0059	36.8000	75.0500	
-0.0086	0.1381	0.0058	37.9500	74.9500	
-0.0087	0.1381	0.0057	37.4750	74.8750	
-0.0087	0.1380	0.0056	37.4000	75.0250	
-0.0088	0.1381	0.0056	38.3500	74.9000	
-0.0089	0.1382	0.0055	40.0000	74.8750	
-0.0089	0.1380	0.0054	38.0000	74.7000	
-0.0090	0.1380	0.0054	39.2250	74.9500	
-0.0090	0.1381	0.0053	40.1500	74.8250	
-0.0091	0.1379	0.0052	40.7500	74.7750	
-0.0091	0.1379	0.0052	41.5250	74.9750	
-0.0092	0.1379	0.0051	41.8750	74.9250	
-0.0093	0.1382	0.0051	39.6000	74.6750	
-0.0093	0.1379	0.0050	44.2250	74.9000	
-0.0093	0.1379	0.0050	43.8250	74.8500	
-0.0094	0.1379	0.0049	44.4500	74.9250	
-0.0094	0.1379	0.0048	44.6250	74.7500	
-0.0095	0.1379	0.0048	42.5750	74.7000	
-0.0095	0.1379	0.0047	44.9750	74.7750	
-0.0096	0.1382	0.0047	41.1000	74.7250	
-0.0096	0.1377	0.0046	45.9750	74.7500	
-0.0097	0.1379	0.0046	45.4750	74.9000	
-0.0097	0.1378	0.0045	46.3750	74.9000	
-0.0098	0.1378	0.0045	45.0250	74.8500	
-0.0098	0.1378	0.0044	44.2750	74.6000	
-0.0098	0.1376	0.0044	47.0750	74.7000	
-0.0099	0.1377	0.0043	47.6750	74.7250	
-0.0099	0.1379	0.0043	45.9500	74.7250	
-0.0100	0.1378	0.0042	49.1250	74.8750	
-0.0100	0.1377	0.0042	47.5000	74.7750	
-0.0101	0.1379	0.0041	47.5750	74.6000	
-0.0101	0.1377	0.0041	46.0250	74.6750	
-0.0101	0.1377	0.0040	48.8750	74.7500	
-0.0102	0.1377	0.0040	49.2750	74.6750	
-0.0102	0.1376	0.0040	49.3000	74.7250	
-0.0102	0.1377	0.0039	49.2250	74.7750	
-0.0102	0.1376	0.0039	50.5250	74.8750	
-0.0103	0.1376	0.0039	47.4250	74.7000	
-0.0103	0.1376	0.0038	50.4000	74.6250	
-0.0104	0.1374	0.0038	50.6500	74.7000	
-0.0104	0.1375	0.0037	49.0250	74.6250	
-0.0104	0.1375	0.0037	48.8250	74.8000	
-0.0105	0.1375	0.0037	49.7500	74.6250	
-0.0105	0.1377	0.0036	51.9000	74.8000	
-0.0105	0.1375	0.0036	49.3500	74.6250	
-0.0106	0.1375	0.0035	51.0000	74.6500	
-0.0106	0.1375	0.0035	51.4000	74.6750	
-0.0106	0.1377	0.0035	49.5000	74.6500	
-0.0106	0.1375	0.0034	53.3750	74.3750	
-0.0107	0.1376	0.0034	51.3250	74.9250	
-0.0107	0.1375	0.0034	52.5000	74.6000	
-0.0107	0.1374	0.0034	51.8500	74.6000	
-0.0108	0.1374	0.0033	51.1750	74.7750	
-0.0108	0.1373	0.0033	51.3500	74.6000	
-0.0108	0.1374	0.0032	51.8750	74.5250	
-0.0108	0.1374	0.0032	51.2500	74.6750	
-0.0109	0.1375	0.0032	53.0000	74.7250	
-0.0109	0.1373	0.0032	51.1250	74.7250	
-0.0109	0.1374	0.0031	52.1250	74.5750	
-0.0109	0.1375	0.0031	52.5500	74.6000	
-0.0110	0.1374	0.0031	53.1000	74.4000	
-0.0110	0.1373	0.0031	51.6750	74.7000	
-0.0110	0.1374	0.0030	53.2250	74.6500	
-0.0110	0.1374	0.0030	51.4500	74.7000	
-0.0111	0.1373	0.0030	52.2500	74.5000	
-0.0111	0.1373	0.0029	52.9750	74.7250	
-0.0111	0.1373	0.0029	51.8750	74.6000	
-0.0111	0.1373	0.0029	53.7250	74.6750	
-0.0112	0.1373	0.0029	52.6000	74.4250	
-0.0112	0.1374	0.0028	53.5000	74.5750	
-0.0112	0.1373	0.0028	52.5750	74.4750	
-0.0112	0.1373	0.0028	53.1750	74.5250	
-0.0113	0.1373	0.0028	52.8750	74.6250	
-0.0112	0.1373	0.0028	52.3000	74.5000	
-0.0113	0.1372	0.0027	53.8500	74.6750	
-0.0113	0.1372	0.0027	53.2750	74.6750	
-0.0113	0.1373	0.0027	52.6750	74.6500	
-0.0113	0.1372	0.0027	54.0750	74.6000	
-0.0114	0.1373	0.0026	53.0750	74.5250	
-0.0114	0.1372	0.0026	54.1500	74.4750	
