Loss_Adversary	Accuracy_Adversary	Loss_Target	Accuracy_Target	
0.0754	0.6287	0.7796	50.0000	50.0000	
0.0725	0.5964	0.7415	50.0000	50.0000	
0.0694	0.5675	0.7063	50.0000	50.0000	
0.0658	0.5424	0.6740	50.0000	50.0000	
0.0599	0.5240	0.6438	50.0000	50.0000	
0.0538	0.5076	0.6152	50.0000	50.0000	
0.0484	0.4914	0.5882	50.0000	50.0000	
0.0436	0.4756	0.5628	50.0000	50.0000	
0.0393	0.4603	0.5389	50.0000	50.0000	
0.0355	0.4453	0.5163	50.0000	50.0000	
0.0322	0.4308	0.4952	50.0000	50.0000	
0.0300	0.4167	0.4767	50.0000	50.0000	
0.0291	0.4031	0.4612	50.0000	50.0000	
0.0299	0.3901	0.4499	50.0000	50.0000	
0.0312	0.3777	0.4402	50.0000	50.0000	
0.0324	0.3658	0.4305	50.0000	50.0000	
0.0333	0.3544	0.4210	50.0000	50.0000	
0.0338	0.3437	0.4113	50.0000	50.0000	
0.0341	0.3336	0.4017	50.0000	50.0000	
0.0341	0.3240	0.3922	50.0000	50.0000	
0.0338	0.3150	0.3827	50.0000	50.0000	
0.0333	0.3068	0.3734	50.0000	50.0000	
0.0325	0.2993	0.3642	50.0000	50.0000	
0.0315	0.2924	0.3553	50.0000	50.0000	
0.0303	0.2862	0.3468	50.0000	50.0000	
0.0290	0.2806	0.3387	50.0000	50.0000	
0.0275	0.2758	0.3309	50.0000	50.0000	
0.0258	0.2717	0.3233	50.0000	50.0000	
0.0241	0.2681	0.3163	50.0000	50.0000	
0.0223	0.2652	0.3097	50.0000	50.0000	
0.0206	0.2627	0.3038	50.0000	50.0000	
0.0189	0.2609	0.2988	50.0000	50.0000	
0.0175	0.2595	0.2946	50.0000	50.0000	
0.0163	0.2584	0.2910	50.0000	50.0000	
0.0152	0.2577	0.2882	50.0000	50.0000	
0.0144	0.2572	0.2861	50.0000	50.0000	
0.0141	0.2564	0.2846	50.0000	50.0000	
0.0131	0.2559	0.2821	50.0000	50.0000	
0.0114	0.2559	0.2787	50.0000	50.0000	
0.0104	0.2561	0.2769	50.0000	40.8000	
0.0091	0.2563	0.2746	68.3000	37.7000	
0.0079	0.2560	0.2718	74.0000	41.4000	
0.0064	0.2556	0.2685	74.9000	42.8000	
0.0048	0.2548	0.2645	74.9000	49.0000	
0.0031	0.2536	0.2598	73.9000	50.3000	
0.0012	0.2518	0.2542	74.8000	50.6000	
-0.0008	0.2493	0.2477	75.6000	34.9000	
-0.0031	0.2464	0.2401	74.9000	30.6000	
-0.0062	0.2430	0.2307	75.1000	30.1000	
-0.0107	0.2392	0.2177	75.2000	30.4000	
-0.0152	0.2347	0.2044	75.2000	31.4000	
-0.0188	0.2298	0.1921	75.2000	32.4000	
-0.0214	0.2244	0.1815	74.8000	36.1000	
-0.0232	0.2184	0.1720	70.7000	40.2000	
-0.0241	0.2133	0.1650	61.3000	40.4000	
-0.0242	0.2080	0.1596	53.8000	39.9000	
-0.0236	0.2037	0.1565	52.1000	40.2000	
-0.0228	0.2011	0.1555	50.5000	40.0000	
-0.0220	0.1989	0.1548	49.8000	39.9000	
-0.0218	0.1990	0.1555	50.0000	39.8000	
-0.0218	0.2000	0.1563	50.0000	39.9000	
-0.0220	0.2023	0.1583	50.0000	40.1000	
-0.0220	0.2020	0.1579	50.0000	41.0000	
-0.0223	0.2003	0.1558	50.0000	42.4000	
-0.0225	0.1975	0.1526	50.4000	44.0000	
-0.0226	0.1964	0.1513	50.0000	44.5000	
-0.0226	0.1954	0.1502	50.1000	45.0000	
-0.0227	0.1958	0.1505	50.4000	45.7000	
-0.0227	0.1930	0.1475	52.4000	46.0000	
-0.0232	0.1935	0.1472	55.1000	46.1000	
