Loss_Adversary	Accuracy_Adversary	Loss_Target	Accuracy_Target	
-0.2988	0.8868	0.5833	50.0000	50.0000	
-0.3094	0.8743	0.5379	50.0000	50.0000	
-0.3186	0.8617	0.4961	50.0000	50.0000	
-0.3249	0.8487	0.4608	50.0000	50.0000	
-0.3296	0.8358	0.4297	50.0000	50.0000	
-0.3323	0.8220	0.4023	50.0000	50.0000	
-0.3318	0.8060	0.3795	50.0000	50.0000	
-0.3301	0.7894	0.3589	50.0000	50.0000	
-0.3273	0.7729	0.3411	50.0000	50.0000	
-0.3237	0.7568	0.3259	50.0000	50.0000	
-0.3196	0.7416	0.3134	50.0000	50.0000	
-0.3149	0.7273	0.3035	50.0000	61.1000	
-0.3102	0.7137	0.2952	50.0000	74.7000	
-0.3055	0.7012	0.2880	50.0000	72.0000	
-0.3010	0.6896	0.2819	50.0000	62.3000	
-0.2967	0.6788	0.2764	50.0000	59.1000	
-0.2929	0.6687	0.2709	50.0000	63.1000	
-0.2895	0.6591	0.2650	50.0000	68.7000	
-0.2866	0.6497	0.2581	50.0000	72.2000	
-0.2844	0.6405	0.2497	50.0000	72.7000	
-0.2830	0.6314	0.2395	50.0000	71.3000	
-0.2825	0.6225	0.2275	50.0000	67.6000	
-0.2826	0.6136	0.2140	50.0000	61.1000	
-0.2832	0.6050	0.1996	50.0000	56.5000	
-0.2840	0.5965	0.1847	50.0000	54.2000	
-0.2848	0.5880	0.1700	50.0000	52.1000	
-0.2857	0.5796	0.1553	50.0000	51.3000	
-0.2865	0.5713	0.1407	50.0000	50.8000	
-0.2874	0.5631	0.1261	50.0000	50.8000	
-0.2882	0.5549	0.1119	50.0000	50.9000	
-0.2886	0.5466	0.0983	50.0000	51.7000	
-0.2886	0.5384	0.0860	50.0000	54.0000	
-0.2881	0.5301	0.0749	50.0000	56.1000	
-0.2871	0.5219	0.0650	50.0000	59.3000	
-0.2855	0.5134	0.0565	50.0000	62.0000	
-0.2833	0.5050	0.0492	50.0000	63.6000	
-0.2805	0.4963	0.0433	50.0000	65.3000	
-0.2770	0.4876	0.0388	50.0000	66.1000	
-0.2728	0.4784	0.0356	45.3000	66.5000	
-0.2679	0.4691	0.0340	36.8000	67.7000	
-0.2626	0.4596	0.0328	30.5000	68.4000	
-0.2572	0.4499	0.0320	28.7000	69.2000	
-0.2515	0.4400	0.0314	27.8000	69.5000	
-0.2456	0.4299	0.0309	26.5000	70.3000	
-0.2396	0.4198	0.0306	25.9000	72.9000	
-0.2335	0.4096	0.0306	26.2000	73.8000	
-0.2274	0.3996	0.0308	26.8000	76.0000	
-0.2214	0.3899	0.0313	28.1000	77.8000	
-0.2160	0.3816	0.0323	31.3000	79.2000	
-0.2131	0.3772	0.0329	33.2000	81.2000	
-0.2128	0.3790	0.0364	49.2000	84.2000	
-0.2103	0.3730	0.0338	48.8000	84.6000	
-0.2074	0.3640	0.0274	48.0000	78.9000	
-0.2035	0.3560	0.0253	45.4000	78.7000	
-0.1994	0.3496	0.0260	43.8000	80.2000	
-0.1951	0.3414	0.0244	43.8000	80.8000	
-0.1906	0.3331	0.0230	43.5000	79.7000	
-0.1862	0.3249	0.0218	45.5000	79.1000	
-0.1817	0.3168	0.0210	48.1000	78.3000	
-0.1772	0.3089	0.0203	48.7000	76.7000	
-0.1728	0.3008	0.0193	49.3000	76.1000	
-0.1683	0.2929	0.0186	49.0000	75.4000	
-0.1640	0.2857	0.0185	49.1000	74.7000	
-0.1599	0.2782	0.0176	50.0000	74.6000	
-0.1561	0.2717	0.0174	50.0000	73.3000	
-0.1524	0.2654	0.0170	50.0000	72.4000	
-0.1490	0.2595	0.0167	50.0000	72.1000	
-0.1458	0.2540	0.0166	51.0000	71.8000	
