Loss_Adversary	Accuracy_Adversary	Loss_Target	Accuracy_Target	
-0.0581	1.1900	1.0738	50.0000	50.0000	
-0.0620	1.1708	1.0469	50.0000	50.0000	
-0.0661	1.1532	1.0210	50.0000	50.0000	
-0.0706	1.1381	0.9969	50.0000	50.0000	
-0.0742	1.1234	0.9749	50.0000	50.0000	
-0.0769	1.1087	0.9549	50.0000	50.0000	
-0.0788	1.0943	0.9368	50.0000	50.0000	
-0.0800	1.0802	0.9201	50.0000	50.0000	
-0.0808	1.0661	0.9045	50.0000	50.0000	
-0.0812	1.0523	0.8899	50.0000	50.0000	
-0.0813	1.0387	0.8760	50.0000	50.0000	
-0.0812	1.0252	0.8629	50.0000	50.0000	
-0.0808	1.0120	0.8504	50.0000	50.0000	
-0.0803	0.9989	0.8382	50.0000	50.0000	
-0.0798	0.9860	0.8264	50.0000	50.0000	
-0.0792	0.9733	0.8148	50.0000	50.0000	
-0.0786	0.9608	0.8035	50.0000	50.0000	
-0.0779	0.9484	0.7926	50.0000	50.0000	
-0.0771	0.9362	0.7820	50.0000	50.0000	
-0.0764	0.9242	0.7715	50.0000	50.0000	
-0.0754	0.9124	0.7617	50.0000	50.0000	
-0.0743	0.9007	0.7521	50.0000	50.0000	
-0.0733	0.8892	0.7427	50.0000	50.0000	
-0.0722	0.8779	0.7334	50.0000	50.0000	
-0.0712	0.8667	0.7243	50.0000	50.0000	
-0.0702	0.8557	0.7154	50.0000	50.0000	
-0.0691	0.8448	0.7066	50.0000	50.0000	
-0.0681	0.8341	0.6979	50.0000	50.0000	
-0.0671	0.8236	0.6894	50.0000	50.0000	
-0.0661	0.8132	0.6810	50.0000	50.0000	
-0.0651	0.8030	0.6727	50.0000	50.0000	
-0.0641	0.7929	0.6646	50.0000	50.0000	
-0.0632	0.7830	0.6566	50.0000	50.0000	
-0.0622	0.7732	0.6488	50.0000	50.0000	
-0.0612	0.7636	0.6411	50.0000	50.0000	
-0.0603	0.7541	0.6335	50.0000	50.0000	
-0.0593	0.7448	0.6261	50.0000	50.0000	
-0.0584	0.7356	0.6188	50.0000	50.0000	
-0.0575	0.7265	0.6116	50.0000	50.0000	
