Loss_Adversary	Accuracy_Adversary	Loss_Target	Accuracy_Target	
0.1009	0.3366	0.7571	50.0000	50.0000	
0.0891	0.3333	0.7227	50.0000	50.0000	
0.0776	0.3301	0.6890	50.0000	50.0000	
0.0662	0.3270	0.6559	50.0000	50.0000	
0.0547	0.3240	0.6228	50.0000	50.0000	
0.0433	0.3210	0.5899	50.0000	50.0000	
0.0319	0.3182	0.5570	50.0000	50.0000	
0.0205	0.3155	0.5243	50.0000	50.0000	
0.0092	0.3128	0.4922	50.0000	50.0000	
-0.0019	0.3102	0.4607	50.0000	50.0000	
-0.0126	0.3077	0.4300	50.0000	50.0000	
-0.0229	0.3053	0.4006	50.0000	50.0000	
-0.0326	0.3030	0.3729	50.0000	50.0000	
-0.0415	0.3007	0.3472	50.0000	50.0000	
-0.0505	0.2986	0.3216	50.0000	50.0000	
-0.0586	0.2959	0.2974	50.0000	50.0000	
-0.0646	0.2912	0.2752	50.0000	50.0000	
-0.0690	0.2853	0.2553	50.0000	50.0000	
-0.0728	0.2795	0.2373	50.0000	50.0000	
-0.0757	0.2735	0.2212	50.0000	82.9000	
-0.0775	0.2673	0.2072	50.0000	86.9000	
-0.0782	0.2607	0.1954	50.0000	88.1000	
-0.0780	0.2537	0.1857	50.0000	88.7000	
-0.0768	0.2467	0.1781	50.0000	88.7000	
-0.0746	0.2396	0.1729	50.0000	87.9000	
-0.0716	0.2324	0.1696	74.1000	88.0000	
-0.0681	0.2250	0.1672	72.9000	88.2000	
-0.0644	0.2178	0.1656	73.1000	88.7000	
-0.0611	0.2115	0.1645	73.8000	88.7000	
-0.0582	0.2062	0.1638	73.6000	89.1000	
-0.0559	0.2023	0.1637	73.1000	89.8000	
-0.0543	0.1999	0.1640	73.1000	90.7000	
-0.0534	0.2008	0.1676	72.9000	91.3000	
-0.0528	0.2049	0.1753	72.6000	90.2000	
-0.0526	0.2115	0.1856	71.7000	89.9000	
-0.0529	0.2126	0.1867	73.2000	93.5000	
-0.0521	0.2115	0.1870	73.8000	98.3000	
-0.0513	0.2160	0.1957	73.8000	98.8000	
-0.0498	0.2273	0.2165	71.1000	96.9000	
-0.0466	0.2235	0.2188	72.4000	97.3000	
-0.0438	0.2183	0.2179	73.2000	95.7000	
-0.0424	0.2139	0.2150	73.7000	94.0000	
-0.0417	0.2062	0.2051	74.0000	91.2000	
-0.0419	0.2002	0.1955	74.4000	93.7000	
-0.0433	0.1979	0.1887	74.5000	98.0000	
-0.0448	0.1963	0.1825	74.8000	98.4000	
-0.0460	0.1964	0.1796	74.7000	98.9000	
-0.0470	0.1988	0.1808	74.2000	99.1000	
-0.0476	0.2010	0.1825	74.4000	99.1000	
-0.0481	0.2021	0.1830	74.3000	98.8000	
-0.0489	0.2068	0.1879	74.3000	98.6000	
-0.0504	0.2135	0.1942	73.4000	98.0000	
-0.0524	0.2250	0.2065	71.3000	96.5000	
-0.0540	0.2386	0.2229	67.2000	92.6000	
-0.0558	0.2430	0.2250	63.3000	87.5000	
-0.0571	0.2473	0.2281	56.2000	78.6000	
-0.0577	0.2467	0.2259	50.9000	75.0000	
-0.0576	0.2493	0.2301	47.6000	73.2000	
-0.0578	0.2539	0.2364	44.8000	70.8000	
-0.0580	0.2545	0.2366	45.1000	69.8000	
-0.0586	0.2489	0.2269	48.6000	71.3000	
-0.0596	0.2486	0.2239	47.9000	72.3000	
-0.0613	0.2457	0.2153	48.3000	75.1000	
-0.0637	0.2494	0.2150	48.0000	76.0000	
-0.0665	0.2448	0.2010	49.0000	80.0000	
-0.0696	0.2442	0.1924	49.8000	81.6000	
-0.0726	0.2451	0.1860	50.4000	80.9000	
-0.0757	0.2427	0.1747	49.3000	81.1000	
-0.0791	0.2486	0.1751	49.1000	76.6000	
-0.0825	0.2513	0.1706	48.5000	73.5000	
-0.0855	0.2542	0.1676	49.2000	71.0000	
-0.0878	0.2562	0.1647	50.0000	68.1000	
-0.0898	0.2552	0.1584	50.0000	67.1000	
-0.0912	0.2531	0.1517	50.0000	67.0000	
-0.0924	0.2550	0.1515	50.0000	65.4000	
-0.0934	0.2610	0.1580	50.4000	62.6000	
-0.0939	0.2636	0.1607	52.9000	61.1000	
-0.0942	0.2616	0.1570	52.2000	61.2000	
-0.0944	0.2617	0.1566	52.3000	61.7000	
-0.0944	0.2627	0.1580	50.4000	62.0000	
-0.0941	0.2607	0.1559	51.0000	62.3000	
-0.0937	0.2618	0.1584	47.5000	61.2000	
-0.0933	0.2598	0.1565	46.1000	59.1000	
-0.0928	0.2584	0.1556	44.9000	58.9000	
-0.0923	0.2570	0.1548	45.3000	59.5000	
-0.0917	0.2525	0.1494	47.7000	59.8000	
-0.0913	0.2527	0.1509	44.3000	59.4000	
-0.0909	0.2482	0.1452	48.6000	59.9000	
-0.0904	0.2454	0.1419	49.1000	60.0000	
-0.0900	0.2473	0.1459	44.9000	60.9000	
-0.0899	0.2395	0.1345	50.0000	60.6000	
-0.0899	0.2404	0.1359	45.3000	60.0000	
-0.0900	0.2384	0.1326	45.6000	60.9000	
-0.0902	0.2314	0.1217	50.8000	61.3000	
-0.0900	0.2289	0.1183	54.7000	65.9000	
-0.0903	0.2293	0.1183	53.1000	62.5000	
-0.0905	0.2246	0.1105	51.3000	62.5000	
-0.0903	0.2195	0.1034	55.0000	62.6000	
-0.0910	0.2227	0.1066	52.5000	63.5000	
-0.0911	0.2197	0.1017	54.0000	63.7000	
-0.0914	0.2169	0.0970	56.0000	64.0000	
