Loss_Adversary	Accuracy_Adversary	Loss_Target	Accuracy_Target	
-0.0501	0.6726	0.5724	50.0000	50.0000	
-0.0526	0.6556	0.5503	50.0000	50.0000	
-0.0541	0.6385	0.5303	50.0000	50.0000	
-0.0547	0.6215	0.5122	50.0000	50.0000	
-0.0546	0.6047	0.4956	50.0000	50.0000	
-0.0540	0.5881	0.4800	50.0000	50.0000	
-0.0531	0.5716	0.4654	50.0000	50.0000	
-0.0516	0.5552	0.4520	50.0000	50.0000	
-0.0473	0.5399	0.4454	50.0000	50.0000	
-0.0427	0.5249	0.4396	50.0000	50.0000	
-0.0379	0.5088	0.4330	50.0000	50.0000	
-0.0334	0.4925	0.4256	50.0000	50.0000	
-0.0288	0.4754	0.4177	50.0000	50.0000	
-0.0238	0.4570	0.4094	50.0000	50.0000	
-0.0187	0.4382	0.4008	50.0000	50.0000	
-0.0138	0.4196	0.3919	50.0000	50.0000	
-0.0097	0.4019	0.3824	50.0000	50.0000	
-0.0064	0.3854	0.3727	50.0000	50.0000	
-0.0038	0.3701	0.3626	50.0000	50.0000	
-0.0017	0.3558	0.3523	50.0000	50.0000	
-0.0001	0.3425	0.3422	50.0000	50.0000	
0.0012	0.3300	0.3324	50.0000	50.0000	
0.0022	0.3186	0.3231	50.0000	50.0000	
0.0031	0.3083	0.3144	50.0000	50.0000	
0.0037	0.2992	0.3065	50.0000	50.0000	
0.0042	0.2912	0.2996	50.0000	50.0000	
0.0044	0.2845	0.2934	50.0000	50.0000	
0.0045	0.2788	0.2879	50.0000	50.0000	
0.0045	0.2740	0.2829	50.0000	50.0000	
0.0042	0.2698	0.2783	50.0000	50.0000	
0.0038	0.2660	0.2736	50.0000	50.0000	
0.0032	0.2619	0.2683	50.0000	50.0000	
0.0022	0.2573	0.2616	50.0000	50.0000	
0.0005	0.2516	0.2526	50.0000	50.0000	
-0.0022	0.2462	0.2417	50.0000	50.0000	
-0.0059	0.2457	0.2339	50.0000	50.0000	
-0.0082	0.2539	0.2375	37.2000	50.0000	
-0.0097	0.2457	0.2264	61.8000	50.0000	
-0.0105	0.2441	0.2231	57.0000	50.0000	
-0.0116	0.2407	0.2175	57.3000	50.0000	
-0.0131	0.2370	0.2108	59.5000	42.4000	
-0.0148	0.2326	0.2030	62.9000	38.0000	
