Loss_Adversary	Accuracy_Adversary	Loss_Target	Accuracy_Target	
0.4120	1.1991	1.1025	50.0000	50.0000	
0.3971	1.1780	1.0722	50.0000	50.0000	
0.3828	1.1616	1.0447	50.0000	50.0000	
0.3699	1.1465	1.0198	50.0000	50.0000	
0.3587	1.1316	0.9974	50.0000	50.0000	
0.3488	1.1170	0.9770	50.0000	50.0000	
0.3403	1.1024	0.9586	50.0000	50.0000	
0.3328	1.0881	0.9418	50.0000	50.0000	
0.3260	1.0740	0.9260	50.0000	50.0000	
0.3198	1.0600	0.9112	50.0000	50.0000	
0.3140	1.0463	0.8970	50.0000	50.0000	
0.3086	1.0328	0.8835	50.0000	50.0000	
0.3036	1.0194	0.8706	50.0000	50.0000	
0.2990	1.0062	0.8583	50.0000	50.0000	
0.2945	0.9932	0.8463	50.0000	50.0000	
0.2901	0.9804	0.8346	50.0000	50.0000	
0.2860	0.9677	0.8233	50.0000	50.0000	
0.2819	0.9553	0.8122	50.0000	50.0000	
0.2781	0.9430	0.8014	50.0000	50.0000	
0.2742	0.9309	0.7907	50.0000	50.0000	
0.2706	0.9189	0.7803	50.0000	50.0000	
0.2671	0.9072	0.7703	50.0000	50.0000	
0.2639	0.8955	0.7608	50.0000	50.0000	
0.2607	0.8842	0.7513	50.0000	50.0000	
0.2575	0.8729	0.7420	50.0000	50.0000	
0.2545	0.8617	0.7329	50.0000	50.0000	
0.2515	0.8509	0.7239	50.0000	50.0000	
0.2485	0.8400	0.7151	50.0000	50.0000	
0.2457	0.8294	0.7064	50.0000	50.0000	
0.2428	0.8190	0.6979	50.0000	50.0000	
0.2401	0.8086	0.6895	50.0000	50.0000	
0.2373	0.7985	0.6812	50.0000	50.0000	
0.2347	0.7884	0.6732	50.0000	50.0000	
0.2320	0.7786	0.6651	50.0000	50.0000	
0.2294	0.7689	0.6572	50.0000	50.0000	
0.2269	0.7593	0.6496	50.0000	50.0000	
0.2244	0.7499	0.6420	50.0000	50.0000	
0.2220	0.7406	0.6345	50.0000	50.0000	
0.2196	0.7315	0.6272	50.0000	50.0000	
0.2173	0.7225	0.6200	50.0000	50.0000	
