Loss_Adversary	Accuracy_Adversary	Loss_Target	Accuracy_Target	
-0.2096	0.4167	0.6187	50.0000	50.0000	
-0.2048	0.4089	0.6113	50.0000	50.0000	
-0.2004	0.4014	0.6036	50.0000	50.0000	
-0.1964	0.3943	0.5952	50.0000	50.0000	
-0.1928	0.3875	0.5862	50.0000	50.0000	
-0.1895	0.3811	0.5772	50.0000	50.0000	
-0.1865	0.3752	0.5679	50.0000	50.0000	
-0.1839	0.3694	0.5583	50.0000	50.0000	
-0.1815	0.3639	0.5482	50.0000	50.0000	
-0.1793	0.3585	0.5375	50.0000	50.0000	
-0.1774	0.3533	0.5263	50.0000	50.0000	
-0.1758	0.3483	0.5144	50.0000	50.0000	
-0.1743	0.3434	0.5018	50.0000	50.0000	
-0.1730	0.3385	0.4888	50.0000	50.0000	
-0.1719	0.3337	0.4752	50.0000	50.0000	
-0.1710	0.3290	0.4610	50.0000	50.0000	
-0.1702	0.3243	0.4464	50.0000	50.0000	
-0.1694	0.3196	0.4313	50.0000	50.0000	
-0.1688	0.3150	0.4160	50.0000	50.0000	
-0.1682	0.3105	0.4008	50.0000	50.0000	
-0.1676	0.3060	0.3859	50.0000	50.0000	
-0.1670	0.3016	0.3714	50.0000	50.0000	
-0.1663	0.2973	0.3575	50.0000	50.0000	
-0.1657	0.2932	0.3445	50.0000	50.0000	
-0.1651	0.2895	0.3325	50.0000	50.0000	
-0.1646	0.2859	0.3209	50.0000	50.0000	
-0.1639	0.2824	0.3101	50.0000	50.0000	
-0.1634	0.2794	0.3008	50.0000	50.0000	
-0.1629	0.2768	0.2931	50.0000	50.0000	
-0.1624	0.2746	0.2868	50.0000	50.0000	
-0.1619	0.2728	0.2817	50.0000	50.0000	
-0.1612	0.2705	0.2758	50.0000	50.0000	
-0.1606	0.2684	0.2710	50.0000	50.0000	
-0.1598	0.2661	0.2653	50.0000	50.0000	
-0.1590	0.2636	0.2597	50.0000	50.0000	
-0.1581	0.2610	0.2537	50.0000	50.0000	
-0.1571	0.2584	0.2480	50.0000	50.0000	
-0.1559	0.2554	0.2421	50.0000	50.0000	
-0.1545	0.2525	0.2376	50.0000	50.0000	
-0.1529	0.2496	0.2337	50.0000	50.0000	
-0.1514	0.2471	0.2315	50.0000	50.0000	
-0.1504	0.2451	0.2281	50.0000	50.0000	
-0.1506	0.2451	0.2273	50.0000	50.0000	
-0.1512	0.2459	0.2275	50.0000	50.0000	
-0.1518	0.2483	0.2342	50.0000	50.0000	
-0.1525	0.2506	0.2402	50.6000	50.0000	
-0.1531	0.2522	0.2431	50.2000	50.0000	
-0.1540	0.2543	0.2472	50.2000	50.4000	
-0.1551	0.2570	0.2526	50.5000	55.2000	
-0.1566	0.2603	0.2580	50.0000	61.7000	
-0.1586	0.2644	0.2643	50.3000	65.1000	
-0.1622	0.2699	0.2686	53.1000	68.3000	
-0.1683	0.2783	0.2720	60.1000	68.9000	
-0.1757	0.2868	0.2688	71.3000	61.5000	
-0.1785	0.2916	0.2741	73.6000	55.5000	
-0.1774	0.2844	0.2506	73.8000	54.3000	
-0.1775	0.2752	0.2134	67.0000	55.4000	
-0.1761	0.2709	0.2031	58.3000	54.2000	
-0.1752	0.2686	0.1984	55.2000	51.7000	
-0.1743	0.2665	0.1946	51.5000	51.3000	
-0.1732	0.2634	0.1873	50.0000	50.9000	
-0.1720	0.2599	0.1796	50.0000	50.7000	
-0.1708	0.2568	0.1733	50.0000	50.7000	
-0.1695	0.2538	0.1680	50.0000	50.6000	
-0.1683	0.2515	0.1643	50.1000	50.5000	
-0.1675	0.2501	0.1630	51.0000	50.5000	
-0.1669	0.2493	0.1630	51.6000	50.0000	
-0.1665	0.2490	0.1635	51.7000	50.1000	
-0.1664	0.2488	0.1634	51.5000	50.4000	
-0.1663	0.2485	0.1625	50.0000	51.0000	
-0.1662	0.2479	0.1606	50.0000	51.2000	
-0.1662	0.2474	0.1588	50.0000	51.5000	
-0.1662	0.2465	0.1553	50.0000	51.9000	
-0.1662	0.2461	0.1531	50.0000	52.1000	
-0.1664	0.2455	0.1501	50.0000	52.5000	
-0.1665	0.2453	0.1487	50.0000	52.8000	
-0.1667	0.2453	0.1477	50.0000	53.5000	
-0.1669	0.2455	0.1476	50.0000	54.7000	
-0.1672	0.2460	0.1483	50.0000	54.9000	
-0.1678	0.2471	0.1494	50.0000	55.4000	
-0.1688	0.2493	0.1531	50.4000	55.5000	
-0.1714	0.2556	0.1654	52.2000	56.0000	
-0.1783	0.2714	0.1940	54.5000	57.5000	
-0.1869	0.2870	0.2136	55.6000	59.2000	
-0.1881	0.2810	0.1834	59.4000	60.9000	
-0.1867	0.2712	0.1510	59.9000	64.3000	
