Loss_Adversary	Accuracy_Adversary	Loss_Target	Accuracy_Target	
0.7626	0.6131	0.7765	50.0000	50.0000	
0.7218	0.5702	0.7348	50.0000	50.0000	
0.6834	0.5494	0.6958	50.0000	50.0000	
0.6472	0.5302	0.6591	50.0000	50.0000	
0.6116	0.5118	0.6230	50.0000	50.0000	
0.5770	0.4943	0.5878	50.0000	50.0000	
0.5444	0.4775	0.5547	50.0000	50.0000	
0.5139	0.4613	0.5238	50.0000	50.0000	
0.4887	0.4459	0.4982	50.0000	50.0000	
0.4728	0.4311	0.4819	50.0000	50.0000	
0.4596	0.4168	0.4684	50.0000	50.0000	
0.4490	0.4031	0.4576	50.0000	50.0000	
0.4385	0.3899	0.4469	50.0000	50.0000	
0.4279	0.3771	0.4360	50.0000	50.0000	
0.4170	0.3647	0.4249	50.0000	50.0000	
0.4058	0.3528	0.4134	50.0000	50.0000	
0.3943	0.3414	0.4017	50.0000	50.0000	
0.3826	0.3306	0.3898	50.0000	50.0000	
0.3708	0.3204	0.3778	50.0000	50.0000	
0.3591	0.3108	0.3658	50.0000	50.0000	
0.3466	0.3018	0.3532	50.0000	50.0000	
0.3335	0.2936	0.3398	50.0000	50.0000	
0.3200	0.2863	0.3261	50.0000	50.0000	
0.3069	0.2796	0.3128	50.0000	50.0000	
0.2954	0.2735	0.3011	50.0000	50.0000	
0.2859	0.2679	0.2915	50.0000	50.0000	
0.2786	0.2630	0.2841	50.0000	50.0000	
0.2730	0.2585	0.2784	50.0000	50.0000	
0.2684	0.2544	0.2737	50.0000	50.0000	
0.2639	0.2510	0.2691	50.0000	39.0000	
0.2588	0.2480	0.2639	50.0000	41.7000	
0.2525	0.2454	0.2576	50.0000	46.5000	
0.2451	0.2432	0.2500	50.0000	47.2000	
0.2364	0.2412	0.2412	50.0000	48.1000	
0.2265	0.2391	0.2313	50.0000	48.5000	
0.2169	0.2368	0.2215	50.0000	48.5000	
0.2073	0.2341	0.2117	50.0000	48.6000	
0.1968	0.2312	0.2011	50.0000	48.2000	
0.1861	0.2289	0.1903	50.0000	48.6000	
0.1762	0.2266	0.1803	50.0000	48.9000	
0.1682	0.2239	0.1722	50.0000	48.9000	
0.1628	0.2213	0.1666	50.0000	48.8000	
0.1587	0.2188	0.1625	50.0000	48.5000	
0.1556	0.2164	0.1593	50.0000	48.6000	
0.1532	0.2138	0.1569	49.0000	48.6000	
0.1516	0.2109	0.1553	47.3000	48.5000	
0.1505	0.2079	0.1541	46.1000	48.4000	
0.1495	0.2051	0.1531	43.5000	48.4000	
0.1487	0.2026	0.1522	39.8000	48.4000	
0.1478	0.2002	0.1513	37.4000	48.4000	
0.1470	0.1981	0.1505	34.5000	48.3000	
0.1464	0.1957	0.1498	32.5000	48.4000	
0.1457	0.1937	0.1491	34.2000	48.3000	
0.1451	0.1916	0.1485	38.3000	48.3000	
0.1447	0.1898	0.1481	40.2000	48.4000	
0.1443	0.1882	0.1477	41.4000	48.4000	
0.1440	0.1866	0.1473	42.5000	48.4000	
