Loss_Adversary	Accuracy_Adversary	Loss_Target	Accuracy_Target	
-0.2111	0.4215	0.6303	50.0000	50.0000	
-0.2060	0.4132	0.6230	50.0000	50.0000	
-0.2013	0.4055	0.6155	50.0000	50.0000	
-0.1972	0.3983	0.6074	50.0000	50.0000	
-0.1934	0.3914	0.5986	50.0000	50.0000	
-0.1899	0.3847	0.5895	50.0000	50.0000	
-0.1867	0.3785	0.5804	50.0000	50.0000	
-0.1839	0.3726	0.5709	50.0000	50.0000	
-0.1814	0.3670	0.5610	50.0000	50.0000	
-0.1791	0.3616	0.5506	50.0000	50.0000	
-0.1770	0.3562	0.5396	50.0000	50.0000	
-0.1753	0.3511	0.5279	50.0000	50.0000	
-0.1737	0.3461	0.5157	50.0000	50.0000	
-0.1724	0.3412	0.5028	50.0000	50.0000	
-0.1713	0.3364	0.4893	50.0000	50.0000	
-0.1702	0.3315	0.4754	50.0000	50.0000	
-0.1693	0.3269	0.4609	50.0000	50.0000	
-0.1686	0.3222	0.4458	50.0000	50.0000	
-0.1679	0.3175	0.4304	50.0000	50.0000	
-0.1673	0.3129	0.4149	50.0000	50.0000	
-0.1667	0.3083	0.3997	50.0000	50.0000	
-0.1662	0.3039	0.3847	50.0000	50.0000	
-0.1655	0.2995	0.3703	50.0000	50.0000	
-0.1650	0.2953	0.3565	50.0000	50.0000	
-0.1644	0.2914	0.3438	50.0000	50.0000	
-0.1638	0.2877	0.3320	50.0000	50.0000	
-0.1632	0.2841	0.3205	50.0000	50.0000	
-0.1625	0.2807	0.3103	50.0000	50.0000	
-0.1620	0.2779	0.3017	50.0000	50.0000	
-0.1614	0.2754	0.2945	50.0000	50.0000	
-0.1608	0.2733	0.2890	50.0000	50.0000	
-0.1603	0.2712	0.2833	50.0000	50.0000	
-0.1595	0.2689	0.2779	50.0000	50.0000	
-0.1588	0.2666	0.2726	50.0000	50.0000	
-0.1579	0.2640	0.2666	50.0000	50.0000	
-0.1570	0.2615	0.2613	50.0000	50.0000	
-0.1560	0.2588	0.2552	50.0000	50.0000	
-0.1549	0.2559	0.2491	50.0000	50.0000	
-0.1536	0.2530	0.2440	50.0000	50.0000	
-0.1521	0.2500	0.2395	50.0000	50.0000	
-0.1506	0.2474	0.2367	50.0000	50.0000	
-0.1494	0.2451	0.2336	50.0000	50.0000	
-0.1491	0.2443	0.2316	50.0000	50.0000	
-0.1497	0.2448	0.2311	50.0000	50.0000	
-0.1503	0.2464	0.2341	50.0000	50.0000	
-0.1508	0.2489	0.2417	50.0750	50.0000	
-0.1514	0.2508	0.2460	50.4500	50.0000	
-0.1521	0.2524	0.2493	50.3750	50.2250	
-0.1530	0.2547	0.2541	50.0250	52.5250	
-0.1542	0.2577	0.2601	49.8000	57.9750	
-0.1558	0.2613	0.2662	50.0750	63.1000	
-0.1584	0.2659	0.2717	51.1500	64.9000	
-0.1630	0.2726	0.2755	54.3000	70.1750	
-0.1698	0.2815	0.2770	64.9500	65.5000	
-0.1757	0.2892	0.2783	72.1250	58.5500	
-0.1763	0.2886	0.2728	73.8500	53.6500	
-0.1758	0.2794	0.2387	72.4500	53.4250	
-0.1755	0.2734	0.2161	63.6500	53.5250	
-0.1741	0.2699	0.2091	57.6250	52.4250	
-0.1733	0.2677	0.2042	53.6750	51.0250	
-0.1724	0.2649	0.1976	50.7000	50.5750	
-0.1712	0.2616	0.1906	50.0000	50.3750	
-0.1699	0.2584	0.1840	50.0000	50.6000	
-0.1686	0.2553	0.1782	50.0000	50.8000	
-0.1673	0.2524	0.1733	50.0000	50.9000	
-0.1662	0.2505	0.1706	50.4000	50.9000	
-0.1654	0.2491	0.1696	51.0500	50.6750	
-0.1649	0.2486	0.1701	51.4250	50.5250	
-0.1646	0.2483	0.1705	51.4750	50.8000	
-0.1644	0.2480	0.1701	50.6750	51.0750	
-0.1643	0.2475	0.1688	50.0000	51.3000	
-0.1642	0.2471	0.1672	50.0000	51.5500	
-0.1642	0.2464	0.1646	50.0000	52.0250	
-0.1643	0.2457	0.1614	50.0000	52.2750	
-0.1644	0.2452	0.1589	50.0000	52.4750	
-0.1645	0.2448	0.1566	50.0000	52.8000	
-0.1647	0.2447	0.1556	50.0000	53.0500	
-0.1649	0.2448	0.1549	50.0000	53.9000	
-0.1652	0.2452	0.1551	50.0000	54.1750	
-0.1657	0.2461	0.1560	50.0000	54.5500	
-0.1664	0.2475	0.1578	50.0750	54.8000	
-0.1682	0.2516	0.1654	51.6000	55.4250	
-0.1726	0.2621	0.1854	53.4000	56.4750	
-0.1816	0.2809	0.2156	55.5500	58.4000	
-0.1875	0.2863	0.2079	58.4250	61.3000	
-0.1873	0.2777	0.1740	60.6500	63.4500	
-0.1860	0.2683	0.1432	62.3750	65.2000	
-0.1850	0.2613	0.1200	62.4750	66.9750	
-0.1845	0.2560	0.1016	62.1250	70.6000	
-0.1840	0.2515	0.0856	58.5500	73.8250	
-0.1833	0.2475	0.0736	42.9500	78.1750	
-0.1820	0.2436	0.0644	35.7500	82.0000	
-0.1805	0.2402	0.0585	31.1500	85.0750	
-0.1787	0.2370	0.0546	25.5500	87.0750	
-0.1770	0.2341	0.0515	25.0750	87.8750	
-0.1750	0.2310	0.0489	25.2000	88.1250	
-0.1727	0.2275	0.0467	25.1750	87.9750	
-0.1705	0.2244	0.0454	25.5750	87.3250	
-0.1688	0.2227	0.0471	26.0500	86.7750	
-0.1678	0.2234	0.0549	27.8500	86.2500	
-0.1670	0.2268	0.0719	32.9750	85.2500	
-0.1666	0.2319	0.0944	41.0250	84.3750	
-0.1669	0.2386	0.1195	46.0750	82.7500	
-0.1680	0.2470	0.1478	49.2250	80.6250	
-0.1699	0.2556	0.1731	49.9000	78.9250	
-0.1722	0.2651	0.1995	50.8750	77.4250	
-0.1721	0.2683	0.2129	62.4500	76.8000	
-0.1711	0.2662	0.2094	70.9750	76.7000	
-0.1705	0.2628	0.1984	68.6250	76.7250	
-0.1691	0.2585	0.1889	64.0500	75.2500	
-0.1691	0.2556	0.1771	61.7500	73.4250	
-0.1701	0.2551	0.1700	60.1750	72.5250	
-0.1715	0.2556	0.1650	59.8750	73.1250	
-0.1731	0.2563	0.1596	61.1500	73.2500	
-0.1747	0.2558	0.1497	60.0500	73.5500	
-0.1761	0.2548	0.1387	59.4750	73.8250	
-0.1771	0.2530	0.1266	57.2500	74.3250	
-0.1776	0.2506	0.1147	53.4000	74.9750	
-0.1775	0.2476	0.1029	44.1250	75.8500	
-0.1768	0.2438	0.0910	31.3500	76.9000	
-0.1757	0.2395	0.0795	27.9750	78.3250	
-0.1742	0.2350	0.0691	25.2500	79.4500	
-0.1722	0.2303	0.0604	25.2000	80.1750	
-0.1699	0.2260	0.0544	25.9250	80.6500	
-0.1674	0.2226	0.0531	25.4500	80.4000	
-0.1656	0.2213	0.0573	25.4500	79.1250	
-0.1649	0.2238	0.0706	26.2500	77.4000	
-0.1659	0.2312	0.0954	28.3000	75.8500	
-0.1674	0.2397	0.1216	33.8500	74.0250	
-0.1687	0.2471	0.1449	42.8750	72.0750	
-0.1696	0.2526	0.1622	52.8500	69.3250	
-0.1703	0.2561	0.1727	59.9500	66.3000	
-0.1708	0.2584	0.1796	61.2750	63.2500	
-0.1710	0.2593	0.1822	62.6500	61.3000	
-0.1709	0.2590	0.1813	60.7000	59.7500	
-0.1706	0.2575	0.1766	59.9000	58.5750	
-0.1703	0.2555	0.1703	58.4500	58.1000	
-0.1700	0.2532	0.1626	55.9250	58.0000	
-0.1699	0.2510	0.1549	50.2000	58.0500	
-0.1697	0.2489	0.1473	42.6750	58.3250	
-0.1697	0.2473	0.1408	38.4500	58.7500	
-0.1697	0.2457	0.1343	36.9250	59.6500	
-0.1698	0.2440	0.1271	35.2250	60.3000	
-0.1699	0.2425	0.1203	34.5000	61.3500	
-0.1702	0.2412	0.1138	33.1750	62.9250	
-0.1704	0.2401	0.1081	32.8750	64.4500	
-0.1707	0.2392	0.1031	32.9750	66.5500	
-0.1709	0.2379	0.0972	32.2250	68.8250	
-0.1710	0.2368	0.0923	32.0500	70.4250	
-0.1710	0.2363	0.0902	31.8500	71.5000	
-0.1709	0.2361	0.0898	31.9250	72.2000	
-0.1708	0.2362	0.0907	31.9500	72.3000	
-0.1708	0.2368	0.0930	32.6750	71.6000	
-0.1709	0.2375	0.0956	32.6250	70.2750	
-0.1710	0.2385	0.0991	34.6250	68.8000	
-0.1711	0.2398	0.1036	34.9250	67.3250	
-0.1713	0.2408	0.1069	36.2000	65.7250	
-0.1714	0.2416	0.1096	37.6750	64.8500	
-0.1715	0.2424	0.1122	38.6500	64.0750	
-0.1715	0.2426	0.1127	38.7750	63.4500	
-0.1715	0.2422	0.1110	38.9250	63.1750	
-0.1716	0.2418	0.1093	38.6750	63.1500	
-0.1717	0.2416	0.1082	39.0500	63.3750	
-0.1718	0.2411	0.1057	39.3250	63.6750	
-0.1719	0.2408	0.1040	38.5750	63.5500	
-0.1720	0.2407	0.1029	39.0750	63.6000	
-0.1722	0.2403	0.1004	38.5750	63.1500	
-0.1724	0.2405	0.1002	38.7750	62.4500	
-0.1725	0.2412	0.1022	38.9000	61.7750	
-0.1725	0.2413	0.1025	39.2250	61.1750	
-0.1725	0.2412	0.1021	40.0500	60.7750	
-0.1725	0.2413	0.1027	40.2750	60.2750	
-0.1724	0.2412	0.1027	40.9250	60.1500	
-0.1723	0.2405	0.1005	40.7500	60.1500	
-0.1722	0.2400	0.0989	40.9500	60.3750	
-0.1722	0.2396	0.0973	40.2250	60.9000	
-0.1723	0.2390	0.0947	38.4750	61.5250	
-0.1725	0.2383	0.0909	38.1250	62.2750	
-0.1726	0.2377	0.0879	37.8250	63.1000	
-0.1728	0.2369	0.0838	36.4500	63.8250	
-0.1729	0.2366	0.0815	36.3500	64.9750	
-0.1732	0.2366	0.0803	35.9750	66.1000	
-0.1733	0.2361	0.0781	34.9250	67.5000	
-0.1733	0.2355	0.0756	35.4500	68.6500	
-0.1734	0.2350	0.0732	35.3750	69.3500	
-0.1735	0.2355	0.0743	35.6000	70.8250	
-0.1735	0.2355	0.0746	36.0000	71.4250	
-0.1735	0.2353	0.0735	36.3250	71.7500	
-0.1734	0.2354	0.0744	35.1500	71.7750	
-0.1733	0.2356	0.0759	34.7500	71.4250	
-0.1733	0.2358	0.0770	35.4000	71.2250	
-0.1733	0.2362	0.0785	35.9250	70.4250	
-0.1733	0.2364	0.0792	37.3750	68.8250	
-0.1734	0.2365	0.0791	37.1500	67.8250	
-0.1734	0.2368	0.0802	36.7750	66.9000	
-0.1735	0.2375	0.0823	37.3000	66.0000	
-0.1736	0.2380	0.0843	37.7250	64.9500	
-0.1737	0.2380	0.0837	37.6750	64.3750	
-0.1737	0.2379	0.0827	38.5250	63.8000	
-0.1737	0.2387	0.0862	38.6750	63.7250	
-0.1738	0.2387	0.0855	37.1250	63.0500	
-0.1739	0.2382	0.0834	35.6500	62.4750	
-0.1738	0.2386	0.0855	35.6500	62.4750	
-0.1739	0.2389	0.0858	37.2000	62.5250	
-0.1740	0.2386	0.0842	36.0000	61.3750	
-0.1741	0.2385	0.0836	36.1000	61.1500	
-0.1743	0.2394	0.0858	35.8000	60.8750	
-0.1744	0.2395	0.0859	35.6500	60.3750	
-0.1746	0.2394	0.0849	36.2250	59.6000	
-0.1746	0.2400	0.0870	36.7750	59.1500	
-0.1748	0.2400	0.0860	34.8750	58.4250	
-0.1749	0.2401	0.0856	33.3000	57.9750	
-0.1751	0.2404	0.0862	34.3500	57.5250	
-0.1752	0.2410	0.0880	35.9250	57.1000	
-0.1752	0.2408	0.0868	34.1000	56.5000	
-0.1753	0.2411	0.0880	33.4500	56.3000	
-0.1754	0.2413	0.0878	31.9500	55.8250	
-0.1755	0.2408	0.0860	32.0250	55.2250	
-0.1754	0.2414	0.0884	33.3250	55.2750	
-0.1755	0.2412	0.0875	33.8500	55.1500	
-0.1754	0.2408	0.0860	33.0250	54.7000	
-0.1753	0.2407	0.0860	32.4000	54.5500	
-0.1754	0.2407	0.0859	30.7750	54.4500	
-0.1754	0.2405	0.0850	30.9750	54.3000	
-0.1753	0.2399	0.0828	30.1250	54.2750	
-0.1753	0.2399	0.0831	32.0500	54.3500	
-0.1753	0.2396	0.0820	30.8250	54.1750	
-0.1753	0.2391	0.0799	29.3000	54.2000	
-0.1752	0.2390	0.0798	29.5250	54.7250	
-0.1751	0.2387	0.0792	32.5000	55.0250	
-0.1753	0.2379	0.0752	30.7000	55.1250	
-0.1753	0.2375	0.0735	29.8500	55.9250	
-0.1754	0.2374	0.0723	28.4000	56.7250	
-0.1754	0.2367	0.0698	29.0250	56.9500	
-0.1757	0.2364	0.0671	30.5250	58.3750	
-0.1758	0.2362	0.0657	29.3750	59.3000	
-0.1761	0.2357	0.0623	29.1000	60.7250	
-0.1763	0.2357	0.0615	30.9250	62.4750	
-0.1762	0.2352	0.0596	32.2250	63.9250	
-0.1764	0.2354	0.0597	30.3250	65.9250	
-0.1764	0.2358	0.0612	30.9750	67.1500	
-0.1766	0.2356	0.0594	32.5250	67.9250	
-0.1766	0.2358	0.0603	33.0750	68.1500	
-0.1764	0.2361	0.0625	34.2000	68.7500	
-0.1764	0.2359	0.0613	36.6250	68.7500	
-0.1764	0.2359	0.0616	36.0250	68.5750	
-0.1762	0.2363	0.0639	34.8000	68.3250	
-0.1760	0.2365	0.0659	35.4250	67.6250	
-0.1759	0.2364	0.0659	36.3750	66.6750	
-0.1759	0.2368	0.0678	37.8250	65.6750	
-0.1759	0.2371	0.0691	38.2500	65.0250	
-0.1759	0.2374	0.0700	37.6750	64.1750	
-0.1760	0.2374	0.0698	37.5500	63.7500	
-0.1758	0.2377	0.0714	38.5500	62.9000	
-0.1757	0.2383	0.0744	38.5000	62.4250	
-0.1760	0.2381	0.0724	36.6750	61.8250	
-0.1762	0.2388	0.0743	38.3250	61.1500	
-0.1760	0.2387	0.0751	38.5750	60.6250	
-0.1760	0.2385	0.0742	33.6500	59.9250	
-0.1761	0.2389	0.0752	32.9750	60.0500	
-0.1763	0.2393	0.0759	35.3000	59.5750	
-0.1764	0.2387	0.0728	36.7750	59.3250	
-0.1764	0.2387	0.0730	34.8000	59.0750	
-0.1763	0.2384	0.0718	30.7000	59.0000	
-0.1763	0.2382	0.0711	30.2750	59.0250	
-0.1763	0.2384	0.0724	32.7500	58.9500	
-0.1762	0.2383	0.0721	32.6500	58.9750	
-0.1763	0.2374	0.0681	30.7500	59.1250	
-0.1763	0.2374	0.0677	32.0750	59.3250	
-0.1763	0.2375	0.0686	31.8750	59.5500	
-0.1763	0.2372	0.0677	32.1750	59.7500	
-0.1762	0.2366	0.0654	30.8750	59.9000	
-0.1763	0.2365	0.0649	27.9750	60.1750	
-0.1763	0.2369	0.0660	30.9250	60.3750	
-0.1763	0.2368	0.0657	30.7750	60.7000	
-0.1763	0.2362	0.0636	27.1500	60.7250	
-0.1761	0.2364	0.0651	31.4500	61.4000	
-0.1762	0.2364	0.0643	33.0000	61.3500	
-0.1761	0.2358	0.0628	31.3500	61.7500	
-0.1763	0.2362	0.0633	28.8250	61.7500	
-0.1762	0.2366	0.0653	29.1250	61.9500	
-0.1763	0.2363	0.0639	33.7000	62.0250	
-0.1763	0.2362	0.0631	34.7000	62.0500	
-0.1762	0.2362	0.0636	31.2000	62.2750	
-0.1763	0.2362	0.0635	28.1000	62.4250	
-0.1763	0.2366	0.0649	31.1750	62.4000	
-0.1763	0.2365	0.0646	32.3500	62.3750	
-0.1762	0.2363	0.0641	31.2000	62.2750	
-0.1761	0.2369	0.0671	33.6250	62.3500	
-0.1762	0.2369	0.0666	32.5750	62.1250	
-0.1763	0.2366	0.0648	30.0750	62.1750	
-0.1763	0.2368	0.0657	30.1250	62.2500	
-0.1763	0.2369	0.0662	33.1250	62.1250	
-0.1763	0.2365	0.0645	32.2500	61.9750	
-0.1761	0.2367	0.0660	28.7000	61.9500	
-0.1761	0.2370	0.0675	29.7750	62.0500	
-0.1756	0.2369	0.0695	33.5500	62.1250	
-0.1760	0.2367	0.0667	31.4250	61.8750	
-0.1758	0.2371	0.0691	30.7000	62.1500	
-0.1758	0.2367	0.0680	29.7000	61.8750	
-0.1759	0.2367	0.0675	28.8250	61.8250	
-0.1761	0.2369	0.0671	30.3750	62.0250	
-0.1761	0.2362	0.0641	29.2750	61.7500	
-0.1761	0.2362	0.0643	27.4750	61.7500	
-0.1760	0.2366	0.0662	28.7750	62.1250	
-0.1760	0.2365	0.0661	29.5500	61.9500	
-0.1760	0.2360	0.0639	28.0500	61.9250	
-0.1760	0.2358	0.0633	26.8000	61.9250	
-0.1761	0.2363	0.0650	25.7000	62.2750	
-0.1759	0.2362	0.0656	26.9750	62.4000	
-0.1757	0.2360	0.0655	30.0500	62.3000	
-0.1758	0.2356	0.0632	26.8500	62.2500	
-0.1758	0.2360	0.0649	25.6250	62.4500	
-0.1759	0.2359	0.0643	25.7750	62.5250	
-0.1759	0.2355	0.0626	26.3250	62.3750	
-0.1758	0.2356	0.0634	26.0750	62.8000	
-0.1757	0.2356	0.0637	25.5500	62.6250	
-0.1758	0.2354	0.0626	25.3500	62.6750	
-0.1758	0.2358	0.0643	25.3500	62.9500	
-0.1757	0.2351	0.0620	25.4000	62.9750	
-0.1756	0.2351	0.0623	25.7000	63.0500	
-0.1757	0.2352	0.0623	24.7750	62.9000	
-0.1757	0.2354	0.0633	25.7000	63.3250	
-0.1753	0.2354	0.0653	27.1500	62.9500	
-0.1750	0.2345	0.0630	25.9500	62.9250	
-0.1755	0.2352	0.0636	25.0750	63.5000	
-0.1755	0.2358	0.0653	25.9000	63.7500	
-0.1756	0.2348	0.0616	25.5250	63.6000	
-0.1756	0.2347	0.0607	24.4750	63.5500	
-0.1756	0.2354	0.0636	25.5000	64.0750	
-0.1756	0.2352	0.0625	24.9000	64.2000	
-0.1757	0.2351	0.0618	25.5500	64.3000	
-0.1756	0.2351	0.0623	25.5250	64.5750	
-0.1756	0.2353	0.0630	25.2500	64.6750	
-0.1756	0.2352	0.0627	25.1000	64.9500	
-0.1756	0.2351	0.0625	24.5250	65.0000	
-0.1756	0.2353	0.0632	24.8250	65.3500	
-0.1757	0.2351	0.0619	24.9250	65.2500	
-0.1757	0.2351	0.0619	25.1500	65.4750	
-0.1757	0.2352	0.0623	24.8500	65.5750	
-0.1757	0.2352	0.0625	24.8750	65.6250	
-0.1756	0.2352	0.0628	24.7500	66.1250	
-0.1757	0.2352	0.0621	24.9250	65.7750	
-0.1757	0.2353	0.0625	25.0500	66.2750	
-0.1757	0.2352	0.0623	24.7500	66.2000	
-0.1757	0.2353	0.0628	24.8500	66.1250	
-0.1757	0.2354	0.0629	24.9500	66.3750	
-0.1757	0.2353	0.0625	24.7500	66.3750	
-0.1757	0.2352	0.0626	24.8000	66.4500	
-0.1758	0.2354	0.0626	25.3250	66.4000	
-0.1754	0.2352	0.0636	25.4750	66.3000	
-0.1752	0.2355	0.0661	25.1250	66.3750	
-0.1757	0.2360	0.0656	25.2500	66.6000	
-0.1758	0.2356	0.0636	25.8750	66.4250	
-0.1757	0.2357	0.0641	24.5750	66.4250	
-0.1757	0.2355	0.0635	24.8250	66.4500	
-0.1756	0.2360	0.0662	24.9500	66.5000	
-0.1758	0.2368	0.0686	26.5250	66.7250	
-0.1756	0.2359	0.0655	25.0000	66.3500	
-0.1757	0.2362	0.0661	25.1000	66.7250	
-0.1757	0.2371	0.0698	26.2750	66.5250	
-0.1757	0.2368	0.0689	25.9750	66.2250	
-0.1757	0.2366	0.0676	24.7750	66.5000	
-0.1759	0.2374	0.0701	25.6000	66.5250	
-0.1758	0.2372	0.0697	24.9500	66.5000	
-0.1758	0.2370	0.0688	25.1250	66.4500	
-0.1757	0.2372	0.0706	25.1250	66.6500	
-0.1758	0.2380	0.0728	25.9250	66.5750	
-0.1760	0.2376	0.0707	26.0750	66.6250	
-0.1760	0.2376	0.0703	24.7000	66.5250	
-0.1761	0.2384	0.0728	24.8750	66.6000	
-0.1762	0.2389	0.0748	25.1500	66.5500	
-0.1763	0.2400	0.0784	25.3500	66.3750	
-0.1769	0.2418	0.0826	25.4000	65.9750	
-0.1781	0.2458	0.0926	26.7500	65.3750	
-0.1822	0.2555	0.1111	30.0750	64.0750	
-0.1916	0.2768	0.1488	41.2750	61.5250	
-0.2143	0.3207	0.2110	44.5000	58.2750	
-0.2435	0.3729	0.2740	43.6250	58.1500	
-0.2655	0.4040	0.2884	46.0000	65.1750	
-0.2536	0.3861	0.2766	46.9750	69.8500	
-0.2220	0.3449	0.2699	47.6500	69.1750	
-0.2010	0.3150	0.2547	48.2250	69.0000	
-0.1884	0.2961	0.2428	48.6500	68.9250	
-0.1816	0.2856	0.2344	48.9250	68.9250	
-0.1775	0.2786	0.2270	49.1500	68.9500	
-0.1751	0.2741	0.2207	49.4500	68.8250	
-0.1731	0.2702	0.2152	49.4250	68.3750	
-0.1717	0.2672	0.2101	49.5500	67.8750	
-0.1705	0.2645	0.2056	49.6000	66.8250	
-0.1696	0.2623	0.2014	49.5750	65.1250	
-0.1689	0.2605	0.1975	49.8000	63.1250	
-0.1684	0.2590	0.1939	49.7750	61.5500	
-0.1680	0.2577	0.1906	49.8750	59.5500	
-0.1678	0.2566	0.1874	49.9000	58.3250	
-0.1676	0.2557	0.1845	50.0250	57.5750	
-0.1675	0.2548	0.1817	50.0250	57.2750	
-0.1676	0.2542	0.1790	49.8500	56.7500	
-0.1676	0.2536	0.1765	49.8250	56.5000	
-0.1677	0.2531	0.1740	49.8500	56.0250	
-0.1678	0.2527	0.1716	49.8750	55.4000	
-0.1680	0.2524	0.1693	49.8750	55.3750	
-0.1683	0.2521	0.1670	49.8750	55.3500	
-0.1685	0.2518	0.1649	49.9000	55.4250	
-0.1687	0.2516	0.1628	49.9500	55.7000	
-0.1690	0.2514	0.1609	49.9250	56.2250	
-0.1693	0.2513	0.1589	49.9000	56.2250	
-0.1695	0.2512	0.1569	49.9500	56.4250	
-0.1698	0.2510	0.1551	49.9500	56.8500	
-0.1701	0.2509	0.1532	49.9250	57.2750	
-0.1704	0.2509	0.1515	49.9500	57.7250	
-0.1707	0.2508	0.1498	49.9750	58.1750	
-0.1710	0.2507	0.1481	49.9250	58.4000	
-0.1712	0.2507	0.1465	49.8500	58.7500	
-0.1715	0.2506	0.1449	49.9500	59.1250	
-0.1718	0.2506	0.1434	49.8750	59.3250	
-0.1721	0.2506	0.1418	50.1000	59.7500	
-0.1723	0.2505	0.1404	49.9750	59.9750	
-0.1726	0.2505	0.1389	49.9500	60.3500	
-0.1728	0.2504	0.1375	50.0750	60.6750	
-0.1731	0.2504	0.1362	50.0750	60.9750	
-0.1733	0.2504	0.1349	50.1500	61.2250	
-0.1736	0.2504	0.1337	50.2000	61.4750	
-0.1738	0.2504	0.1324	50.1000	61.6750	
-0.1740	0.2504	0.1313	50.1000	62.1500	
-0.1742	0.2503	0.1302	49.9500	62.2750	
-0.1744	0.2503	0.1291	49.9000	62.4750	
-0.1746	0.2503	0.1281	50.0000	62.7000	
-0.1748	0.2503	0.1270	49.9250	62.9250	
-0.1750	0.2503	0.1261	49.9250	62.9250	
-0.1752	0.2502	0.1251	49.9750	63.0500	
-0.1753	0.2502	0.1242	49.9750	63.2250	
-0.1755	0.2502	0.1233	50.0250	63.3250	
-0.1757	0.2502	0.1224	50.0000	63.4750	
-0.1758	0.2501	0.1216	49.8000	63.6500	
-0.1759	0.2501	0.1208	49.7750	63.7250	
-0.1761	0.2501	0.1199	49.8000	63.8000	
-0.1762	0.2501	0.1192	49.6750	63.8250	
-0.1764	0.2501	0.1184	49.5750	63.7000	
-0.1765	0.2500	0.1177	49.5500	63.6500	
-0.1766	0.2500	0.1169	49.5500	63.6250	
-0.1768	0.2500	0.1162	49.5000	63.6750	
-0.1769	0.2500	0.1155	49.4500	63.7750	
-0.1770	0.2500	0.1148	49.5250	63.6250	
-0.1772	0.2500	0.1141	49.3500	63.7500	
-0.1773	0.2499	0.1133	49.2750	63.8750	
-0.1774	0.2499	0.1126	49.2750	63.7000	
-0.1776	0.2499	0.1118	49.4500	63.8000	
-0.1777	0.2499	0.1110	49.5750	63.9000	
-0.1779	0.2499	0.1101	49.5000	63.8000	
-0.1780	0.2499	0.1094	49.7250	64.0000	
-0.1782	0.2498	0.1085	49.7750	63.9750	
-0.1783	0.2498	0.1076	49.7250	63.9500	
-0.1785	0.2498	0.1067	49.6750	64.2000	
-0.1786	0.2498	0.1059	49.6000	64.1250	
-0.1787	0.2497	0.1053	49.4750	64.0750	
-0.1789	0.2497	0.1046	49.5500	64.2500	
-0.1790	0.2497	0.1040	49.5500	64.2750	
-0.1791	0.2497	0.1033	49.3250	64.3500	
-0.1792	0.2497	0.1027	49.3750	64.4750	
-0.1794	0.2497	0.1018	49.3750	64.4000	
-0.1795	0.2497	0.1010	49.4500	64.4750	
-0.1797	0.2496	0.1002	49.5000	64.5750	
-0.1798	0.2496	0.0994	49.5500	64.6500	
-0.1800	0.2496	0.0985	49.4000	64.7750	
-0.1802	0.2496	0.0976	49.5000	64.6000	
-0.1804	0.2496	0.0967	49.5750	64.7500	
-0.1806	0.2496	0.0958	49.5750	64.7750	
-0.1808	0.2497	0.0946	49.6500	64.7250	
-0.1811	0.2497	0.0934	49.9750	64.8250	
-0.1814	0.2498	0.0922	50.0250	64.8750	
-0.1816	0.2498	0.0910	50.0000	65.0000	
-0.1819	0.2498	0.0900	50.0000	64.8750	
-0.1821	0.2498	0.0888	50.1250	65.0750	
-0.1824	0.2499	0.0876	50.1500	65.2000	
-0.1826	0.2499	0.0864	50.2000	65.2750	
-0.1829	0.2499	0.0849	50.3000	65.2250	
-0.1833	0.2499	0.0830	50.1500	65.2500	
-0.1838	0.2500	0.0808	50.6000	65.4500	
-0.1844	0.2500	0.0780	50.5000	65.1000	
-0.1850	0.2500	0.0754	50.3000	65.1000	
-0.1856	0.2501	0.0724	50.3250	65.3500	
-0.1863	0.2502	0.0691	50.4000	65.3500	
-0.1871	0.2502	0.0653	50.4500	65.1250	
-0.1879	0.2503	0.0615	50.4000	65.4750	
-0.1887	0.2503	0.0577	50.3000	65.7000	
-0.1896	0.2503	0.0532	50.2500	65.6500	
-0.1905	0.2503	0.0488	50.2500	65.6250	
-0.1914	0.2503	0.0443	50.2500	65.4250	
