Loss_Adversary	Accuracy_Adversary	Loss_Target	Accuracy_Target	
0.4199	0.4214	0.6302	50.0000	50.0000	
0.4155	0.4130	0.6226	50.0000	50.0000	
0.4104	0.4052	0.6143	50.0000	50.0000	
0.4046	0.3980	0.6053	50.0000	50.0000	
0.3989	0.3912	0.5964	50.0000	50.0000	
0.3929	0.3848	0.5873	50.0000	50.0000	
0.3865	0.3787	0.5779	50.0000	50.0000	
0.3796	0.3730	0.5678	50.0000	50.0000	
0.3721	0.3674	0.5570	50.0000	50.0000	
0.3640	0.3620	0.5456	50.0000	50.0000	
0.3555	0.3567	0.5336	50.0000	50.0000	
0.3463	0.3516	0.5208	50.0000	50.0000	
0.3368	0.3465	0.5076	50.0000	50.0000	
0.3267	0.3416	0.4938	50.0000	50.0000	
0.3164	0.3367	0.4796	50.0000	50.0000	
0.3060	0.3317	0.4654	50.0000	50.0000	
0.2954	0.3269	0.4510	50.0000	50.0000	
0.2848	0.3221	0.4366	50.0000	50.0000	
0.2744	0.3173	0.4224	50.0000	50.0000	
0.2640	0.3126	0.4081	50.0000	50.0000	
0.2537	0.3079	0.3941	50.0000	50.0000	
0.2434	0.3034	0.3801	50.0000	50.0000	
0.2334	0.2989	0.3665	50.0000	50.0000	
0.2236	0.2944	0.3531	50.0000	50.0000	
0.2142	0.2899	0.3402	50.0000	50.0000	
0.2052	0.2855	0.3279	50.0000	50.0000	
0.1964	0.2811	0.3158	50.0000	50.0000	
0.1881	0.2766	0.3043	50.0000	50.0000	
0.1802	0.2721	0.2933	50.0000	50.0000	
0.1727	0.2676	0.2828	50.0000	50.0000	
0.1657	0.2629	0.2728	50.0000	50.0000	
0.1590	0.2584	0.2634	50.0000	50.0000	
0.1529	0.2536	0.2545	50.0000	50.0000	
0.1470	0.2490	0.2460	50.0000	50.0000	
0.1416	0.2442	0.2380	50.0000	50.0000	
0.1366	0.2396	0.2306	50.0000	50.0000	
0.1320	0.2348	0.2237	50.0000	50.0000	
0.1275	0.2303	0.2170	50.0000	50.0000	
0.1235	0.2256	0.2108	50.0000	50.0000	
0.1198	0.2212	0.2050	50.0000	50.0000	
0.1164	0.2167	0.1997	50.0000	50.0000	
0.1133	0.2124	0.1947	50.0000	50.0000	
0.1099	0.2081	0.1894	50.0000	50.0000	
0.1057	0.2042	0.1831	50.0000	50.0000	
0.1015	0.2001	0.1768	50.0000	50.0000	
0.0975	0.1964	0.1710	50.0000	50.0000	
0.0943	0.1929	0.1661	50.0000	50.0000	
0.0917	0.1897	0.1621	50.0000	58.6000	
0.0899	0.1869	0.1591	50.0000	76.2500	
0.0885	0.1849	0.1568	50.0000	81.1250	
