Loss_Adversary	Accuracy_Adversary	Loss_Target	Accuracy_Target	
-0.0641	0.6491	0.8134	50.0000	50.0000	
-0.0588	0.6136	0.7735	50.0000	50.0000	
-0.0542	0.5812	0.7362	50.0000	50.0000	
-0.0509	0.5529	0.7020	50.0000	50.0000	
-0.0504	0.5309	0.6704	50.0000	50.0000	
-0.0521	0.5139	0.6406	50.0000	50.0000	
-0.0535	0.4976	0.6125	50.0000	50.0000	
-0.0545	0.4816	0.5862	50.0000	50.0000	
-0.0549	0.4659	0.5615	50.0000	50.0000	
-0.0553	0.4510	0.5383	50.0000	50.0000	
-0.0552	0.4363	0.5165	50.0000	50.0000	
-0.0548	0.4221	0.4961	50.0000	50.0000	
-0.0533	0.4084	0.4793	50.0000	50.0000	
-0.0512	0.3951	0.4647	50.0000	50.0000	
-0.0478	0.3824	0.4540	50.0000	50.0000	
-0.0444	0.3702	0.4444	50.0000	50.0000	
-0.0413	0.3586	0.4348	50.0000	50.0000	
-0.0383	0.3475	0.4254	50.0000	50.0000	
-0.0358	0.3370	0.4160	50.0000	50.0000	
-0.0338	0.3272	0.4065	50.0000	50.0000	
-0.0319	0.3180	0.3972	50.0000	50.0000	
-0.0305	0.3094	0.3879	50.0000	50.0000	
-0.0294	0.3015	0.3788	50.0000	50.0000	
-0.0287	0.2944	0.3698	50.0000	50.0000	
-0.0282	0.2874	0.3608	50.0000	50.0000	
-0.0277	0.2807	0.3517	50.0000	50.0000	
-0.0274	0.2743	0.3430	50.0000	50.0000	
-0.0275	0.2690	0.3347	50.0000	50.0000	
-0.0282	0.2647	0.3267	50.0000	50.0000	
-0.0294	0.2613	0.3185	50.0000	50.0000	
-0.0306	0.2590	0.3120	50.0000	50.0000	
-0.0321	0.2575	0.3060	50.0000	50.0000	
-0.0337	0.2567	0.3008	50.0000	50.0000	
-0.0353	0.2565	0.2964	50.0000	50.0000	
-0.0369	0.2566	0.2927	50.0000	50.0000	
-0.0385	0.2570	0.2893	50.0000	50.0000	
-0.0401	0.2575	0.2861	59.5000	50.0000	
-0.0416	0.2580	0.2828	73.6000	50.0000	
-0.0431	0.2581	0.2793	74.1750	50.0000	
-0.0447	0.2581	0.2753	75.0500	50.0000	
-0.0465	0.2578	0.2706	75.3750	50.0000	
-0.0484	0.2572	0.2649	75.3500	50.0000	
-0.0504	0.2562	0.2583	75.1500	50.0000	
-0.0525	0.2546	0.2506	74.8000	50.0000	
-0.0547	0.2524	0.2420	74.8750	50.0000	
-0.0567	0.2497	0.2327	74.6250	50.0000	
-0.0587	0.2464	0.2230	74.7750	50.0000	
-0.0604	0.2425	0.2128	74.6500	50.0000	
-0.0621	0.2382	0.2021	74.8000	56.4250	
-0.0639	0.2337	0.1909	74.7750	85.1250	
-0.0647	0.2289	0.1815	74.6500	91.5750	
-0.0648	0.2239	0.1739	74.9750	90.8000	
-0.0643	0.2191	0.1680	72.5750	89.4000	
-0.0632	0.2144	0.1636	53.0500	88.1750	
-0.0619	0.2101	0.1604	52.4250	86.5750	
-0.0605	0.2063	0.1582	53.5000	85.7750	
-0.0596	0.2038	0.1568	57.1500	85.5000	
-0.0592	0.2034	0.1571	65.1750	85.2250	
-0.0591	0.2044	0.1588	72.9000	86.1500	
-0.0588	0.2054	0.1610	74.7250	88.0000	
-0.0583	0.2057	0.1627	74.9750	88.7250	
-0.0578	0.2048	0.1628	74.6000	88.1250	
-0.0573	0.2038	0.1623	74.8000	88.2250	
-0.0569	0.2023	0.1611	74.6000	88.3750	
-0.0566	0.2013	0.1605	74.9000	88.6000	
-0.0563	0.2005	0.1602	74.9250	88.8750	
-0.0560	0.2003	0.1604	74.9250	89.2000	
-0.0558	0.2003	0.1609	74.9500	89.6000	
-0.0557	0.2006	0.1616	74.8750	90.1000	
-0.0556	0.2005	0.1617	74.8000	90.5750	
-0.0556	0.2009	0.1623	75.1000	91.0000	
-0.0557	0.2011	0.1625	74.8500	91.4250	
-0.0557	0.2012	0.1625	74.8750	91.7750	
-0.0558	0.2017	0.1631	74.9750	92.1750	
-0.0558	0.2018	0.1631	74.8750	92.4500	
-0.0559	0.2027	0.1643	75.0500	93.2250	
-0.0560	0.2026	0.1638	74.8750	93.1250	
-0.0562	0.2032	0.1644	74.9750	93.7500	
-0.0561	0.2029	0.1641	74.9500	93.6750	
-0.0559	0.2029	0.1645	75.0750	94.2250	
-0.0557	0.2023	0.1642	74.8500	94.4250	
-0.0555	0.2023	0.1647	74.6750	94.6750	
-0.0553	0.2025	0.1657	74.5500	94.9750	
-0.0550	0.2023	0.1661	74.4500	95.6250	
-0.0547	0.2023	0.1666	74.4500	95.7750	
-0.0545	0.2024	0.1673	75.1000	96.1000	
-0.0542	0.2025	0.1682	75.6500	96.1250	
-0.0539	0.2019	0.1681	75.2750	96.5000	
-0.0535	0.2023	0.1697	74.0250	96.8000	
-0.0533	0.2022	0.1701	74.2500	97.0250	
-0.0531	0.2020	0.1703	74.5000	97.3000	
-0.0529	0.2029	0.1722	74.9500	97.6750	
-0.0526	0.2028	0.1726	75.3000	97.9750	
-0.0526	0.2031	0.1732	75.1500	98.2000	
-0.0525	0.2040	0.1748	75.0750	98.3750	
-0.0525	0.2047	0.1759	75.0250	98.5250	
-0.0525	0.2058	0.1774	75.0750	98.8250	
-0.0525	0.2065	0.1784	74.9250	99.0250	
-0.0527	0.2073	0.1792	74.7250	98.9250	
-0.0529	0.2085	0.1806	74.5000	98.9000	
-0.0530	0.2100	0.1825	74.4000	99.1000	
-0.0534	0.2125	0.1853	74.5250	98.5500	
-0.0537	0.2137	0.1862	74.4750	98.7500	
-0.0543	0.2157	0.1877	73.9750	98.3750	
-0.0550	0.2182	0.1898	73.3000	98.1750	
-0.0557	0.2215	0.1930	72.9500	97.8500	
-0.0564	0.2246	0.1958	72.5750	97.3250	
-0.0570	0.2271	0.1982	72.0500	96.7500	
-0.0573	0.2297	0.2015	71.5250	95.6250	
-0.0572	0.2317	0.2046	70.7750	95.0250	
-0.0569	0.2328	0.2070	69.7500	94.9000	
-0.0569	0.2328	0.2068	68.9250	93.4500	
-0.0582	0.2279	0.1964	72.0500	97.3750	
-0.0592	0.2199	0.1820	73.2500	98.0500	
-0.0590	0.2144	0.1740	73.5250	98.5250	
-0.0591	0.2165	0.1770	71.6750	98.3750	
-0.0603	0.2253	0.1873	67.0750	96.6500	
-0.0617	0.2381	0.2030	63.8250	92.5000	
-0.0640	0.2514	0.2171	59.1500	88.7750	
-0.0690	0.2707	0.2336	42.0000	81.3250	
-0.0714	0.2820	0.2444	42.2500	77.6750	
-0.0709	0.2810	0.2443	50.2250	76.8250	
-0.0714	0.2724	0.2300	47.6000	82.8500	
-0.0747	0.2619	0.2061	35.7500	91.9000	
-0.0777	0.2519	0.1836	25.6250	97.0250	
-0.0785	0.2470	0.1742	24.6000	98.1250	
-0.0787	0.2489	0.1766	24.5750	97.6750	
-0.0790	0.2523	0.1811	24.7250	96.7250	
-0.0792	0.2530	0.1814	24.7500	96.1250	
-0.0796	0.2523	0.1794	25.2000	96.2000	
-0.0800	0.2524	0.1786	24.8000	95.8500	
-0.0804	0.2530	0.1784	25.0250	95.5750	
-0.0809	0.2538	0.1785	25.1000	95.3000	
-0.0814	0.2551	0.1793	25.0500	95.1000	
-0.0819	0.2563	0.1796	24.9500	94.6500	
-0.0824	0.2574	0.1802	24.7000	94.4250	
-0.0828	0.2571	0.1787	24.7500	93.1750	
-0.0831	0.2565	0.1769	24.7500	93.3250	
-0.0834	0.2557	0.1750	24.7500	92.3750	
-0.0839	0.2549	0.1727	24.8750	92.2250	
-0.0845	0.2542	0.1702	25.1750	91.6750	
-0.0852	0.2538	0.1678	25.6750	91.6250	
-0.0859	0.2541	0.1663	27.1000	91.0000	
-0.0865	0.2545	0.1655	29.6000	90.3750	
-0.0872	0.2551	0.1647	34.6500	89.7000	
-0.0879	0.2558	0.1639	41.1750	89.4000	
-0.0890	0.2577	0.1641	46.2750	87.9250	
-0.0900	0.2601	0.1651	49.0500	86.3000	
-0.0896	0.2599	0.1659	49.3250	84.7000	
-0.0881	0.2572	0.1655	49.4500	84.2000	
-0.0872	0.2545	0.1638	49.9750	84.9000	
-0.0867	0.2528	0.1624	51.8250	85.5250	
-0.0867	0.2523	0.1616	54.4750	85.7750	
