Loss_Adversary	Accuracy_Adversary	Loss_Target	Accuracy_Target	
0.7765	0.6130	0.7765	50.0000	50.0000	
0.7348	0.5702	0.7348	50.0000	50.0000	
0.6958	0.5494	0.6958	50.0000	50.0000	
0.6591	0.5302	0.6591	50.0000	50.0000	
0.6230	0.5119	0.6230	50.0000	50.0000	
0.5878	0.4943	0.5878	50.0000	50.0000	
0.5547	0.4775	0.5547	50.0000	50.0000	
0.5238	0.4614	0.5238	50.0000	50.0000	
0.4982	0.4459	0.4982	50.0000	50.0000	
0.4819	0.4311	0.4819	50.0000	50.0000	
0.4684	0.4169	0.4684	50.0000	50.0000	
0.4576	0.4032	0.4576	50.0000	50.0000	
0.4468	0.3899	0.4468	50.0000	50.0000	
0.4360	0.3771	0.4360	50.0000	50.0000	
0.4249	0.3647	0.4249	50.0000	50.0000	
0.4134	0.3528	0.4134	50.0000	50.0000	
0.4017	0.3414	0.4017	50.0000	50.0000	
0.3897	0.3306	0.3897	50.0000	50.0000	
0.3778	0.3204	0.3778	50.0000	50.0000	
0.3658	0.3107	0.3658	50.0000	50.0000	
0.3532	0.3018	0.3532	50.0000	50.0000	
0.3399	0.2935	0.3399	50.0000	50.0000	
0.3262	0.2862	0.3262	50.0000	50.0000	
0.3130	0.2795	0.3130	50.0000	50.0000	
0.3012	0.2734	0.3012	50.0000	50.0000	
0.2916	0.2679	0.2916	50.0000	50.0000	
0.2841	0.2629	0.2841	50.0000	50.0000	
0.2785	0.2584	0.2785	50.0000	50.0000	
0.2739	0.2544	0.2739	50.0000	50.0000	
0.2693	0.2509	0.2693	50.0000	39.5000	
0.2642	0.2479	0.2642	50.0000	41.6000	
0.2580	0.2454	0.2580	50.0000	46.2000	
0.2506	0.2432	0.2506	50.0000	47.2000	
0.2419	0.2412	0.2419	50.0000	48.1000	
0.2321	0.2391	0.2321	50.0000	48.5000	
0.2223	0.2368	0.2223	50.0000	48.5000	
0.2126	0.2341	0.2126	50.0000	48.6000	
0.2020	0.2313	0.2020	50.0000	48.2000	
0.1911	0.2289	0.1911	50.0000	48.5000	
0.1810	0.2266	0.1810	50.0000	48.9000	
0.1727	0.2239	0.1727	50.0000	48.9000	
0.1670	0.2213	0.1670	50.0000	48.8000	
0.1628	0.2188	0.1628	50.0000	48.5000	
0.1596	0.2163	0.1596	50.0000	48.6000	
0.1571	0.2137	0.1571	48.8000	48.6000	
0.1553	0.2109	0.1553	47.1000	48.5000	
0.1541	0.2079	0.1541	45.9000	48.4000	
0.1531	0.2050	0.1531	43.2000	48.4000	
0.1522	0.2024	0.1522	39.5000	48.4000	
0.1514	0.2000	0.1514	36.7000	48.3000	
0.1506	0.1978	0.1506	33.4000	48.4000	
0.1498	0.1955	0.1498	31.5000	48.3000	
0.1492	0.1933	0.1492	32.9000	48.3000	
0.1486	0.1913	0.1486	36.6000	48.3000	
0.1481	0.1894	0.1481	39.7000	48.4000	
0.1477	0.1878	0.1477	40.4000	48.4000	
0.1474	0.1862	0.1474	41.5000	48.4000	
0.1470	0.1849	0.1470	42.1000	48.4000	
0.1467	0.1835	0.1467	43.0000	48.3000	
0.1464	0.1822	0.1464	43.1000	48.3000	
0.1461	0.1809	0.1461	43.5000	48.3000	
0.1458	0.1797	0.1458	43.9000	48.4000	
0.1455	0.1788	0.1455	44.1000	48.3000	
0.1452	0.1780	0.1452	43.8000	48.4000	
0.1449	0.1771	0.1449	44.3000	48.4000	
0.1447	0.1763	0.1447	44.5000	48.3000	
0.1444	0.1756	0.1444	44.3000	48.3000	
0.1441	0.1750	0.1441	43.0000	48.3000	
0.1438	0.1744	0.1438	43.2000	48.4000	
0.1435	0.1742	0.1435	44.1000	48.4000	
0.1433	0.1735	0.1433	43.7000	48.4000	
0.1430	0.1734	0.1430	44.5000	48.4000	
0.1427	0.1729	0.1427	44.1000	48.3000	
0.1424	0.1727	0.1424	44.4000	48.5000	
0.1421	0.1724	0.1421	45.0000	48.5000	
0.1418	0.1721	0.1418	44.5000	48.5000	
0.1416	0.1720	0.1416	44.4000	48.6000	
0.1412	0.1717	0.1412	44.6000	48.6000	
0.1409	0.1716	0.1409	44.6000	48.6000	
0.1406	0.1714	0.1406	44.9000	48.6000	
0.1403	0.1714	0.1403	45.1000	48.5000	
0.1400	0.1712	0.1400	45.5000	48.5000	
0.1397	0.1710	0.1397	45.1000	48.5000	
0.1393	0.1708	0.1393	45.5000	48.5000	
0.1390	0.1707	0.1390	45.9000	48.5000	
0.1387	0.1707	0.1387	46.0000	48.5000	
0.1384	0.1706	0.1384	46.2000	48.5000	
0.1381	0.1704	0.1381	46.8000	48.4000	
0.1378	0.1701	0.1378	46.8000	48.5000	
0.1374	0.1701	0.1374	46.2000	48.4000	
0.1371	0.1701	0.1371	46.5000	48.4000	
0.1367	0.1702	0.1367	47.4000	48.3000	
0.1363	0.1702	0.1363	47.5000	48.4000	
0.1359	0.1703	0.1359	47.8000	48.4000	
0.1354	0.1705	0.1354	48.2000	48.4000	
0.1349	0.1709	0.1349	48.7000	48.5000	
0.1345	0.1714	0.1345	49.0000	48.5000	
0.1340	0.1717	0.1340	49.9000	48.6000	
0.1334	0.1721	0.1334	50.4000	48.6000	
0.1328	0.1726	0.1328	51.2000	48.6000	
0.1323	0.1729	0.1323	51.2000	48.7000	
0.1317	0.1736	0.1317	50.8000	48.7000	
0.1311	0.1746	0.1311	52.0000	48.8000	
0.1304	0.1758	0.1304	53.5000	48.9000	
0.1297	0.1774	0.1297	55.2000	48.8000	
0.1290	0.1789	0.1290	55.5000	48.8000	
0.1282	0.1806	0.1282	57.3000	48.8000	
0.1274	0.1826	0.1274	57.8000	49.2000	
0.1264	0.1825	0.1264	58.0000	49.1000	
0.1254	0.1833	0.1254	58.7000	49.1000	
0.1243	0.1845	0.1243	59.4000	49.2000	
0.1231	0.1845	0.1231	60.4000	49.1000	
0.1219	0.1846	0.1219	60.7000	49.3000	
0.1206	0.1836	0.1206	60.0000	49.4000	
0.1192	0.1823	0.1192	59.1000	49.6000	
0.1175	0.1819	0.1175	58.7000	49.6000	
0.1155	0.1803	0.1155	58.3000	49.6000	
0.1130	0.1781	0.1130	57.3000	49.7000	
0.1104	0.1756	0.1104	56.7000	49.7000	
0.1076	0.1741	0.1076	55.6000	50.0000	
0.1041	0.1718	0.1041	54.2000	50.0000	
0.1003	0.1698	0.1003	53.2000	50.3000	
0.0958	0.1676	0.0958	52.1000	50.9000	
0.0911	0.1653	0.0911	51.6000	51.8000	
0.0861	0.1635	0.0861	51.1000	53.0000	
0.0803	0.1616	0.0803	49.5000	53.5000	
0.0745	0.1597	0.0745	49.2000	54.1000	
0.0687	0.1579	0.0687	49.2000	54.7000	
0.0629	0.1566	0.0629	49.3000	56.2000	
0.0576	0.1553	0.0576	49.7000	57.7000	
0.0527	0.1543	0.0527	49.2000	58.5000	
0.0485	0.1534	0.0485	49.3000	60.5000	
0.0449	0.1526	0.0449	49.3000	61.1000	
0.0419	0.1517	0.0419	49.3000	61.1000	
0.0395	0.1508	0.0395	49.1000	61.2000	
0.0374	0.1500	0.0374	49.4000	61.7000	
0.0356	0.1494	0.0356	48.6000	62.2000	
0.0341	0.1489	0.0341	49.1000	62.4000	
0.0328	0.1484	0.0328	49.3000	62.2000	
0.0317	0.1479	0.0317	49.1000	62.6000	
0.0307	0.1475	0.0307	49.1000	62.0000	
0.0298	0.1472	0.0298	49.3000	62.8000	
0.0289	0.1468	0.0289	48.8000	62.3000	
0.0281	0.1464	0.0281	48.6000	62.3000	
0.0274	0.1461	0.0274	48.8000	62.4000	
0.0267	0.1458	0.0267	48.6000	63.1000	
0.0260	0.1455	0.0260	48.2000	62.6000	
0.0254	0.1453	0.0254	48.3000	62.6000	
0.0249	0.1450	0.0249	48.3000	63.3000	
0.0241	0.1448	0.0241	48.4000	63.3000	
0.0236	0.1446	0.0236	48.2000	62.9000	
0.0229	0.1444	0.0229	47.9000	63.7000	
0.0224	0.1442	0.0224	48.0000	64.1000	
0.0218	0.1440	0.0218	48.2000	64.2000	
0.0213	0.1438	0.0213	47.9000	64.4000	
0.0206	0.1436	0.0206	47.9000	64.1000	
0.0201	0.1434	0.0201	48.0000	63.5000	
0.0194	0.1432	0.0194	48.0000	64.7000	
0.0188	0.1431	0.0188	48.2000	64.9000	
0.0182	0.1429	0.0182	47.7000	65.4000	
0.0176	0.1428	0.0176	47.4000	65.5000	
0.0170	0.1427	0.0170	47.3000	65.6000	
0.0164	0.1426	0.0164	47.9000	65.9000	
0.0159	0.1425	0.0159	47.4000	66.2000	
0.0154	0.1424	0.0154	47.3000	66.4000	
0.0149	0.1423	0.0149	47.5000	66.7000	
0.0144	0.1422	0.0144	47.4000	66.9000	
0.0140	0.1422	0.0140	47.5000	67.1000	
0.0136	0.1420	0.0136	47.8000	67.0000	
0.0132	0.1419	0.0132	47.5000	66.7000	
0.0128	0.1419	0.0128	47.7000	67.1000	
0.0124	0.1418	0.0124	47.8000	67.0000	
0.0120	0.1417	0.0120	47.7000	66.9000	
0.0117	0.1416	0.0117	47.7000	66.6000	
0.0114	0.1415	0.0114	47.7000	67.6000	
0.0111	0.1415	0.0111	47.7000	66.9000	
0.0108	0.1414	0.0108	47.5000	67.3000	
0.0105	0.1414	0.0105	47.6000	67.7000	
0.0103	0.1413	0.0103	47.5000	66.8000	
0.0100	0.1412	0.0100	47.5000	66.9000	
0.0098	0.1411	0.0098	47.3000	68.2000	
0.0095	0.1412	0.0095	47.6000	68.5000	
0.0093	0.1411	0.0093	47.5000	68.6000	
0.0090	0.1410	0.0090	47.3000	69.3000	
0.0088	0.1409	0.0088	47.2000	69.7000	
0.0086	0.1409	0.0086	47.5000	69.0000	
0.0084	0.1407	0.0084	47.2000	69.2000	
0.0082	0.1407	0.0082	47.3000	69.8000	
0.0080	0.1406	0.0080	47.3000	70.1000	
0.0078	0.1406	0.0078	47.3000	70.3000	
0.0076	0.1406	0.0076	47.3000	70.3000	
0.0074	0.1405	0.0074	47.1000	70.7000	
0.0072	0.1405	0.0072	47.5000	70.7000	
0.0070	0.1404	0.0070	47.2000	70.7000	
0.0068	0.1403	0.0068	47.1000	70.5000	
0.0066	0.1403	0.0066	47.1000	71.2000	
0.0065	0.1403	0.0065	47.1000	71.1000	
0.0063	0.1402	0.0063	47.0000	70.2000	
0.0062	0.1402	0.0062	47.1000	71.3000	
0.0060	0.1403	0.0060	47.0000	71.4000	
0.0059	0.1401	0.0059	46.7000	71.0000	
0.0057	0.1401	0.0057	46.5000	70.3000	
0.0056	0.1401	0.0056	46.9000	71.5000	
0.0054	0.1401	0.0054	47.2000	71.3000	
0.0053	0.1400	0.0053	46.9000	71.5000	
0.0052	0.1400	0.0052	46.7000	71.8000	
0.0050	0.1399	0.0050	46.5000	70.9000	
0.0049	0.1399	0.0049	46.5000	72.0000	
0.0048	0.1399	0.0048	46.9000	71.1000	
0.0047	0.1399	0.0047	47.1000	71.5000	
0.0045	0.1398	0.0045	47.0000	71.9000	
0.0044	0.1398	0.0044	47.1000	71.4000	
0.0043	0.1397	0.0043	47.0000	71.2000	
0.0042	0.1397	0.0042	46.9000	71.9000	
0.0042	0.1396	0.0042	46.4000	70.7000	
0.0041	0.1396	0.0041	46.2000	72.4000	
