Loss_Adversary	Accuracy_Adversary	Loss_Target	Accuracy_Target	
0.3196	0.3366	0.7571	50.0000	50.0000	
0.3003	0.3333	0.7227	50.0000	50.0000	
0.2814	0.3301	0.6890	50.0000	50.0000	
0.2627	0.3270	0.6559	50.0000	50.0000	
0.2441	0.3240	0.6228	50.0000	50.0000	
0.2255	0.3210	0.5899	50.0000	50.0000	
0.2069	0.3182	0.5570	50.0000	50.0000	
0.1884	0.3155	0.5243	50.0000	50.0000	
0.1702	0.3128	0.4922	50.0000	50.0000	
0.1523	0.3102	0.4606	50.0000	50.0000	
0.1349	0.3077	0.4300	50.0000	50.0000	
0.1182	0.3053	0.4005	50.0000	50.0000	
0.1025	0.3030	0.3727	50.0000	50.0000	
0.0879	0.3007	0.3470	50.0000	50.0000	
0.0733	0.2986	0.3212	50.0000	50.0000	
0.0597	0.2959	0.2969	50.0000	50.0000	
0.0483	0.2912	0.2746	50.0000	50.0000	
0.0387	0.2852	0.2547	50.0000	50.0000	
0.0303	0.2793	0.2367	50.0000	50.0000	
0.0232	0.2732	0.2209	50.0000	84.2000	
0.0175	0.2668	0.2071	50.0000	87.0000	
0.0133	0.2600	0.1955	50.0000	88.2000	
0.0103	0.2529	0.1858	50.0000	88.5000	
0.0087	0.2457	0.1782	50.0000	88.1000	
0.0084	0.2384	0.1729	50.0000	87.7000	
0.0093	0.2310	0.1695	72.8000	87.5000	
0.0109	0.2238	0.1674	73.5000	87.4000	
0.0128	0.2169	0.1659	73.6000	87.6000	
0.0145	0.2109	0.1648	73.7000	87.6000	
0.0160	0.2057	0.1638	72.7000	88.0000	
0.0174	0.2008	0.1629	73.4000	87.9000	
0.0184	0.1971	0.1621	73.3000	89.3000	
0.0188	0.1948	0.1612	73.3000	89.6000	
0.0191	0.1928	0.1603	73.1000	90.0000	
0.0193	0.1912	0.1597	73.2000	90.1000	
0.0195	0.1897	0.1589	73.3000	90.8000	
0.0197	0.1884	0.1584	74.1000	92.4000	
0.0198	0.1871	0.1577	74.0000	93.5000	
0.0199	0.1851	0.1566	73.6000	93.7000	
0.0201	0.1832	0.1557	73.5000	94.6000	
0.0202	0.1801	0.1538	73.2000	94.7000	
0.0200	0.1768	0.1512	73.4000	95.7000	
0.0192	0.1728	0.1471	73.5000	96.3000	
0.0173	0.1679	0.1408	73.7000	96.9000	
0.0139	0.1633	0.1321	72.9000	97.3000	
0.0086	0.1587	0.1202	72.9000	96.3000	
0.0018	0.1561	0.1071	72.4000	94.7000	
-0.0060	0.1546	0.0931	73.4000	93.7000	
-0.0135	0.1526	0.0792	74.1000	88.3000	
-0.0201	0.1515	0.0675	73.1000	88.7000	
-0.0255	0.1501	0.0576	73.9000	86.5000	
-0.0297	0.1493	0.0501	74.2000	83.3000	
-0.0331	0.1490	0.0442	73.7000	82.0000	
-0.0360	0.1494	0.0396	74.1000	78.5000	
-0.0385	0.1497	0.0356	74.1000	77.6000	
-0.0405	0.1489	0.0317	67.9000	79.4000	
-0.0421	0.1480	0.0284	52.2000	76.7000	
-0.0436	0.1480	0.0261	51.3000	75.6000	
-0.0450	0.1468	0.0230	51.9000	75.6000	
-0.0461	0.1458	0.0204	53.8000	77.3000	
-0.0468	0.1451	0.0187	55.9000	75.5000	
-0.0475	0.1444	0.0170	57.4000	73.9000	
-0.0482	0.1439	0.0156	57.2000	74.4000	
-0.0487	0.1434	0.0144	54.6000	73.4000	
-0.0492	0.1432	0.0135	53.0000	73.3000	
-0.0496	0.1431	0.0128	52.9000	74.1000	
-0.0501	0.1439	0.0124	52.1000	73.6000	
-0.0503	0.1427	0.0113	51.2000	72.9000	
-0.0505	0.1425	0.0108	52.9000	72.9000	
-0.0511	0.1431	0.0102	51.3000	73.5000	
-0.0512	0.1427	0.0098	49.5000	73.4000	
-0.0515	0.1424	0.0091	49.9000	73.7000	
-0.0518	0.1424	0.0086	50.2000	73.8000	
-0.0520	0.1422	0.0081	49.5000	72.9000	
-0.0524	0.1429	0.0080	47.7000	74.1000	
-0.0525	0.1423	0.0074	48.0000	73.1000	
-0.0526	0.1422	0.0071	48.7000	73.9000	
-0.0529	0.1428	0.0070	46.2000	73.1000	
-0.0530	0.1422	0.0064	46.5000	73.6000	
-0.0532	0.1423	0.0062	46.1000	73.9000	
-0.0533	0.1421	0.0059	46.3000	73.2000	
-0.0535	0.1423	0.0056	45.0000	73.7000	
-0.0536	0.1420	0.0053	46.6000	72.9000	
-0.0538	0.1422	0.0052	45.4000	73.5000	
-0.0539	0.1420	0.0049	45.8000	73.2000	
-0.0541	0.1423	0.0048	45.7000	72.9000	
-0.0542	0.1421	0.0045	45.7000	72.9000	
-0.0543	0.1423	0.0044	45.8000	73.8000	
-0.0543	0.1421	0.0042	46.6000	72.7000	
-0.0545	0.1425	0.0041	46.0000	73.1000	
-0.0546	0.1425	0.0040	45.5000	72.9000	
-0.0546	0.1423	0.0038	47.1000	72.7000	
-0.0548	0.1427	0.0037	46.5000	73.0000	
-0.0548	0.1424	0.0036	45.9000	72.5000	
-0.0549	0.1425	0.0035	48.3000	73.3000	
-0.0551	0.1427	0.0034	46.0000	72.5000	
-0.0551	0.1424	0.0032	47.1000	72.9000	
-0.0551	0.1426	0.0032	47.6000	73.0000	
-0.0552	0.1426	0.0030	47.4000	72.4000	
-0.0553	0.1427	0.0030	47.6000	73.1000	
-0.0553	0.1427	0.0029	48.0000	72.8000	
-0.0554	0.1427	0.0029	48.3000	72.5000	
-0.0554	0.1428	0.0028	49.2000	72.8000	
-0.0555	0.1429	0.0027	48.8000	72.7000	
-0.0556	0.1430	0.0027	48.5000	73.2000	
-0.0556	0.1430	0.0026	48.7000	72.6000	
-0.0557	0.1432	0.0027	48.3000	73.3000	
-0.0556	0.1431	0.0027	50.2000	72.6000	
-0.0558	0.1437	0.0028	48.9000	73.8000	
-0.0557	0.1432	0.0026	51.1000	72.2000	
-0.0558	0.1437	0.0027	50.4000	73.3000	
-0.0560	0.1439	0.0026	49.5000	72.5000	
-0.0560	0.1438	0.0026	50.7000	73.0000	
-0.0560	0.1439	0.0027	52.1000	73.5000	
-0.0560	0.1439	0.0025	51.8000	72.4000	
-0.0561	0.1443	0.0026	51.2000	73.4000	
-0.0561	0.1442	0.0027	51.5000	72.8000	
-0.0561	0.1445	0.0028	49.5000	73.2000	
-0.0561	0.1445	0.0028	50.9000	72.4000	
-0.0562	0.1448	0.0029	52.1000	73.2000	
-0.0563	0.1449	0.0029	51.9000	72.6000	
-0.0563	0.1451	0.0030	52.2000	73.8000	
-0.0563	0.1452	0.0030	52.0000	72.9000	
-0.0563	0.1454	0.0030	51.7000	73.1000	
-0.0563	0.1453	0.0030	52.4000	72.6000	
-0.0564	0.1456	0.0031	51.6000	73.2000	
-0.0564	0.1460	0.0033	50.2000	73.2000	
-0.0564	0.1456	0.0031	52.3000	72.7000	
-0.0565	0.1461	0.0032	51.9000	73.5000	
-0.0565	0.1457	0.0030	51.9000	72.3000	
-0.0565	0.1458	0.0030	52.6000	73.3000	
-0.0566	0.1459	0.0029	51.4000	72.6000	
-0.0566	0.1460	0.0029	51.8000	73.4000	
-0.0567	0.1459	0.0028	51.3000	72.9000	
-0.0567	0.1460	0.0027	51.6000	73.1000	
-0.0568	0.1459	0.0026	51.7000	72.8000	
-0.0569	0.1464	0.0027	49.7000	73.1000	
-0.0568	0.1460	0.0027	50.7000	72.8000	
-0.0570	0.1464	0.0026	49.0000	73.2000	
-0.0570	0.1462	0.0024	50.2000	72.5000	
-0.0570	0.1463	0.0024	51.0000	73.1000	
-0.0571	0.1464	0.0024	51.2000	72.7000	
-0.0571	0.1463	0.0024	50.9000	72.6000	
-0.0572	0.1465	0.0024	50.3000	73.1000	
-0.0572	0.1464	0.0023	51.4000	72.5000	
-0.0572	0.1466	0.0023	51.5000	73.0000	
-0.0572	0.1467	0.0024	51.1000	72.5000	
-0.0572	0.1468	0.0025	50.3000	73.1000	
-0.0572	0.1468	0.0026	49.8000	72.4000	
-0.0572	0.1467	0.0025	51.9000	73.1000	
-0.0573	0.1473	0.0026	49.5000	73.0000	
-0.0573	0.1467	0.0023	51.4000	72.4000	
-0.0575	0.1472	0.0024	50.2000	72.8000	
-0.0575	0.1472	0.0024	49.5000	72.8000	
-0.0575	0.1473	0.0024	49.7000	73.4000	
-0.0575	0.1472	0.0024	50.6000	73.3000	
-0.0577	0.1480	0.0026	49.4000	72.7000	
-0.0575	0.1476	0.0025	49.6000	73.6000	
-0.0577	0.1480	0.0025	50.3000	72.8000	
-0.0578	0.1482	0.0025	49.4000	73.4000	
-0.0578	0.1482	0.0024	50.2000	73.6000	
-0.0581	0.1495	0.0029	49.5000	72.2000	
-0.0581	0.1491	0.0026	51.1000	74.6000	
-0.0583	0.1496	0.0027	52.3000	72.4000	
-0.0585	0.1505	0.0029	51.5000	74.5000	
-0.0586	0.1508	0.0028	52.9000	73.6000	
-0.0587	0.1515	0.0031	51.4000	73.6000	
-0.0589	0.1521	0.0033	50.2000	73.8000	
-0.0590	0.1523	0.0032	49.5000	73.9000	
-0.0590	0.1527	0.0035	48.3000	73.8000	
-0.0590	0.1528	0.0035	50.2000	74.3000	
-0.0591	0.1534	0.0037	51.1000	73.4000	
-0.0591	0.1544	0.0044	50.9000	73.1000	
-0.0590	0.1539	0.0044	56.0000	74.4000	
-0.0592	0.1540	0.0040	52.9000	72.9000	
-0.0592	0.1542	0.0040	51.2000	74.0000	
-0.0593	0.1542	0.0039	51.9000	73.7000	
-0.0593	0.1542	0.0039	51.7000	73.4000	
-0.0594	0.1544	0.0039	49.6000	72.7000	
-0.0594	0.1542	0.0038	52.0000	73.3000	
-0.0593	0.1538	0.0037	52.4000	72.6000	
-0.0594	0.1541	0.0038	52.6000	72.7000	
-0.0594	0.1545	0.0041	48.9000	71.0000	
-0.0593	0.1539	0.0039	54.6000	73.9000	
-0.0592	0.1544	0.0042	47.5000	70.4000	
-0.0592	0.1537	0.0038	50.9000	74.2000	
-0.0592	0.1533	0.0035	47.9000	71.4000	
-0.0592	0.1533	0.0035	49.3000	73.2000	
-0.0592	0.1537	0.0039	46.9000	70.4000	
-0.0592	0.1529	0.0034	51.3000	73.5000	
-0.0592	0.1530	0.0033	48.6000	70.9000	
-0.0592	0.1530	0.0033	47.5000	73.2000	
-0.0591	0.1525	0.0032	47.7000	73.1000	
-0.0591	0.1524	0.0031	46.9000	71.8000	
-0.0591	0.1525	0.0031	46.9000	72.1000	
-0.0591	0.1522	0.0031	47.4000	72.6000	
-0.0589	0.1521	0.0032	49.0000	73.3000	
-0.0590	0.1523	0.0032	45.5000	70.8000	
-0.0590	0.1520	0.0030	46.8000	72.1000	
-0.0589	0.1519	0.0031	51.0000	73.2000	
-0.0589	0.1519	0.0031	44.6000	71.5000	
-0.0589	0.1517	0.0030	45.8000	73.1000	
-0.0589	0.1516	0.0029	45.4000	72.3000	
-0.0589	0.1516	0.0029	47.5000	72.5000	
-0.0589	0.1519	0.0031	43.1000	71.7000	
-0.0588	0.1515	0.0029	43.8000	71.9000	
-0.0588	0.1515	0.0030	43.8000	71.8000	
-0.0588	0.1515	0.0029	44.4000	72.4000	
-0.0588	0.1512	0.0029	45.3000	72.5000	
-0.0588	0.1512	0.0029	46.1000	72.7000	
-0.0588	0.1515	0.0029	45.2000	72.0000	
-0.0588	0.1516	0.0030	43.4000	72.1000	
-0.0587	0.1513	0.0031	48.9000	73.3000	
-0.0587	0.1513	0.0031	43.5000	72.0000	
-0.0588	0.1515	0.0030	42.7000	72.1000	
-0.0587	0.1511	0.0029	46.5000	73.1000	
-0.0587	0.1510	0.0029	47.0000	73.0000	
-0.0588	0.1513	0.0029	43.2000	72.2000	
-0.0587	0.1512	0.0029	44.0000	72.7000	
-0.0587	0.1512	0.0030	43.1000	72.0000	
-0.0586	0.1509	0.0029	46.0000	72.8000	
-0.0587	0.1510	0.0029	46.4000	73.0000	
-0.0586	0.1511	0.0030	43.2000	72.0000	
-0.0586	0.1508	0.0028	44.5000	72.3000	
-0.0586	0.1507	0.0029	46.6000	72.4000	
-0.0585	0.1508	0.0029	44.6000	72.1000	
-0.0586	0.1509	0.0029	45.8000	72.3000	
-0.0585	0.1508	0.0030	47.6000	73.2000	
-0.0585	0.1507	0.0030	46.3000	73.1000	
-0.0586	0.1510	0.0030	43.5000	72.0000	
-0.0585	0.1507	0.0030	44.6000	72.0000	
-0.0585	0.1505	0.0029	47.1000	72.6000	
-0.0584	0.1504	0.0029	46.9000	72.9000	
-0.0585	0.1508	0.0030	44.1000	72.2000	
-0.0585	0.1507	0.0031	43.7000	72.2000	
-0.0584	0.1506	0.0030	47.4000	73.0000	
-0.0584	0.1506	0.0030	46.7000	72.9000	
-0.0584	0.1506	0.0030	44.1000	72.1000	
-0.0583	0.1503	0.0030	46.0000	72.9000	
-0.0583	0.1503	0.0031	47.0000	73.0000	
-0.0583	0.1502	0.0030	46.9000	72.7000	
-0.0584	0.1505	0.0030	45.9000	72.5000	
-0.0582	0.1502	0.0031	46.6000	73.2000	
-0.0582	0.1503	0.0033	43.6000	71.0000	
-0.0582	0.1501	0.0032	44.6000	72.0000	
-0.0581	0.1498	0.0030	45.1000	72.8000	
-0.0581	0.1496	0.0030	45.5000	72.6000	
-0.0581	0.1497	0.0030	45.2000	72.2000	
-0.0581	0.1496	0.0029	45.2000	72.5000	
-0.0580	0.1494	0.0030	45.9000	72.6000	
-0.0580	0.1498	0.0032	44.8000	71.3000	
-0.0581	0.1496	0.0029	45.2000	72.0000	
-0.0579	0.1493	0.0030	47.1000	72.9000	
-0.0579	0.1497	0.0033	44.0000	70.7000	
-0.0579	0.1496	0.0033	47.4000	73.4000	
-0.0579	0.1498	0.0033	44.9000	71.2000	
-0.0578	0.1492	0.0031	45.9000	72.7000	
-0.0578	0.1493	0.0031	44.9000	71.3000	
-0.0578	0.1494	0.0032	46.0000	73.1000	
-0.0579	0.1492	0.0030	45.1000	71.6000	
-0.0579	0.1490	0.0028	45.4000	72.2000	
-0.0578	0.1488	0.0028	46.1000	72.1000	
-0.0578	0.1487	0.0028	47.4000	72.1000	
-0.0578	0.1488	0.0028	46.2000	72.1000	
-0.0578	0.1488	0.0028	47.4000	72.1000	
-0.0577	0.1484	0.0027	47.2000	71.4000	
-0.0576	0.1482	0.0027	46.4000	72.1000	
-0.0577	0.1483	0.0028	49.4000	71.7000	
-0.0576	0.1481	0.0027	48.9000	72.0000	
-0.0575	0.1479	0.0028	49.9000	71.7000	
-0.0574	0.1476	0.0027	50.1000	71.8000	
-0.0574	0.1476	0.0027	48.6000	72.2000	
-0.0574	0.1477	0.0027	49.6000	72.0000	
-0.0574	0.1480	0.0030	52.1000	70.8000	
-0.0574	0.1476	0.0027	52.0000	72.0000	
-0.0573	0.1474	0.0027	52.8000	71.1000	
-0.0574	0.1474	0.0026	52.3000	71.4000	
-0.0574	0.1472	0.0025	52.2000	71.4000	
-0.0574	0.1472	0.0026	52.1000	71.5000	
-0.0574	0.1472	0.0025	52.5000	71.5000	
-0.0574	0.1472	0.0025	52.4000	71.7000	
-0.0573	0.1472	0.0025	52.9000	71.1000	
-0.0573	0.1471	0.0026	51.2000	72.0000	
-0.0573	0.1471	0.0026	51.9000	71.1000	
-0.0573	0.1471	0.0026	52.1000	71.4000	
-0.0573	0.1471	0.0026	51.5000	71.7000	
-0.0573	0.1471	0.0026	52.1000	71.1000	
-0.0573	0.1472	0.0026	52.6000	71.4000	
-0.0573	0.1473	0.0027	52.9000	71.5000	
-0.0573	0.1473	0.0028	54.4000	72.1000	
-0.0573	0.1473	0.0027	53.4000	71.1000	
-0.0573	0.1473	0.0027	55.0000	71.4000	
-0.0574	0.1475	0.0027	53.1000	71.2000	
-0.0573	0.1474	0.0027	54.0000	70.8000	
-0.0574	0.1476	0.0027	52.9000	70.7000	
-0.0574	0.1478	0.0029	53.9000	71.9000	
-0.0575	0.1480	0.0028	53.6000	71.0000	
-0.0575	0.1482	0.0029	54.1000	71.5000	
-0.0576	0.1486	0.0030	54.5000	71.4000	
-0.0578	0.1492	0.0032	54.3000	71.2000	
-0.0579	0.1496	0.0033	53.9000	71.3000	
-0.0580	0.1502	0.0035	55.2000	71.8000	
-0.0581	0.1507	0.0036	55.7000	71.4000	
-0.0583	0.1513	0.0037	54.7000	71.6000	
