Loss_Adversary	Loss_Target	
-0.0065	0.1226	0.1575	
-0.0083	0.0872	0.1199	
-0.0104	0.0669	0.1008	
-0.0138	0.0712	0.1131	
-0.0178	0.0680	0.1182	
-0.0238	0.0727	0.1366	
-0.0374	0.0401	0.1281	
-0.0687	0.0113	0.1622	
-0.0995	0.0488	0.2729	
-0.1214	0.0653	0.3396	
-0.1434	0.0448	0.3634	
-0.1656	0.0143	0.3760	
-0.1828	0.0052	0.4027	
-0.1947	0.0058	0.4291	
-0.2032	0.0151	0.4584	
-0.2102	0.0352	0.4971	
-0.2169	0.0664	0.5481	
-0.2238	0.0995	0.6018	
-0.2301	0.1267	0.6473	
-0.2365	0.1474	0.6853	
-0.2438	0.1517	0.7062	
-0.2508	0.1360	0.7031	
-0.2560	0.1233	0.6994	
-0.2595	0.1320	0.7173	
-0.2618	0.1341	0.7247	
-0.2635	0.1316	0.7255	
-0.2648	0.1146	0.7085	
-0.2663	0.1232	0.7216	
-0.2679	0.1274	0.7300	
-0.2695	0.1200	0.7248	
-0.2705	0.1207	0.7279	
-0.2719	0.1177	0.7275	
-0.2734	0.1332	0.7489	
-0.2745	0.1146	0.7295	
-0.2756	0.1171	0.7348	
-0.2767	0.1204	0.7409	
-0.2777	0.1088	0.7295	
-0.2786	0.1176	0.7419	
-0.2791	0.1132	0.7378	
-0.2800	0.1087	0.7344	
-0.2805	0.1068	0.7333	
-0.2813	0.1168	0.7469	
-0.2819	0.1106	0.7407	
-0.2818	0.1038	0.7327	
-0.2829	0.1225	0.7568	
-0.2830	0.1084	0.7406	
-0.2831	0.1102	0.7429	
-0.2836	0.1140	0.7485	
-0.2840	0.1128	0.7479	
-0.2842	0.1031	0.7372	
-0.2850	0.1157	0.7535	
-0.2851	0.1041	0.7400	
-0.2855	0.1002	0.7364	
-0.2863	0.1070	0.7463	
-0.2868	0.1085	0.7490	
-0.2870	0.1039	0.7441	
-0.2880	0.1219	0.7672	
-0.2881	0.1038	0.7463	
-0.2888	0.1070	0.7516	
-0.2889	0.1003	0.7438	
-0.2895	0.1103	0.7570	
-0.2896	0.1030	0.7487	
-0.2891	0.0918	0.7345	
-0.2904	0.1096	0.7581	
-0.2907	0.1010	0.7486	
-0.2912	0.1063	0.7560	
-0.2916	0.1039	0.7541	
-0.2926	0.1112	0.7647	
-0.2930	0.1056	0.7590	
-0.2936	0.1125	0.7684	
-0.2933	0.0996	0.7527	
-0.2941	0.1032	0.7585	
-0.2941	0.0973	0.7518	
-0.2951	0.1091	0.7677	
-0.2942	0.0889	0.7420	
-0.2961	0.1120	0.7732	
-0.2952	0.0912	0.7469	
-0.2967	0.1078	0.7695	
-0.2968	0.1031	0.7645	
-0.2971	0.1009	0.7624	
-0.2972	0.0955	0.7564	
-0.2982	0.1106	0.7762	
-0.2984	0.1076	0.7731	
-0.2980	0.1007	0.7643	
-0.2984	0.1030	0.7677	
-0.2985	0.1004	0.7650	
-0.2987	0.0978	0.7623	
-0.2996	0.1181	0.7881	
-0.2993	0.0994	0.7655	
-0.2998	0.1053	0.7735	
-0.2994	0.0955	0.7610	
-0.3003	0.1074	0.7771	
-0.3004	0.1035	0.7726	
-0.3005	0.1002	0.7690	
-0.3012	0.1231	0.7972	
-0.3009	0.1001	0.7697	
-0.3013	0.1034	0.7745	
-0.3015	0.1110	0.7839	
-0.3011	0.0961	0.7656	
-0.3022	0.1106	0.7848	
-0.3015	0.0947	0.7648	
-0.3022	0.1105	0.7848	
-0.3019	0.0993	0.7708	
-0.3021	0.1009	0.7733	
-0.3019	0.0942	0.7650	
-0.3030	0.1156	0.7923	
-0.3019	0.0936	0.7643	
-0.3030	0.1143	0.7909	
-0.3024	0.0940	0.7659	
-0.3033	0.1081	0.7844	
-0.3024	0.0935	0.7652	
-0.3034	0.1171	0.7950	
-0.3023	0.0889	0.7596	
-0.3035	0.1130	0.7903	
-0.3036	0.1079	0.7846	
-0.3032	0.1000	0.7746	
-0.3038	0.1103	0.7879	
-0.3030	0.0996	0.7736	
-0.3036	0.1141	0.7921	
-0.3032	0.1001	0.7748	
-0.3036	0.1085	0.7854	
-0.3034	0.1011	0.7763	
-0.3034	0.1041	0.7800	
-0.3037	0.1107	0.7882	
-0.3033	0.1014	0.7764	
-0.3038	0.1053	0.7821	
-0.3037	0.1061	0.7828	
-0.3039	0.1074	0.7849	
-0.3037	0.1100	0.7874	
-0.3035	0.1055	0.7817	
-0.3036	0.1020	0.7779	
-0.3039	0.1121	0.7903	
-0.3033	0.1026	0.7779	
-0.3037	0.1052	0.7818	
-0.3042	0.1172	0.7968	
-0.3041	0.1085	0.7864	
-0.3034	0.0966	0.7711	
-0.3039	0.1110	0.7890	
-0.3038	0.1021	0.7783	
-0.3044	0.1124	0.7918	
-0.3038	0.0981	0.7737	
-0.3044	0.1131	0.7926	
-0.3040	0.1051	0.7825	
-0.3047	0.1160	0.7966	
-0.3043	0.1056	0.7836	
-0.3044	0.1048	0.7828	
-0.3042	0.1052	0.7829	
-0.3043	0.1071	0.7854	
-0.3040	0.1059	0.7833	
-0.3047	0.1214	0.8028	
-0.3034	0.0965	0.7710	
-0.3047	0.1229	0.8047	
-0.3043	0.1049	0.7827	
-0.3045	0.1114	0.7909	
-0.3044	0.1167	0.7968	
-0.3040	0.0994	0.7757	
-0.3046	0.1079	0.7868	
-0.3043	0.1130	0.7922	
-0.3040	0.0997	0.7761	
-0.3047	0.1160	0.7967	
-0.3040	0.1020	0.7788	
-0.3041	0.1005	0.7772	
-0.3043	0.1171	0.7971	
-0.3043	0.1007	0.7778	
-0.3044	0.1091	0.7879	
-0.3042	0.1120	0.7908	
-0.3044	0.1091	0.7878	
-0.3046	0.1230	0.8047	
-0.3034	0.0898	0.7631	
-0.3045	0.1207	0.8017	
-0.3037	0.0969	0.7721	
-0.3044	0.1050	0.7830	
-0.3045	0.1012	0.7788	
-0.3046	0.1186	0.7993	
-0.3032	0.0934	0.7670	
-0.3047	0.1163	0.7970	
-0.3042	0.0987	0.7752	
-0.3045	0.1081	0.7869	
-0.3044	0.1104	0.7894	
-0.3047	0.1091	0.7886	
-0.3041	0.1151	0.7943	
-0.3046	0.1080	0.7869	
-0.3046	0.1063	0.7850	
-0.3043	0.1101	0.7888	
-0.3040	0.1026	0.7794	
-0.3045	0.1065	0.7851	
-0.3049	0.1142	0.7949	
-0.3044	0.1073	0.7857	
-0.3043	0.1072	0.7854	
-0.3042	0.1195	0.7996	
-0.3044	0.1028	0.7804	
