Loss_Adversary	Loss_Target	
-0.0161	0.0148	0.0496	
-0.0312	0.0218	0.0886	
-0.0537	0.0312	0.1457	
-0.0864	0.0380	0.2212	
-0.1219	0.0408	0.2980	
-0.1531	0.0388	0.3609	
-0.1761	0.0325	0.4022	
-0.1916	0.0260	0.4272	
-0.2033	0.0171	0.4420	
-0.2093	0.0134	0.4504	
-0.2149	0.0098	0.4584	
-0.2197	0.0060	0.4642	
-0.2227	0.0041	0.4683	
-0.2254	0.0024	0.4722	
-0.2267	0.0025	0.4751	
-0.2282	0.0014	0.4769	
-0.2288	0.0026	0.4794	
-0.2296	0.0029	0.4816	
-0.2301	0.0033	0.4829	
-0.2312	0.0018	0.4837	
-0.2323	0.0018	0.4859	
-0.2322	0.0017	0.4856	
-0.2330	0.0017	0.4871	
-0.2317	0.0042	0.4873	
-0.2335	0.0014	0.4880	
-0.2341	0.0008	0.4885	
-0.2342	0.0012	0.4892	
-0.2339	0.0014	0.4889	
-0.2332	0.0033	0.4894	
-0.2344	0.0013	0.4899	
-0.2346	0.0014	0.4902	
-0.2341	0.0020	0.4899	
-0.2347	0.0020	0.4911	
-0.2349	0.0016	0.4910	
-0.2338	0.0029	0.4901	
-0.2354	0.0006	0.4911	
-0.2349	0.0021	0.4917	
-0.2355	0.0013	0.4920	
-0.2345	0.0040	0.4929	
-0.2344	0.0026	0.4912	
-0.2355	0.0012	0.4919	
-0.2346	0.0026	0.4916	
-0.2358	0.0009	0.4923	
-0.2346	0.0032	0.4922	
-0.2353	0.0014	0.4917	
-0.2341	0.0037	0.4917	
-0.2349	0.0031	0.4926	
-0.2356	0.0019	0.4928	
-0.2350	0.0032	0.4930	
-0.2357	0.0013	0.4925	
-0.2350	0.0033	0.4932	
-0.2362	0.0010	0.4931	
-0.2344	0.0035	0.4920	
-0.2359	0.0012	0.4927	
-0.2362	0.0016	0.4938	
-0.2367	0.0007	0.4939	
-0.2356	0.0031	0.4942	
-0.2354	0.0027	0.4934	
-0.2362	0.0015	0.4937	
-0.2350	0.0039	0.4938	
-0.2355	0.0031	0.4940	
-0.2357	0.0025	0.4939	
-0.2356	0.0022	0.4933	
-0.2361	0.0014	0.4935	
-0.2364	0.0017	0.4943	
-0.2364	0.0013	0.4940	
-0.2365	0.0010	0.4939	
-0.2357	0.0030	0.4943	
-0.2349	0.0038	0.4935	
-0.2361	0.0020	0.4941	
-0.2365	0.0020	0.4949	
-0.2367	0.0016	0.4949	
-0.2364	0.0016	0.4943	
-0.2359	0.0024	0.4942	
-0.2363	0.0016	0.4940	
-0.2362	0.0024	0.4947	
-0.2360	0.0021	0.4938	
-0.2363	0.0014	0.4938	
-0.2367	0.0018	0.4952	
-0.2361	0.0025	0.4946	
-0.2366	0.0015	0.4945	
-0.2367	0.0016	0.4950	
-0.2365	0.0024	0.4953	
-0.2363	0.0020	0.4944	
-0.2363	0.0019	0.4943	
-0.2372	0.0007	0.4950	
-0.2362	0.0024	0.4947	
-0.2365	0.0021	0.4949	
-0.2370	0.0013	0.4951	
-0.2347	0.0053	0.4947	
-0.2364	0.0023	0.4948	
-0.2370	0.0010	0.4948	
-0.2358	0.0031	0.4947	
-0.2366	0.0011	0.4942	
-0.2368	0.0011	0.4946	
-0.2368	0.0010	0.4944	
-0.2367	0.0015	0.4947	
-0.2366	0.0026	0.4957	
-0.2362	0.0024	0.4948	
-0.2362	0.0023	0.4945	
-0.2362	0.0030	0.4954	
-0.2360	0.0028	0.4947	
-0.2364	0.0018	0.4945	
-0.2353	0.0042	0.4948	
-0.2366	0.0018	0.4950	
-0.2366	0.0020	0.4950	
-0.2365	0.0016	0.4945	
-0.2361	0.0030	0.4952	
-0.2372	0.0009	0.4951	
-0.2371	0.0018	0.4960	
-0.2370	0.0015	0.4954	
-0.2364	0.0023	0.4949	
-0.2367	0.0024	0.4957	
-0.2368	0.0014	0.4949	
-0.2365	0.0023	0.4953	
-0.2359	0.0030	0.4947	
-0.2365	0.0025	0.4954	
-0.2371	0.0012	0.4954	
-0.2358	0.0038	0.4955	
-0.2372	0.0015	0.4957	
-0.2364	0.0021	0.4948	
-0.2364	0.0023	0.4950	
-0.2359	0.0036	0.4954	
-0.2355	0.0040	0.4949	
-0.2368	0.0018	0.4953	
-0.2367	0.0018	0.4951	
-0.2368	0.0012	0.4947	
-0.2366	0.0026	0.4958	
-0.2369	0.0019	0.4955	
-0.2365	0.0025	0.4955	
-0.2354	0.0048	0.4957	
-0.2370	0.0015	0.4955	
-0.2359	0.0035	0.4952	
-0.2368	0.0016	0.4951	
-0.2374	0.0010	0.4957	
-0.2367	0.0022	0.4956	
-0.2369	0.0016	0.4952	
-0.2368	0.0014	0.4949	
-0.2358	0.0035	0.4950	
-0.2360	0.0044	0.4964	
-0.2372	0.0012	0.4955	
-0.2365	0.0028	0.4958	
-0.2362	0.0025	0.4949	
-0.2368	0.0029	0.4964	
-0.2373	0.0010	0.4955	
-0.2368	0.0025	0.4960	
-0.2361	0.0036	0.4958	
-0.2370	0.0016	0.4955	
-0.2367	0.0025	0.4958	
-0.2373	0.0016	0.4960	
-0.2365	0.0026	0.4955	
-0.2361	0.0036	0.4956	
-0.2358	0.0048	0.4965	
-0.2365	0.0030	0.4959	
-0.2376	0.0012	0.4964	
-0.2370	0.0021	0.4962	
-0.2369	0.0019	0.4955	
-0.2359	0.0046	0.4965	
-0.2366	0.0027	0.4957	
-0.2368	0.0025	0.4960	
-0.2370	0.0026	0.4966	
-0.2360	0.0034	0.4953	
-0.2365	0.0031	0.4961	
