Loss_Adversary	Loss_Target	
-0.0147	0.1595	0.1889	
-0.0217	0.1858	0.2291	
-0.0299	0.2218	0.2817	
-0.0415	0.2599	0.3429	
-0.0546	0.2780	0.3872	
-0.0709	0.2724	0.4142	
-0.0874	0.2553	0.4301	
-0.1031	0.2343	0.4405	
-0.1183	0.2038	0.4405	
-0.1327	0.1635	0.4290	
-0.1460	0.1288	0.4208	
-0.1594	0.0965	0.4153	
-0.1702	0.0760	0.4165	
-0.1828	0.0542	0.4199	
-0.1937	0.0358	0.4231	
-0.2040	0.0266	0.4346	
-0.2137	0.0227	0.4500	
-0.2232	0.0158	0.4623	
-0.2312	0.0106	0.4729	
-0.2352	0.0101	0.4805	
-0.2381	0.0085	0.4846	
-0.2419	0.0062	0.4900	
-0.2427	0.0073	0.4927	
-0.2426	0.0075	0.4926	
-0.2434	0.0091	0.4960	
-0.2435	0.0094	0.4965	
-0.2453	0.0080	0.4987	
-0.2450	0.0101	0.5000	
-0.2453	0.0119	0.5025	
-0.2461	0.0157	0.5080	
-0.2451	0.0245	0.5148	
-0.2468	0.0405	0.5341	
-0.2497	0.0833	0.5826	
-0.2551	0.1742	0.6843	
-0.2626	0.2767	0.8020	
-0.2659	0.3255	0.8573	
-0.2713	0.3296	0.8722	
-0.2730	0.3255	0.8715	
-0.2753	0.3138	0.8644	
-0.2756	0.3042	0.8553	
-0.2775	0.2896	0.8446	
-0.2784	0.2808	0.8377	
-0.2796	0.2730	0.8321	
-0.2800	0.2658	0.8258	
-0.2805	0.2570	0.8180	
-0.2817	0.2513	0.8147	
-0.2815	0.2512	0.8142	
-0.2825	0.2482	0.8132	
-0.2832	0.2425	0.8090	
-0.2829	0.2421	0.8080	
-0.2839	0.2372	0.8049	
-0.2834	0.2360	0.8028	
-0.2848	0.2363	0.8059	
-0.2841	0.2367	0.8049	
-0.2835	0.2389	0.8058	
-0.2848	0.2348	0.8045	
-0.2853	0.2339	0.8044	
-0.2852	0.2355	0.8059	
-0.2851	0.2336	0.8037	
-0.2859	0.2302	0.8020	
-0.2855	0.2294	0.8005	
-0.2844	0.2339	0.8026	
-0.2855	0.2322	0.8031	
-0.2872	0.2268	0.8012	
-0.2867	0.2275	0.8009	
-0.2870	0.2264	0.8003	
-0.2877	0.2246	0.8000	
-0.2875	0.2263	0.8012	
-0.2880	0.2272	0.8032	
-0.2887	0.2242	0.8015	
-0.2871	0.2284	0.8025	
-0.2879	0.2264	0.8023	
-0.2883	0.2216	0.7982	
-0.2880	0.2221	0.7980	
-0.2891	0.2206	0.7989	
-0.2884	0.2257	0.8024	
-0.2889	0.2264	0.8042	
-0.2890	0.2256	0.8035	
-0.2893	0.2247	0.8032	
-0.2889	0.2247	0.8024	
-0.2893	0.2250	0.8036	
-0.2900	0.2233	0.8032	
-0.2899	0.2238	0.8036	
-0.2884	0.2280	0.8049	
-0.2895	0.2266	0.8057	
-0.2902	0.2259	0.8063	
-0.2901	0.2253	0.8054	
-0.2902	0.2269	0.8072	
-0.2899	0.2291	0.8089	
-0.2909	0.2287	0.8106	
-0.2903	0.2309	0.8115	
-0.2907	0.2298	0.8111	
-0.2911	0.2284	0.8107	
-0.2915	0.2310	0.8139	
-0.2914	0.2316	0.8144	
-0.2905	0.2343	0.8153	
-0.2916	0.2324	0.8156	
-0.2914	0.2353	0.8181	
-0.2919	0.2358	0.8196	
-0.2917	0.2370	0.8205	
-0.2921	0.2361	0.8202	
-0.2929	0.2341	0.8198	
-0.2932	0.2331	0.8194	
-0.2924	0.2334	0.8182	
-0.2917	0.2369	0.8204	
-0.2926	0.2378	0.8230	
-0.2925	0.2408	0.8257	
-0.2929	0.2433	0.8291	
-0.2949	0.2397	0.8294	
-0.2938	0.2404	0.8279	
-0.2939	0.2387	0.8264	
-0.2941	0.2373	0.8256	
-0.2940	0.2397	0.8276	
-0.2940	0.2412	0.8292	
-0.2943	0.2403	0.8288	
-0.2951	0.2390	0.8293	
-0.2940	0.2422	0.8301	
-0.2955	0.2391	0.8301	
-0.2953	0.2389	0.8296	
-0.2968	0.2354	0.8291	
-0.2955	0.2377	0.8287	
-0.2952	0.2409	0.8312	
-0.2963	0.2408	0.8333	
-0.2962	0.2386	0.8311	
-0.2961	0.2364	0.8287	
-0.2953	0.2414	0.8319	
-0.2957	0.2438	0.8352	
-0.2955	0.2442	0.8351	
-0.2954	0.2430	0.8338	
-0.2967	0.2418	0.8352	
-0.2958	0.2446	0.8361	
-0.2968	0.2428	0.8363	
-0.2961	0.2440	0.8361	
-0.2973	0.2424	0.8369	
-0.2964	0.2458	0.8386	
-0.2978	0.2442	0.8399	
-0.2966	0.2479	0.8412	
-0.2963	0.2485	0.8411	
-0.2971	0.2474	0.8417	
-0.2974	0.2482	0.8430	
-0.2976	0.2473	0.8425	
-0.2973	0.2487	0.8432	
-0.2987	0.2462	0.8437	
-0.2993	0.2470	0.8457	
-0.2982	0.2497	0.8461	
-0.2986	0.2494	0.8465	
-0.2975	0.2513	0.8463	
-0.2988	0.2499	0.8475	
-0.2996	0.2489	0.8480	
-0.2993	0.2488	0.8474	
-0.2993	0.2497	0.8483	
-0.2990	0.2498	0.8478	
-0.2973	0.2549	0.8495	
-0.2989	0.2526	0.8504	
-0.3000	0.2520	0.8519	
-0.2998	0.2529	0.8525	
-0.3008	0.2505	0.8520	
-0.3010	0.2505	0.8525	
-0.3012	0.2517	0.8540	
-0.3004	0.2523	0.8532	
-0.3013	0.2495	0.8522	
-0.3010	0.2514	0.8535	
-0.3024	0.2487	0.8536	
-0.3024	0.2494	0.8542	
-0.3025	0.2483	0.8533	
-0.3031	0.2464	0.8525	
-0.3045	0.2436	0.8527	
-0.3039	0.2436	0.8515	
-0.3060	0.2421	0.8541	
-0.3059	0.2418	0.8537	
-0.3062	0.2430	0.8554	
-0.3070	0.2398	0.8539	
-0.3076	0.2333	0.8485	
-0.3098	0.2299	0.8495	
-0.3110	0.2330	0.8550	
-0.3116	0.2225	0.8456	
-0.3126	0.2281	0.8532	
-0.3135	0.2243	0.8513	
-0.3140	0.2127	0.8408	
-0.3136	0.2250	0.8522	
-0.3145	0.2178	0.8469	
-0.3145	0.2190	0.8479	
-0.3157	0.2154	0.8469	
-0.3169	0.2144	0.8482	
-0.3164	0.2170	0.8499	
-0.3171	0.2046	0.8387	
-0.3170	0.2172	0.8511	
-0.3168	0.2120	0.8457	
-0.3173	0.2158	0.8504	
-0.3186	0.2127	0.8498	
-0.3187	0.2042	0.8415	
-0.3196	0.2115	0.8508	
-0.3188	0.2151	0.8527	
-0.3188	0.2006	0.8383	
-0.3201	0.2110	0.8512	
-0.3194	0.2032	0.8419	
-0.3195	0.2170	0.8561	
-0.3203	0.2010	0.8415	
-0.3188	0.2087	0.8463	
-0.3192	0.2080	0.8464	
-0.3209	0.2044	0.8461	
-0.3203	0.2129	0.8536	
-0.3200	0.2066	0.8466	
-0.3205	0.2015	0.8426	
-0.3210	0.2159	0.8580	
-0.3202	0.1980	0.8385	
-0.3205	0.2036	0.8447	
-0.3211	0.2147	0.8570	
-0.3214	0.1936	0.8364	
-0.3218	0.2115	0.8552	
-0.3210	0.1967	0.8388	
-0.3210	0.2120	0.8539	
-0.3206	0.2002	0.8413	
-0.3208	0.2074	0.8490	
-0.3200	0.2101	0.8501	
-0.3215	0.2019	0.8449	
-0.3199	0.2030	0.8427	
-0.3219	0.2046	0.8483	
-0.3216	0.2093	0.8526	
-0.3212	0.2083	0.8507	
-0.3231	0.1969	0.8431	
-0.3229	0.2053	0.8512	
-0.3223	0.1979	0.8425	
-0.3217	0.2065	0.8498	
-0.3221	0.2030	0.8472	
-0.3218	0.2047	0.8484	
-0.3230	0.2032	0.8493	
-0.3215	0.2120	0.8550	
-0.3213	0.1862	0.8288	
-0.3221	0.2130	0.8571	
-0.3226	0.2011	0.8464	
-0.3234	0.2025	0.8494	
-0.3231	0.2009	0.8471	
-0.3219	0.2015	0.8453	
-0.3213	0.2054	0.8480	
-0.3227	0.2037	0.8490	
-0.3234	0.2041	0.8508	
-0.3224	0.2026	0.8474	
-0.3226	0.2005	0.8456	
-0.3230	0.1994	0.8453	
