Loss_Adversary	Loss_Target	
-0.0845	0.2690	0.4524	
-0.1182	0.2231	0.4735	
-0.1453	0.1835	0.4875	
-0.1642	0.1581	0.4997	
-0.1794	0.1369	0.5087	
-0.1900	0.1241	0.5168	
-0.2000	0.1132	0.5259	
-0.2072	0.1069	0.5340	
-0.2144	0.1028	0.5446	
-0.2187	0.1057	0.5565	
-0.2257	0.1074	0.5724	
-0.2277	0.1206	0.5903	
-0.2324	0.1334	0.6131	
-0.2359	0.1505	0.6381	
-0.2377	0.1707	0.6628	
-0.2408	0.1903	0.6895	
-0.2434	0.2158	0.7215	
-0.2448	0.2488	0.7586	
-0.2458	0.2811	0.7942	
-0.2480	0.3078	0.8264	
-0.2505	0.3307	0.8555	
-0.2518	0.3502	0.8783	
-0.2537	0.3620	0.8946	
-0.2550	0.3712	0.9067	
-0.2561	0.3776	0.9158	
-0.2568	0.3830	0.9227	
-0.2576	0.3869	0.9284	
-0.2583	0.3904	0.9334	
-0.2587	0.3932	0.9372	
-0.2599	0.3940	0.9405	
-0.2606	0.3948	0.9428	
-0.2593	0.3992	0.9448	
-0.2607	0.3986	0.9469	
-0.2609	0.3997	0.9485	
-0.2621	0.3986	0.9498	
-0.2611	0.4014	0.9507	
-0.2634	0.3976	0.9514	
-0.2637	0.3980	0.9523	
-0.2646	0.3966	0.9528	
-0.2644	0.3972	0.9530	
-0.2656	0.3948	0.9529	
-0.2653	0.3950	0.9526	
-0.2660	0.3935	0.9525	
-0.2662	0.3927	0.9520	
-0.2676	0.3889	0.9510	
-0.2684	0.3864	0.9499	
-0.2686	0.3851	0.9489	
-0.2691	0.3824	0.9472	
-0.2700	0.3786	0.9451	
-0.2706	0.3751	0.9426	
-0.2705	0.3725	0.9396	
-0.2720	0.3665	0.9366	
-0.2727	0.3630	0.9343	
-0.2732	0.3584	0.9306	
-0.2730	0.3544	0.9261	
-0.2751	0.3461	0.9217	
-0.2753	0.3419	0.9177	
-0.2750	0.3378	0.9128	
-0.2765	0.3305	0.9083	
-0.2759	0.3280	0.9044	
-0.2767	0.3211	0.8990	
-0.2768	0.3154	0.8931	
-0.2786	0.3087	0.8899	
-0.2785	0.3055	0.8864	
-0.2796	0.2989	0.8816	
-0.2799	0.2941	0.8773	
-0.2804	0.2895	0.8735	
-0.2804	0.2871	0.8711	
-0.2806	0.2820	0.8663	
-0.2806	0.2781	0.8621	
-0.2807	0.2756	0.8598	
-0.2807	0.2758	0.8599	
-0.2809	0.2769	0.8614	
-0.2819	0.2731	0.8595	
-0.2810	0.2695	0.8540	
-0.2818	0.2678	0.8538	
-0.2816	0.2675	0.8530	
-0.2812	0.2683	0.8532	
-0.2812	0.2669	0.8518	
-0.2813	0.2649	0.8498	
-0.2819	0.2652	0.8513	
-0.2819	0.2668	0.8530	
-0.2821	0.2642	0.8508	
-0.2824	0.2633	0.8505	
-0.2818	0.2654	0.8513	
-0.2820	0.2644	0.8507	
-0.2816	0.2649	0.8504	
-0.2820	0.2638	0.8501	
-0.2822	0.2615	0.8481	
-0.2812	0.2632	0.8479	
-0.2805	0.2650	0.8483	
-0.2821	0.2604	0.8467	
-0.2817	0.2620	0.8475	
-0.2828	0.2621	0.8498	
-0.2826	0.2636	0.8510	
-0.2817	0.2637	0.8492	
-0.2821	0.2612	0.8476	
-0.2830	0.2608	0.8491	
-0.2821	0.2649	0.8515	
-0.2827	0.2628	0.8505	
-0.2828	0.2593	0.8470	
-0.2817	0.2591	0.8445	
-0.2813	0.2615	0.8462	
-0.2828	0.2598	0.8476	
-0.2832	0.2590	0.8475	
-0.2820	0.2606	0.8467	
-0.2822	0.2610	0.8476	
-0.2823	0.2609	0.8477	
-0.2821	0.2596	0.8459	
-0.2828	0.2589	0.8465	
-0.2830	0.2606	0.8489	
-0.2806	0.2658	0.8493	
-0.2832	0.2606	0.8492	
-0.2830	0.2607	0.8488	
-0.2831	0.2588	0.8471	
-0.2823	0.2605	0.8473	
-0.2824	0.2607	0.8476	
-0.2828	0.2605	0.8483	
-0.2825	0.2616	0.8488	
-0.2831	0.2591	0.8474	
-0.2835	0.2587	0.8478	
-0.2831	0.2595	0.8479	
-0.2828	0.2613	0.8492	
-0.2834	0.2604	0.8493	
-0.2837	0.2589	0.8486	
-0.2830	0.2614	0.8497	
-0.2835	0.2616	0.8508	
-0.2832	0.2618	0.8505	
-0.2838	0.2602	0.8500	
-0.2838	0.2571	0.8469	
-0.2832	0.2591	0.8477	
-0.2830	0.2628	0.8511	
-0.2838	0.2624	0.8523	
-0.2837	0.2622	0.8519	
-0.2835	0.2625	0.8518	
-0.2836	0.2615	0.8509	
-0.2840	0.2620	0.8523	
-0.2837	0.2636	0.8533	
-0.2843	0.2610	0.8519	
-0.2839	0.2638	0.8539	
-0.2840	0.2630	0.8534	
-0.2837	0.2631	0.8529	
-0.2841	0.2628	0.8533	
-0.2848	0.2609	0.8528	
-0.2835	0.2623	0.8515	
-0.2840	0.2623	0.8526	
-0.2841	0.2632	0.8538	
-0.2851	0.2637	0.8562	
-0.2847	0.2635	0.8553	
-0.2851	0.2644	0.8570	
-0.2850	0.2638	0.8563	
-0.2833	0.2660	0.8551	
-0.2851	0.2617	0.8543	
-0.2866	0.2586	0.8541	
-0.2855	0.2606	0.8540	
-0.2858	0.2602	0.8542	
-0.2864	0.2608	0.8560	
-0.2860	0.2623	0.8566	
-0.2873	0.2595	0.8564	
-0.2870	0.2600	0.8564	
-0.2870	0.2601	0.8565	
-0.2881	0.2577	0.8562	
-0.2885	0.2563	0.8555	
-0.2888	0.2554	0.8552	
-0.2895	0.2540	0.8552	
-0.2887	0.2529	0.8524	
-0.2897	0.2510	0.8525	
-0.2908	0.2476	0.8513	
-0.2909	0.2473	0.8512	
-0.2919	0.2475	0.8534	
-0.2923	0.2473	0.8540	
-0.2934	0.2428	0.8514	
-0.2919	0.2426	0.8482	
-0.2947	0.2362	0.8472	
-0.2939	0.2392	0.8488	
-0.2954	0.2356	0.8481	
-0.2961	0.2317	0.8456	
-0.2956	0.2339	0.8467	
-0.2978	0.2268	0.8437	
-0.2989	0.2169	0.8357	
-0.2990	0.2217	0.8410	
-0.3003	0.2192	0.8410	
-0.3005	0.2153	0.8373	
-0.3017	0.2198	0.8445	
-0.3024	0.2070	0.8327	
-0.3026	0.2025	0.8283	
-0.3038	0.2155	0.8443	
-0.3038	0.2030	0.8312	
-0.3048	0.2076	0.8381	
-0.3052	0.2203	0.8521	
-0.3064	0.1896	0.8227	
-0.3056	0.1993	0.8311	
-0.3059	0.2093	0.8421	
-0.3061	0.1990	0.8318	
-0.3081	0.2033	0.8404	
-0.3065	0.1985	0.8322	
-0.3080	0.1992	0.8360	
-0.3091	0.1909	0.8295	
-0.3081	0.1998	0.8368	
-0.3096	0.1933	0.8330	
-0.3095	0.1934	0.8330	
-0.3089	0.1952	0.8336	
-0.3095	0.1901	0.8296	
-0.3103	0.1936	0.8348	
-0.3110	0.1834	0.8256	
-0.3109	0.1909	0.8332	
-0.3113	0.1878	0.8308	
-0.3104	0.1905	0.8318	
-0.3108	0.1938	0.8359	
-0.3110	0.1750	0.8168	
-0.3110	0.1961	0.8388	
-0.3116	0.1876	0.8311	
-0.3102	0.1883	0.8291	
-0.3106	0.1912	0.8330	
-0.3102	0.1823	0.8228	
-0.3109	0.2049	0.8478	
-0.3105	0.1773	0.8182	
-0.3116	0.1944	0.8383	
-0.3104	0.1847	0.8256	
-0.3117	0.1928	0.8368	
-0.3113	0.1820	0.8249	
-0.3118	0.1886	0.8326	
-0.3098	0.1958	0.8361	
-0.3117	0.1795	0.8229	
-0.3102	0.1986	0.8399	
-0.3115	0.1791	0.8222	
-0.3116	0.1965	0.8405	
-0.3111	0.1833	0.8257	
-0.3109	0.1839	0.8260	
-0.3109	0.1962	0.8387	
-0.3114	0.1829	0.8260	
-0.3115	0.1898	0.8331	
-0.3112	0.1836	0.8263	
-0.3120	0.1859	0.8301	
-0.3111	0.1893	0.8320	
-0.3116	0.1831	0.8265	
-0.3115	0.1880	0.8314	
-0.3122	0.1802	0.8248	
-0.3091	0.2023	0.8414	
-0.3119	0.1765	0.8202	
-0.3113	0.2008	0.8443	
-0.3113	0.1802	0.8230	
-0.3120	0.1842	0.8284	
-0.3123	0.1970	0.8424	
-0.3111	0.1791	0.8212	
-0.3120	0.1859	0.8303	
-0.3127	0.1911	0.8371	
-0.3105	0.1825	0.8236	
-0.3121	0.1826	0.8269	
