Loss_Adversary	Loss_Target	
-0.1535	0.3037	0.5276	
-0.2174	0.3337	0.6683	
-0.2714	0.3675	0.7942	
-0.3004	0.3920	0.8669	
-0.3150	0.4049	0.9040	
-0.3234	0.4106	0.9239	
-0.3281	0.4156	0.9365	
-0.3317	0.4177	0.9449	
-0.3350	0.4183	0.9513	
-0.3367	0.4203	0.9560	
-0.3387	0.4201	0.9596	
-0.3403	0.4203	0.9625	
-0.3417	0.4202	0.9650	
-0.3414	0.4235	0.9673	
-0.3434	0.4217	0.9694	
-0.3433	0.4240	0.9711	
-0.3445	0.4231	0.9726	
-0.3438	0.4262	0.9738	
-0.3456	0.4236	0.9750	
-0.3460	0.4241	0.9760	
-0.3465	0.4241	0.9769	
-0.3475	0.4227	0.9777	
-0.3466	0.4254	0.9783	
-0.3478	0.4235	0.9788	
-0.3479	0.4238	0.9793	
-0.3495	0.4210	0.9798	
-0.3483	0.4241	0.9804	
-0.3486	0.4242	0.9808	
-0.3497	0.4223	0.9812	
-0.3492	0.4235	0.9815	
-0.3501	0.4220	0.9818	
-0.3504	0.4215	0.9820	
-0.3516	0.4190	0.9821	
-0.3489	0.4253	0.9824	
-0.3513	0.4199	0.9824	
-0.3506	0.4216	0.9823	
-0.3511	0.4203	0.9823	
-0.3511	0.4205	0.9824	
-0.3518	0.4189	0.9823	
-0.3514	0.4196	0.9821	
-0.3523	0.4173	0.9821	
-0.3526	0.4166	0.9820	
-0.3527	0.4163	0.9818	
-0.3535	0.4141	0.9815	
-0.3536	0.4135	0.9811	
-0.3537	0.4125	0.9807	
-0.3523	0.4151	0.9802	
-0.3539	0.4109	0.9796	
-0.3535	0.4111	0.9791	
-0.3549	0.4073	0.9786	
-0.3546	0.4072	0.9780	
-0.3549	0.4058	0.9773	
-0.3550	0.4048	0.9766	
-0.3558	0.4017	0.9756	
-0.3556	0.4010	0.9747	
-0.3561	0.3984	0.9735	
-0.3561	0.3978	0.9728	
-0.3560	0.3966	0.9717	
-0.3564	0.3942	0.9705	
-0.3572	0.3911	0.9694	
-0.3577	0.3890	0.9686	
-0.3574	0.3869	0.9663	
-0.3568	0.3853	0.9641	
-0.3581	0.3818	0.9634	
-0.3585	0.3795	0.9624	
-0.3583	0.3761	0.9591	
-0.3591	0.3708	0.9562	
-0.3616	0.3632	0.9547	
-0.3640	0.3546	0.9519	
-0.3659	0.3420	0.9451	
-0.3664	0.3372	0.9421	
-0.3683	0.3279	0.9380	
-0.3682	0.3253	0.9356	
-0.3697	0.3206	0.9345	
-0.3692	0.3177	0.9312	
-0.3701	0.3185	0.9336	
-0.3702	0.3135	0.9296	
-0.3714	0.3089	0.9279	
-0.3698	0.3135	0.9289	
-0.3719	0.3085	0.9287	
-0.3721	0.3039	0.9252	
-0.3716	0.3034	0.9238	
-0.3727	0.3006	0.9236	
-0.3727	0.3005	0.9235	
-0.3732	0.2998	0.9238	
-0.3733	0.2965	0.9214	
-0.3733	0.2998	0.9239	
-0.3717	0.2998	0.9211	
-0.3736	0.2972	0.9223	
-0.3740	0.2928	0.9196	
-0.3734	0.2953	0.9205	
-0.3737	0.2940	0.9200	
-0.3733	0.2943	0.9196	
-0.3736	0.2955	0.9211	
-0.3738	0.2903	0.9172	
-0.3750	0.2924	0.9211	
-0.3739	0.2943	0.9207	
-0.3754	0.2863	0.9168	
-0.3741	0.2897	0.9172	
-0.3749	0.2870	0.9165	
-0.3747	0.2923	0.9204	
-0.3745	0.2844	0.9136	
-0.3743	0.2914	0.9189	
-0.3745	0.2916	0.9195	
-0.3761	0.2763	0.9099	
-0.3761	0.2862	0.9180	
-0.3758	0.2898	0.9203	
-0.3753	0.2825	0.9134	
-0.3754	0.2832	0.9143	
-0.3745	0.2915	0.9195	
-0.3753	0.2831	0.9139	
-0.3762	0.2822	0.9149	
-0.3768	0.2831	0.9168	
-0.3762	0.2773	0.9109	
-0.3753	0.2829	0.9138	
-0.3768	0.2852	0.9184	
-0.3776	0.2790	0.9149	
-0.3773	0.2796	0.9147	
-0.3784	0.2744	0.9124	
-0.3786	0.2776	0.9156	
-0.3798	0.2844	0.9232	
-0.3810	0.2578	0.9037	
-0.3824	0.2699	0.9161	
-0.3830	0.2557	0.9056	
-0.3836	0.2625	0.9123	
-0.3849	0.2510	0.9052	
-0.3855	0.2518	0.9070	
-0.3856	0.2486	0.9045	
