Loss_Adversary	Loss_Target	
-0.3653	0.3432	0.9450	
-0.3647	0.3443	0.9449	
-0.3650	0.3421	0.9435	
-0.3651	0.3401	0.9420	
-0.3654	0.3429	0.9449	
-0.3652	0.3445	0.9459	
-0.3652	0.3446	0.9460	
-0.3650	0.3451	0.9460	
-0.3651	0.3441	0.9452	
-0.3649	0.3440	0.9450	
-0.3650	0.3447	0.9457	
-0.3647	0.3449	0.9454	
-0.3657	0.3402	0.9432	
-0.3654	0.3415	0.9437	
-0.3652	0.3447	0.9460	
-0.3648	0.3445	0.9451	
-0.3650	0.3428	0.9441	
-0.3654	0.3425	0.9445	
-0.3654	0.3440	0.9458	
-0.3658	0.3419	0.9448	
-0.3645	0.3435	0.9438	
-0.3654	0.3439	0.9457	
-0.3652	0.3441	0.9456	
-0.3654	0.3409	0.9433	
-0.3651	0.3435	0.9449	
-0.3643	0.3480	0.9471	
-0.3652	0.3431	0.9447	
-0.3653	0.3401	0.9424	
-0.3654	0.3422	0.9443	
-0.3651	0.3441	0.9453	
-0.3650	0.3442	0.9452	
-0.3650	0.3430	0.9442	
-0.3654	0.3426	0.9446	
-0.3655	0.3426	0.9448	
-0.3654	0.3403	0.9429	
-0.3647	0.3437	0.9443	
-0.3653	0.3430	0.9449	
-0.3653	0.3415	0.9435	
-0.3649	0.3444	0.9452	
-0.3660	0.3427	0.9458	
-0.3654	0.3438	0.9457	
-0.3649	0.3432	0.9443	
-0.3660	0.3409	0.9444	
-0.3655	0.3416	0.9440	
-0.3657	0.3418	0.9445	
-0.3660	0.3420	0.9453	
-0.3648	0.3432	0.9440	
-0.3655	0.3413	0.9437	
-0.3648	0.3434	0.9443	
-0.3656	0.3418	0.9443	
-0.3652	0.3424	0.9441	
-0.3654	0.3421	0.9443	
-0.3643	0.3432	0.9433	
-0.3650	0.3427	0.9441	
-0.3657	0.3420	0.9448	
-0.3658	0.3427	0.9455	
-0.3657	0.3429	0.9455	
-0.3653	0.3421	0.9441	
-0.3664	0.3394	0.9439	
-0.3654	0.3424	0.9444	
-0.3650	0.3432	0.9445	
-0.3656	0.3414	0.9440	
-0.3663	0.3390	0.9434	
-0.3656	0.3419	0.9444	
-0.3653	0.3423	0.9442	
-0.3648	0.3420	0.9431	
-0.3657	0.3420	0.9447	
-0.3655	0.3422	0.9446	
-0.3655	0.3407	0.9433	
-0.3655	0.3421	0.9444	
-0.3661	0.3402	0.9440	
-0.3658	0.3411	0.9441	
-0.3643	0.3461	0.9455	
-0.3661	0.3402	0.9439	
-0.3653	0.3438	0.9455	
-0.3655	0.3417	0.9442	
-0.3663	0.3396	0.9439	
-0.3651	0.3439	0.9452	
-0.3654	0.3428	0.9448	
-0.3658	0.3400	0.9433	
-0.3651	0.3418	0.9434	
-0.3654	0.3430	0.9451	
-0.3657	0.3428	0.9453	
-0.3656	0.3426	0.9450	
-0.3657	0.3430	0.9455	
-0.3644	0.3444	0.9443	
-0.3652	0.3427	0.9444	
-0.3662	0.3418	0.9454	
-0.3653	0.3436	0.9453	
-0.3648	0.3431	0.9440	
-0.3653	0.3429	0.9447	
-0.3661	0.3399	0.9438	
-0.3658	0.3425	0.9452	
-0.3653	0.3437	0.9453	
-0.3652	0.3415	0.9435	
-0.3658	0.3427	0.9455	
-0.3650	0.3454	0.9462	
-0.3663	0.3394	0.9437	
-0.3657	0.3401	0.9432	
-0.3654	0.3415	0.9438	
-0.3646	0.3448	0.9451	
-0.3660	0.3408	0.9442	
-0.3655	0.3415	0.9441	
-0.3645	0.3426	0.9430	
-0.3656	0.3409	0.9437	
-0.3658	0.3415	0.9446	
-0.3661	0.3422	0.9457	
-0.3656	0.3415	0.9442	
-0.3656	0.3392	0.9422	
-0.3656	0.3437	0.9460	
-0.3655	0.3436	0.9456	
-0.3658	0.3391	0.9425	
-0.3660	0.3413	0.9447	
-0.3672	0.3378	0.9441	
-0.3655	0.3406	0.9432	
-0.3661	0.3422	0.9456	
-0.3661	0.3404	0.9442	
-0.3656	0.3419	0.9444	
-0.3643	0.3458	0.9453	
-0.3649	0.3436	0.9447	
-0.3653	0.3421	0.9441	
-0.3652	0.3431	0.9447	
-0.3655	0.3439	0.9458	
-0.3661	0.3414	0.9449	
-0.3654	0.3418	0.9440	
-0.3653	0.3415	0.9435	
-0.3652	0.3433	0.9448	
-0.3648	0.3440	0.9446	
-0.3651	0.3425	0.9441	
-0.3645	0.3426	0.9431	
-0.3661	0.3402	0.9439	
-0.3660	0.3438	0.9468	
-0.3657	0.3424	0.9450	
-0.3654	0.3417	0.9438	
-0.3645	0.3439	0.9441	
-0.3657	0.3408	0.9437	
-0.3653	0.3422	0.9442	
-0.3651	0.3443	0.9456	
-0.3646	0.3439	0.9444	
-0.3651	0.3430	0.9445	
-0.3656	0.3406	0.9435	
-0.3658	0.3409	0.9440	
-0.3664	0.3422	0.9462	
-0.3653	0.3431	0.9450	
-0.3654	0.3415	0.9438	
-0.3672	0.3412	0.9468	
-0.3675	0.3426	0.9485	
-0.3672	0.3391	0.9451	
-0.3697	0.3318	0.9436	
-0.3717	0.3257	0.9424	
