Loss_Adversary	Loss_Target	
-0.4795	0.2763	0.4795	
-0.5199	0.2653	0.5199	
-0.5842	0.2791	0.5842	
-0.6665	0.3132	0.6665	
-0.7481	0.3506	0.7481	
-0.8171	0.3797	0.8171	
-0.8692	0.3985	0.8692	
-0.9054	0.4083	0.9054	
-0.9292	0.4134	0.9292	
-0.9443	0.4166	0.9443	
-0.9545	0.4184	0.9545	
-0.9620	0.4192	0.9620	
-0.9676	0.4194	0.9676	
-0.9716	0.4193	0.9716	
-0.9744	0.4192	0.9744	
-0.9764	0.4193	0.9764	
-0.9778	0.4197	0.9778	
-0.9789	0.4202	0.9789	
-0.9799	0.4207	0.9799	
-0.9806	0.4212	0.9806	
-0.9813	0.4215	0.9813	
-0.9818	0.4219	0.9818	
-0.9823	0.4222	0.9823	
-0.9828	0.4225	0.9828	
-0.9832	0.4227	0.9832	
-0.9835	0.4230	0.9835	
-0.9839	0.4232	0.9839	
-0.9842	0.4234	0.9842	
-0.9845	0.4236	0.9845	
-0.9848	0.4237	0.9848	
-0.9850	0.4239	0.9850	
-0.9853	0.4241	0.9853	
-0.9855	0.4243	0.9855	
-0.9857	0.4244	0.9857	
-0.9859	0.4246	0.9859	
-0.9861	0.4247	0.9861	
-0.9863	0.4248	0.9863	
-0.9865	0.4249	0.9865	
-0.9867	0.4250	0.9867	
-0.9869	0.4250	0.9869	
-0.9870	0.4251	0.9870	
-0.9872	0.4251	0.9872	
-0.9873	0.4251	0.9873	
-0.9875	0.4250	0.9875	
-0.9876	0.4250	0.9876	
-0.9878	0.4250	0.9878	
-0.9879	0.4249	0.9879	
-0.9880	0.4249	0.9880	
-0.9882	0.4248	0.9882	
-0.9883	0.4247	0.9883	
-0.9884	0.4246	0.9884	
-0.9885	0.4245	0.9885	
-0.9886	0.4243	0.9886	
-0.9888	0.4240	0.9888	
-0.9889	0.4237	0.9889	
-0.9890	0.4235	0.9890	
-0.9891	0.4233	0.9891	
-0.9892	0.4230	0.9892	
-0.9893	0.4228	0.9893	
-0.9894	0.4226	0.9894	
-0.9895	0.4223	0.9895	
-0.9896	0.4221	0.9896	
-0.9897	0.4218	0.9897	
-0.9898	0.4216	0.9898	
-0.9899	0.4214	0.9899	
-0.9900	0.4212	0.9900	
-0.9901	0.4210	0.9901	
-0.9902	0.4208	0.9902	
-0.9903	0.4207	0.9903	
-0.9904	0.4205	0.9904	
-0.9905	0.4203	0.9905	
-0.9906	0.4202	0.9906	
-0.9907	0.4200	0.9907	
-0.9908	0.4198	0.9908	
-0.9909	0.4196	0.9909	
-0.9910	0.4195	0.9910	
-0.9911	0.4194	0.9911	
-0.9912	0.4194	0.9912	
-0.9913	0.4193	0.9913	
-0.9914	0.4193	0.9914	
-0.9915	0.4191	0.9915	
-0.9916	0.4191	0.9916	
-0.9917	0.4190	0.9917	
-0.9918	0.4189	0.9918	
-0.9919	0.4188	0.9919	
-0.9920	0.4187	0.9920	
-0.9920	0.4187	0.9920	
-0.9921	0.4186	0.9921	
-0.9922	0.4186	0.9922	
-0.9923	0.4186	0.9923	
-0.9924	0.4185	0.9924	
-0.9924	0.4185	0.9924	
-0.9925	0.4184	0.9925	
-0.9925	0.4184	0.9925	
-0.9926	0.4184	0.9926	
-0.9927	0.4184	0.9927	
-0.9927	0.4184	0.9927	
-0.9928	0.4184	0.9928	
-0.9928	0.4184	0.9928	
-0.9929	0.4183	0.9929	
-0.9929	0.4183	0.9929	
-0.9930	0.4181	0.9930	
-0.9930	0.4181	0.9930	
-0.9931	0.4180	0.9931	
-0.9931	0.4179	0.9931	
-0.9932	0.4177	0.9932	
-0.9932	0.4177	0.9932	
-0.9933	0.4177	0.9933	
-0.9933	0.4178	0.9933	
-0.9933	0.4177	0.9933	
-0.9934	0.4176	0.9934	
-0.9934	0.4176	0.9934	
-0.9935	0.4176	0.9935	
-0.9935	0.4177	0.9935	
-0.9935	0.4175	0.9935	
-0.9936	0.4175	0.9936	
-0.9936	0.4174	0.9936	
-0.9937	0.4172	0.9937	
-0.9937	0.4171	0.9937	
-0.9937	0.4171	0.9937	
-0.9938	0.4170	0.9938	
-0.9938	0.4169	0.9938	
-0.9939	0.4169	0.9939	
-0.9939	0.4169	0.9939	
-0.9939	0.4169	0.9939	
-0.9940	0.4169	0.9940	
-0.9940	0.4168	0.9940	
-0.9940	0.4168	0.9940	
-0.9941	0.4167	0.9941	
-0.9941	0.4166	0.9941	
-0.9941	0.4166	0.9941	
-0.9942	0.4167	0.9942	
-0.9942	0.4166	0.9942	
-0.9942	0.4165	0.9942	
-0.9942	0.4165	0.9942	
-0.9943	0.4165	0.9943	
-0.9943	0.4164	0.9943	
-0.9943	0.4163	0.9943	
-0.9944	0.4164	0.9944	
-0.9944	0.4164	0.9944	
-0.9944	0.4163	0.9944	
-0.9944	0.4164	0.9944	
-0.9945	0.4163	0.9945	
-0.9945	0.4163	0.9945	
-0.9945	0.4162	0.9945	
-0.9946	0.4164	0.9946	
-0.9946	0.4165	0.9946	
-0.9946	0.4166	0.9946	
-0.9947	0.4167	0.9947	
-0.9947	0.4169	0.9947	
-0.9947	0.4171	0.9947	
-0.9948	0.4173	0.9948	
-0.9948	0.4175	0.9948	
-0.9948	0.4177	0.9948	
-0.9948	0.4179	0.9948	
-0.9949	0.4182	0.9949	
-0.9949	0.4185	0.9949	
-0.9949	0.4187	0.9949	
-0.9949	0.4190	0.9949	
-0.9950	0.4192	0.9950	
-0.9950	0.4193	0.9950	
-0.9950	0.4195	0.9950	
-0.9950	0.4197	0.9950	
-0.9951	0.4198	0.9951	
-0.9951	0.4200	0.9951	
-0.9951	0.4202	0.9951	
-0.9951	0.4203	0.9951	
-0.9952	0.4205	0.9952	
-0.9952	0.4206	0.9952	
-0.9952	0.4208	0.9952	
-0.9952	0.4210	0.9952	
-0.9952	0.4211	0.9952	
-0.9952	0.4213	0.9952	
-0.9953	0.4214	0.9953	
-0.9953	0.4215	0.9953	
-0.9953	0.4216	0.9953	
-0.9953	0.4217	0.9953	
-0.9953	0.4218	0.9953	
-0.9953	0.4218	0.9953	
-0.9953	0.4219	0.9953	
-0.9954	0.4220	0.9954	
-0.9954	0.4222	0.9954	
-0.9954	0.4223	0.9954	
-0.9954	0.4223	0.9954	
-0.9954	0.4224	0.9954	
-0.9954	0.4225	0.9954	
-0.9954	0.4225	0.9954	
-0.9954	0.4226	0.9954	
-0.9954	0.4226	0.9954	
-0.9954	0.4226	0.9954	
-0.9955	0.4227	0.9955	
-0.9955	0.4227	0.9955	
-0.9955	0.4227	0.9955	
-0.9955	0.4227	0.9955	
-0.9955	0.4227	0.9955	
-0.9955	0.4228	0.9955	
-0.9955	0.4228	0.9955	
-0.9955	0.4228	0.9955	
-0.9955	0.4228	0.9955	
-0.9955	0.4229	0.9955	
-0.9955	0.4229	0.9955	
-0.9955	0.4229	0.9955	
-0.9956	0.4229	0.9956	
-0.9956	0.4230	0.9956	
-0.9956	0.4230	0.9956	
-0.9956	0.4230	0.9956	
-0.9956	0.4230	0.9956	
-0.9956	0.4231	0.9956	
-0.9956	0.4230	0.9956	
-0.9956	0.4231	0.9956	
-0.9956	0.4231	0.9956	
-0.9956	0.4231	0.9956	
-0.9956	0.4231	0.9956	
-0.9956	0.4232	0.9956	
-0.9956	0.4232	0.9956	
-0.9956	0.4232	0.9956	
-0.9956	0.4232	0.9956	
-0.9956	0.4232	0.9956	
-0.9956	0.4233	0.9956	
-0.9956	0.4233	0.9956	
-0.9956	0.4233	0.9956	
-0.9957	0.4233	0.9957	
-0.9957	0.4234	0.9957	
-0.9957	0.4234	0.9957	
-0.9957	0.4234	0.9957	
-0.9957	0.4234	0.9957	
-0.9957	0.4235	0.9957	
-0.9957	0.4235	0.9957	
-0.9957	0.4236	0.9957	
-0.9957	0.4236	0.9957	
-0.9957	0.4236	0.9957	
-0.9957	0.4236	0.9957	
-0.9957	0.4237	0.9957	
-0.9957	0.4237	0.9957	
-0.9957	0.4237	0.9957	
-0.9957	0.4238	0.9957	
-0.9957	0.4237	0.9957	
-0.9957	0.4237	0.9957	
-0.9957	0.4237	0.9957	
-0.9957	0.4238	0.9957	
-0.9957	0.4238	0.9957	
-0.9957	0.4238	0.9957	
-0.9957	0.4238	0.9957	
-0.9957	0.4238	0.9957	
-0.9957	0.4238	0.9957	
-0.9957	0.4238	0.9957	
-0.9957	0.4238	0.9957	
-0.9957	0.4238	0.9957	
-0.9958	0.4238	0.9958	
-0.9957	0.4238	0.9957	
-0.9958	0.4238	0.9958	
-0.9958	0.4238	0.9958	
-0.9958	0.4238	0.9958	
-0.9958	0.4238	0.9958	
-0.9958	0.4238	0.9958	
-0.9958	0.4238	0.9958	
-0.9958	0.4238	0.9958	
-0.9958	0.4237	0.9958	
-0.9958	0.4237	0.9958	
-0.9958	0.4237	0.9958	
-0.9958	0.4237	0.9958	
-0.9958	0.4237	0.9958	
-0.9958	0.4237	0.9958	
-0.9958	0.4237	0.9958	
-0.9958	0.4236	0.9958	
-0.9958	0.4236	0.9958	
-0.9958	0.4236	0.9958	
-0.9958	0.4236	0.9958	
-0.9958	0.4236	0.9958	
-0.9958	0.4236	0.9958	
-0.9958	0.4236	0.9958	
-0.9958	0.4236	0.9958	
-0.9959	0.4235	0.9959	
-0.9959	0.4236	0.9959	
-0.9959	0.4236	0.9959	
-0.9959	0.4236	0.9959	
-0.9959	0.4235	0.9959	
-0.9959	0.4235	0.9959	
-0.9959	0.4235	0.9959	
-0.9959	0.4235	0.9959	
-0.9959	0.4235	0.9959	
-0.9959	0.4235	0.9959	
-0.9959	0.4235	0.9959	
-0.9959	0.4235	0.9959	
-0.9959	0.4235	0.9959	
-0.9959	0.4235	0.9959	
-0.9959	0.4235	0.9959	
-0.9959	0.4235	0.9959	
-0.9959	0.4234	0.9959	
-0.9959	0.4234	0.9959	
-0.9959	0.4234	0.9959	
-0.9959	0.4234	0.9959	
-0.9959	0.4234	0.9959	
-0.9959	0.4234	0.9959	
-0.9959	0.4234	0.9959	
-0.9959	0.4234	0.9959	
-0.9960	0.4233	0.9960	
-0.9960	0.4233	0.9960	
-0.9960	0.4233	0.9960	
