Loss_Adversary	Loss_Target	
-0.0635	0.2688	0.4521	
-0.0982	0.2213	0.4717	
-0.1261	0.1788	0.4827	
-0.1457	0.1483	0.4893	
-0.1614	0.1203	0.4909	
-0.1725	0.0993	0.4903	
-0.1826	0.0804	0.4900	
-0.1899	0.0658	0.4890	
-0.1972	0.0523	0.4889	
-0.2013	0.0450	0.4893	
-0.2081	0.0346	0.4919	
-0.2099	0.0317	0.4924	
-0.2141	0.0249	0.4934	
-0.2172	0.0200	0.4946	
-0.2182	0.0184	0.4949	
-0.2200	0.0153	0.4950	
-0.2213	0.0127	0.4949	
-0.2215	0.0123	0.4949	
-0.2212	0.0125	0.4945	
-0.2209	0.0125	0.4939	
-0.2220	0.0104	0.4937	
-0.2219	0.0107	0.4938	
-0.2222	0.0086	0.4920	
-0.2229	0.0078	0.4927	
-0.2232	0.0078	0.4933	
-0.2230	0.0082	0.4933	
-0.2233	0.0069	0.4924	
-0.2231	0.0072	0.4923	
-0.2233	0.0075	0.4932	
-0.2244	0.0056	0.4933	
-0.2244	0.0052	0.4929	
-0.2232	0.0072	0.4927	
-0.2236	0.0067	0.4927	
-0.2235	0.0070	0.4930	
-0.2243	0.0048	0.4922	
-0.2233	0.0067	0.4922	
-0.2248	0.0043	0.4926	
-0.2246	0.0047	0.4926	
-0.2251	0.0041	0.4929	
-0.2240	0.0052	0.4921	
-0.2245	0.0048	0.4926	
-0.2250	0.0042	0.4929	
-0.2240	0.0054	0.4923	
-0.2244	0.0047	0.4922	
-0.2248	0.0037	0.4919	
-0.2250	0.0039	0.4925	
-0.2249	0.0035	0.4919	
-0.2248	0.0039	0.4922	
-0.2252	0.0037	0.4927	
-0.2255	0.0030	0.4926	
-0.2247	0.0044	0.4924	
-0.2254	0.0032	0.4927	
-0.2251	0.0035	0.4924	
-0.2249	0.0040	0.4925	
-0.2248	0.0044	0.4928	
-0.2256	0.0038	0.4939	
-0.2258	0.0032	0.4935	
-0.2252	0.0041	0.4933	
-0.2260	0.0033	0.4940	
-0.2243	0.0054	0.4930	
-0.2253	0.0042	0.4936	
-0.2255	0.0043	0.4942	
-0.2258	0.0031	0.4935	
-0.2254	0.0029	0.4924	
-0.2263	0.0026	0.4940	
-0.2262	0.0028	0.4939	
-0.2262	0.0027	0.4939	
-0.2263	0.0024	0.4937	
-0.2267	0.0021	0.4942	
-0.2261	0.0033	0.4944	
-0.2264	0.0026	0.4941	
-0.2263	0.0030	0.4944	
-0.2260	0.0034	0.4943	
-0.2270	0.0023	0.4952	
-0.2265	0.0027	0.4945	
-0.2269	0.0017	0.4941	
-0.2270	0.0019	0.4946	
-0.2274	0.0020	0.4956	
-0.2267	0.0022	0.4943	
-0.2261	0.0039	0.4949	
-0.2269	0.0022	0.4948	
-0.2268	0.0028	0.4952	
-0.2270	0.0031	0.4959	
-0.2268	0.0025	0.4948	
-0.2270	0.0023	0.4950	
-0.2267	0.0021	0.4943	
-0.2262	0.0035	0.4948	
-0.2272	0.0022	0.4953	
-0.2274	0.0019	0.4955	
-0.2259	0.0042	0.4949	
-0.2260	0.0048	0.4957	
-0.2269	0.0028	0.4955	
-0.2265	0.0036	0.4957	
-0.2269	0.0027	0.4953	
-0.2273	0.0016	0.4949	
-0.2269	0.0025	0.4951	
-0.2272	0.0025	0.4959	
-0.2275	0.0020	0.4958	
-0.2272	0.0016	0.4947	
-0.2273	0.0024	0.4957	
-0.2277	0.0014	0.4955	
-0.2268	0.0031	0.4957	
-0.2263	0.0043	0.4960	
-0.2271	0.0030	0.4961	
-0.2275	0.0016	0.4955	
-0.2265	0.0038	0.4957	
-0.2270	0.0030	0.4958	
-0.2267	0.0032	0.4954	
-0.2270	0.0028	0.4958	
-0.2274	0.0022	0.4958	
-0.2271	0.0026	0.4958	
-0.2255	0.0052	0.4952	
-0.2276	0.0023	0.4964	
-0.2276	0.0020	0.4960	
-0.2276	0.0018	0.4959	
-0.2266	0.0035	0.4958	
-0.2270	0.0029	0.4957	
-0.2273	0.0023	0.4957	
-0.2272	0.0020	0.4951	
-0.2271	0.0028	0.4959	
-0.2276	0.0016	0.4956	
-0.2273	0.0025	0.4961	
-0.2274	0.0025	0.4961	
-0.2276	0.0014	0.4953	
-0.2278	0.0019	0.4964	
-0.2274	0.0027	0.4963	
-0.2277	0.0019	0.4960	
-0.2273	0.0027	0.4962	
-0.2275	0.0024	0.4963	
-0.2280	0.0017	0.4965	
-0.2274	0.0022	0.4960	
-0.2269	0.0039	0.4968	
-0.2281	0.0016	0.4967	
-0.2279	0.0016	0.4963	
-0.2274	0.0027	0.4965	
-0.2271	0.0030	0.4961	
-0.2277	0.0017	0.4960	
-0.2270	0.0027	0.4955	
-0.2270	0.0025	0.4954	
-0.2274	0.0027	0.4964	
-0.2269	0.0029	0.4955	
-0.2272	0.0026	0.4959	
-0.2283	0.0009	0.4962	
-0.2281	0.0015	0.4966	
-0.2266	0.0042	0.4964	
-0.2265	0.0036	0.4956	
-0.2271	0.0029	0.4961	
-0.2273	0.0024	0.4958	
-0.2275	0.0026	0.4965	
-0.2274	0.0030	0.4968	
-0.2269	0.0035	0.4964	
-0.2265	0.0039	0.4959	
-0.2273	0.0028	0.4964	
-0.2283	0.0014	0.4969	
-0.2269	0.0037	0.4966	
-0.2268	0.0037	0.4963	
-0.2276	0.0024	0.4965	
