Loss_Adversary	Loss_Target	
-0.1582	0.1468	0.5022	
-0.1800	0.0877	0.4820	
-0.1983	0.0404	0.4676	
-0.2112	0.0096	0.4602	
-0.2171	0.0040	0.4665	
-0.2237	0.0017	0.4778	
-0.2254	0.0036	0.4836	
-0.2281	0.0024	0.4880	
-0.2287	0.0025	0.4893	
-0.2297	0.0012	0.4900	
-0.2296	0.0020	0.4907	
-0.2295	0.0029	0.4916	
-0.2292	0.0041	0.4924	
-0.2299	0.0027	0.4921	
-0.2289	0.0048	0.4923	
-0.2286	0.0068	0.4939	
-0.2304	0.0026	0.4931	
-0.2307	0.0020	0.4930	
-0.2307	0.0018	0.4929	
-0.2299	0.0042	0.4939	
-0.2307	0.0019	0.4931	
-0.2300	0.0039	0.4937	
-0.2312	0.0017	0.4939	
-0.2310	0.0023	0.4940	
-0.2313	0.0020	0.4944	
-0.2314	0.0027	0.4952	
-0.2302	0.0044	0.4947	
-0.2317	0.0010	0.4941	
-0.2319	0.0009	0.4945	
-0.2307	0.0031	0.4944	
-0.2307	0.0039	0.4952	
-0.2313	0.0024	0.4949	
-0.2304	0.0046	0.4953	
-0.2307	0.0036	0.4948	
-0.2297	0.0052	0.4945	
-0.2317	0.0015	0.4946	
-0.2310	0.0031	0.4951	
-0.2318	0.0015	0.4950	
-0.2313	0.0025	0.4950	
-0.2314	0.0022	0.4948	
-0.2315	0.0026	0.4956	
-0.2314	0.0023	0.4950	
-0.2320	0.0020	0.4959	
-0.2315	0.0029	0.4959	
-0.2319	0.0021	0.4958	
-0.2315	0.0017	0.4945	
-0.2306	0.0043	0.4956	
-0.2310	0.0032	0.4950	
-0.2319	0.0013	0.4948	
-0.2311	0.0036	0.4957	
-0.2310	0.0033	0.4952	
-0.2310	0.0037	0.4956	
-0.2315	0.0033	0.4962	
-0.2317	0.0018	0.4950	
-0.2316	0.0027	0.4959	
-0.2310	0.0038	0.4957	
-0.2310	0.0036	0.4955	
-0.2313	0.0029	0.4954	
-0.2317	0.0030	0.4964	
-0.2309	0.0037	0.4954	
-0.2311	0.0030	0.4951	
-0.2318	0.0022	0.4956	
-0.2313	0.0031	0.4957	
-0.2315	0.0025	0.4954	
-0.2315	0.0033	0.4962	
-0.2321	0.0023	0.4965	
-0.2322	0.0017	0.4961	
-0.2301	0.0050	0.4951	
-0.2308	0.0041	0.4957	
-0.2314	0.0029	0.4956	
-0.2319	0.0024	0.4961	
-0.2319	0.0021	0.4959	
-0.2321	0.0017	0.4957	
-0.2328	0.0010	0.4964	
-0.2324	0.0016	0.4962	
-0.2323	0.0014	0.4959	
-0.2319	0.0023	0.4959	
-0.2322	0.0018	0.4961	
-0.2320	0.0020	0.4959	
-0.2319	0.0034	0.4973	
-0.2321	0.0025	0.4966	
-0.2325	0.0014	0.4962	
-0.2324	0.0015	0.4962	
-0.2312	0.0044	0.4969	
-0.2313	0.0041	0.4968	
-0.2321	0.0024	0.4966	
-0.2329	0.0009	0.4965	
-0.2324	0.0016	0.4964	
-0.2325	0.0013	0.4962	
-0.2314	0.0038	0.4966	
-0.2323	0.0025	0.4972	
-0.2308	0.0042	0.4958	
-0.2325	0.0014	0.4962	
-0.2304	0.0054	0.4964	
-0.2314	0.0031	0.4959	
-0.2309	0.0045	0.4964	
-0.2316	0.0029	0.4961	
-0.2324	0.0017	0.4963	
-0.2319	0.0031	0.4970	
-0.2324	0.0018	0.4965	
-0.2323	0.0016	0.4961	
-0.2308	0.0048	0.4965	
-0.2317	0.0036	0.4970	
-0.2314	0.0027	0.4953	
-0.2322	0.0025	0.4969	
-0.2314	0.0037	0.4966	
-0.2323	0.0022	0.4966	
-0.2328	0.0015	0.4971	
-0.2326	0.0014	0.4965	
-0.2319	0.0024	0.4962	
-0.2320	0.0021	0.4961	
-0.2321	0.0019	0.4961	
-0.2329	0.0017	0.4974	
-0.2319	0.0030	0.4968	
-0.2328	0.0015	0.4971	
-0.2321	0.0027	0.4967	
-0.2321	0.0021	0.4961	
-0.2325	0.0022	0.4971	
-0.2327	0.0017	0.4969	
-0.2318	0.0033	0.4969	
-0.2318	0.0038	0.4975	
-0.2326	0.0020	0.4970	
-0.2322	0.0021	0.4965	
-0.2328	0.0016	0.4971	
-0.2319	0.0038	0.4977	
-0.2316	0.0034	0.4967	
-0.2323	0.0025	0.4971	
-0.2323	0.0021	0.4967	
-0.2325	0.0030	0.4980	
-0.2325	0.0019	0.4969	
-0.2325	0.0015	0.4965	
-0.2321	0.0030	0.4972	
-0.2324	0.0024	0.4972	
-0.2318	0.0033	0.4968	
-0.2323	0.0020	0.4964	
-0.2320	0.0034	0.4973	
-0.2325	0.0024	0.4974	
-0.2327	0.0014	0.4967	
-0.2325	0.0024	0.4974	
-0.2324	0.0030	0.4978	
-0.2327	0.0025	0.4979	
-0.2317	0.0039	0.4974	
-0.2326	0.0028	0.4980	
-0.2318	0.0038	0.4976	
-0.2322	0.0039	0.4985	
-0.2324	0.0026	0.4974	
-0.2324	0.0033	0.4982	
-0.2325	0.0051	0.5004	
-0.2313	0.0102	0.5038	
-0.2341	0.0220	0.5229	
-0.2422	0.1665	0.7031	
-0.2473	0.2793	0.8411	
-0.2604	0.2046	0.7848	
-0.2694	0.1822	0.7786	
-0.2747	0.1637	0.7690	
-0.2778	0.1704	0.7833	
-0.2804	0.1621	0.7793	
-0.2828	0.1851	0.8105	
-0.2839	0.1479	0.7708	
-0.2844	0.1698	0.7966	
-0.2868	0.1620	0.7928	
-0.2864	0.1547	0.7837	
-0.2865	0.1786	0.8111	
-0.2883	0.1443	0.7761	
-0.2870	0.1634	0.7949	
-0.2873	0.1763	0.8101	
-0.2890	0.1518	0.7860	
-0.2892	0.1544	0.7893	
-0.2902	0.1670	0.8058	
-0.2901	0.1520	0.7886	
-0.2902	0.1543	0.7916	
-0.2909	0.1583	0.7976	
-0.2894	0.1586	0.7945	
-0.2904	0.1469	0.7835	
-0.2898	0.1695	0.8077	
-0.2896	0.1573	0.7935	
-0.2918	0.1661	0.8081	
-0.2910	0.1404	0.7775	
-0.2898	0.1646	0.8023	
-0.2908	0.1580	0.7968	
-0.2916	0.1542	0.7944	
-0.2892	0.1601	0.7958	
-0.2906	0.1533	0.7911	
-0.2912	0.1588	0.7987	
-0.2910	0.1591	0.7984	
-0.2908	0.1532	0.7915	
-0.2918	0.1454	0.7848	
-0.2908	0.1732	0.8139	
-0.2905	0.1477	0.7845	
-0.2903	0.1659	0.8047	
-0.2910	0.1501	0.7884	
-0.2886	0.1554	0.7893	
-0.2905	0.1735	0.8137	
-0.2891	0.1511	0.7856	
-0.2918	0.1586	0.7996	
-0.2910	0.1504	0.7886	
-0.2925	0.1610	0.8038	
-0.2915	0.1413	0.7796	
-0.2912	0.1627	0.8031	
-0.2907	0.1580	0.7967	
-0.2917	0.1526	0.7927	
-0.2911	0.1525	0.7913	
-0.2913	0.1514	0.7906	
-0.2911	0.1589	0.7986	
-0.2919	0.1496	0.7898	
-0.2914	0.1636	0.8045	
