Loss_Adversary	Loss_Target	
-0.2050	0.0047	0.4462	
-0.2147	0.0079	0.4708	
-0.2190	0.0096	0.4821	
-0.2216	0.0101	0.4882	
-0.2235	0.0108	0.4930	
-0.2247	0.0102	0.4950	
-0.2255	0.0096	0.4960	
-0.2261	0.0087	0.4961	
-0.2265	0.0075	0.4958	
-0.2269	0.0070	0.4959	
-0.2272	0.0062	0.4957	
-0.2274	0.0054	0.4954	
-0.2276	0.0051	0.4954	
-0.2278	0.0051	0.4957	
-0.2280	0.0047	0.4957	
-0.2281	0.0045	0.4957	
-0.2283	0.0040	0.4955	
-0.2283	0.0042	0.4959	
-0.2285	0.0038	0.4958	
-0.2286	0.0036	0.4958	
-0.2287	0.0036	0.4959	
-0.2287	0.0036	0.4960	
-0.2289	0.0033	0.4960	
-0.2289	0.0033	0.4961	
-0.2290	0.0032	0.4961	
-0.2290	0.0032	0.4962	
-0.2291	0.0029	0.4961	
-0.2291	0.0029	0.4961	
-0.2292	0.0028	0.4961	
-0.2292	0.0028	0.4962	
-0.2292	0.0029	0.4963	
-0.2293	0.0027	0.4962	
-0.2294	0.0026	0.4962	
-0.2294	0.0025	0.4963	
-0.2294	0.0026	0.4964	
-0.2295	0.0025	0.4964	
-0.2295	0.0025	0.4965	
-0.2295	0.0027	0.4967	
-0.2295	0.0027	0.4967	
-0.2295	0.0027	0.4967	
-0.2296	0.0026	0.4967	
-0.2296	0.0025	0.4966	
-0.2297	0.0023	0.4966	
-0.2297	0.0024	0.4967	
-0.2296	0.0026	0.4968	
-0.2296	0.0027	0.4969	
-0.2297	0.0026	0.4969	
-0.2297	0.0025	0.4969	
-0.2297	0.0026	0.4969	
-0.2297	0.0025	0.4969	
-0.2298	0.0023	0.4969	
-0.2298	0.0025	0.4970	
-0.2298	0.0025	0.4970	
-0.2298	0.0025	0.4970	
-0.2298	0.0023	0.4970	
-0.2299	0.0022	0.4969	
-0.2299	0.0023	0.4969	
-0.2298	0.0025	0.4970	
-0.2298	0.0025	0.4971	
-0.2299	0.0022	0.4970	
-0.2299	0.0025	0.4972	
-0.2299	0.0026	0.4973	
-0.2300	0.0023	0.4972	
-0.2299	0.0024	0.4973	
-0.2299	0.0025	0.4973	
-0.2299	0.0025	0.4973	
-0.2299	0.0025	0.4974	
-0.2300	0.0025	0.4974	
-0.2300	0.0025	0.4975	
-0.2300	0.0026	0.4976	
-0.2299	0.0026	0.4975	
-0.2300	0.0026	0.4975	
-0.2300	0.0025	0.4975	
-0.2300	0.0027	0.4977	
-0.2300	0.0030	0.4979	
-0.2299	0.0034	0.4984	
-0.2300	0.0033	0.4984	
-0.2300	0.0036	0.4988	
-0.2301	0.0039	0.4993	
-0.2301	0.0045	0.5001	
-0.2302	0.0052	0.5010	
-0.2303	0.0061	0.5023	
-0.2305	0.0070	0.5036	
-0.2305	0.0088	0.5059	
-0.2310	0.0156	0.5146	
-0.2316	0.0222	0.5236	
-0.2326	0.0353	0.5408	
-0.2354	0.0739	0.5912	
-0.2397	0.1378	0.6740	
-0.2433	0.1660	0.7143	
-0.2480	0.1824	0.7431	
-0.2529	0.1942	0.7673	
-0.2585	0.2125	0.8005	
-0.2630	0.2163	0.8145	
-0.2664	0.2028	0.8064	
-0.2694	0.1987	0.8079	
-0.2711	0.1876	0.7989	
-0.2726	0.1865	0.8008	
-0.2737	0.1829	0.7990	
-0.2745	0.1859	0.8043	
-0.2753	0.1835	0.8031	
-0.2758	0.1769	0.7965	
-0.2763	0.1813	0.8028	
-0.2765	0.1770	0.7984	
-0.2768	0.1712	0.7922	
-0.2775	0.1757	0.7988	
-0.2778	0.1763	0.8002	
-0.2782	0.1706	0.7945	
-0.2786	0.1690	0.7936	
-0.2788	0.1682	0.7930	
-0.2793	0.1705	0.7968	
-0.2795	0.1705	0.7972	
-0.2797	0.1640	0.7903	
-0.2802	0.1651	0.7925	
-0.2806	0.1638	0.7920	
-0.2811	0.1632	0.7923	
-0.2811	0.1635	0.7927	
-0.2814	0.1595	0.7887	
-0.2819	0.1616	0.7921	
-0.2822	0.1635	0.7949	
-0.2821	0.1583	0.7889	
-0.2822	0.1585	0.7893	
-0.2823	0.1622	0.7937	
-0.2823	0.1592	0.7904	
-0.2826	0.1573	0.7888	
-0.2828	0.1556	0.7872	
-0.2828	0.1554	0.7869	
-0.2826	0.1577	0.7891	
-0.2825	0.1572	0.7883	
-0.2824	0.1594	0.7906	
-0.2826	0.1608	0.7928	
-0.2829	0.1576	0.7897	
-0.2830	0.1535	0.7851	
-0.2830	0.1526	0.7842	
-0.2830	0.1495	0.7806	
-0.2831	0.1546	0.7868	
-0.2832	0.1598	0.7929	
-0.2834	0.1580	0.7913	
-0.2833	0.1554	0.7882	
-0.2834	0.1531	0.7857	
-0.2836	0.1539	0.7869	
-0.2835	0.1545	0.7876	
-0.2834	0.1517	0.7841	
-0.2836	0.1552	0.7884	
-0.2835	0.1534	0.7862	
-0.2835	0.1487	0.7808	
-0.2835	0.1518	0.7844	
-0.2836	0.1542	0.7874	
-0.2838	0.1559	0.7898	
-0.2839	0.1568	0.7910	
-0.2839	0.1501	0.7832	
-0.2837	0.1519	0.7848	
-0.2839	0.1562	0.7903	
-0.2840	0.1541	0.7881	
-0.2840	0.1542	0.7883	
-0.2844	0.1538	0.7886	
-0.2843	0.1544	0.7890	
-0.2841	0.1518	0.7856	
-0.2843	0.1508	0.7848	
-0.2840	0.1507	0.7842	
-0.2839	0.1528	0.7864	
-0.2845	0.1512	0.7858	
-0.2845	0.1490	0.7832	
-0.2845	0.1521	0.7869	
-0.2846	0.1510	0.7857	
-0.2844	0.1521	0.7867	
-0.2844	0.1525	0.7871	
-0.2843	0.1542	0.7888	
-0.2844	0.1530	0.7876	
-0.2848	0.1482	0.7830	
-0.2848	0.1521	0.7874	
-0.2850	0.1531	0.7890	
-0.2850	0.1581	0.7947	
-0.2850	0.1577	0.7943	
-0.2850	0.1549	0.7911	
-0.2848	0.1531	0.7886	
-0.2849	0.1472	0.7819	
-0.2848	0.1514	0.7866	
-0.2848	0.1561	0.7920	
-0.2850	0.1586	0.7954	
-0.2851	0.1562	0.7928	
-0.2851	0.1537	0.7900	
-0.2850	0.1510	0.7867	
-0.2849	0.1498	0.7851	
-0.2852	0.1514	0.7876	
-0.2852	0.1499	0.7858	
-0.2849	0.1511	0.7865	
