Loss_Adversary	Loss_Target	
-0.2049	0.0100	0.4551	
-0.2119	0.0036	0.4629	
-0.2156	0.0039	0.4711	
-0.2167	0.0065	0.4767	
-0.2194	0.0047	0.4804	
-0.2205	0.0047	0.4827	
-0.2215	0.0051	0.4854	
-0.2213	0.0062	0.4863	
-0.2223	0.0070	0.4893	
-0.2235	0.0096	0.4950	
-0.2228	0.0155	0.5003	
-0.2233	0.0260	0.5135	
-0.2233	0.0417	0.5319	
-0.2253	0.0621	0.5600	
-0.2262	0.0968	0.6023	
-0.2287	0.1462	0.6652	
-0.2315	0.2029	0.7373	
-0.2340	0.2314	0.7759	
-0.2381	0.2338	0.7877	
-0.2422	0.2289	0.7907	
-0.2453	0.2135	0.7796	
-0.2491	0.1924	0.7632	
-0.2513	0.1835	0.7577	
-0.2536	0.1741	0.7517	
-0.2551	0.1765	0.7578	
-0.2565	0.1731	0.7568	
-0.2579	0.1588	0.7431	
-0.2600	0.1820	0.7748	
-0.2608	0.1859	0.7810	
-0.2609	0.1772	0.7711	
-0.2628	0.1706	0.7676	
-0.2649	0.1739	0.7760	
-0.2659	0.1708	0.7744	
-0.2665	0.1697	0.7745	
-0.2693	0.1603	0.7695	
-0.2695	0.1737	0.7857	
-0.2703	0.1561	0.7668	
-0.2711	0.1645	0.7783	
-0.2703	0.1570	0.7680	
-0.2729	0.1610	0.7782	
-0.2716	0.1598	0.7741	
-0.2727	0.1554	0.7712	
-0.2736	0.1603	0.7788	
-0.2704	0.1449	0.7540	
-0.2725	0.2076	0.8316	
-0.2745	0.1445	0.7625	
-0.2750	0.1689	0.7920	
-0.2750	0.1446	0.7636	
-0.2747	0.1523	0.7719	
-0.2756	0.1715	0.7961	
-0.2774	0.1490	0.7740	
-0.2771	0.1498	0.7742	
-0.2766	0.1539	0.7781	
-0.2756	0.1466	0.7671	
-0.2764	0.1938	0.8240	
-0.2755	0.1310	0.7489	
-0.2774	0.2054	0.8396	
-0.2778	0.1264	0.7485	
-0.2774	0.1808	0.8109	
-0.2778	0.1481	0.7738	
-0.2796	0.1537	0.7843	
-0.2790	0.1574	0.7872	
-0.2790	0.1554	0.7849	
-0.2780	0.1415	0.7666	
-0.2802	0.1661	0.7999	
-0.2802	0.1402	0.7699	
-0.2803	0.1662	0.8004	
-0.2814	0.1389	0.7709	
-0.2797	0.1608	0.7927	
-0.2803	0.1408	0.7706	
-0.2800	0.1623	0.7951	
-0.2812	0.1370	0.7682	
-0.2812	0.1654	0.8013	
-0.2805	0.1313	0.7599	
-0.2802	0.1828	0.8194	
-0.2824	0.1468	0.7821	
-0.2824	0.1480	0.7836	
-0.2813	0.1491	0.7824	
-0.2816	0.1547	0.7898	
-0.2828	0.1438	0.7796	
-0.2830	0.1542	0.7922	
-0.2826	0.1421	0.7771	
-0.2823	0.1574	0.7943	
-0.2831	0.1365	0.7717	
-0.2839	0.1504	0.7897	
-0.2834	0.1443	0.7814	
-0.2833	0.1646	0.8048	
-0.2835	0.1319	0.7672	
-0.2837	0.1529	0.7921	
-0.2833	0.1515	0.7897	
-0.2837	0.1427	0.7803	
-0.2852	0.1523	0.7946	
