Loss_Adversary	Loss_Target	
-0.0142	0.1514	0.1937	
-0.0184	0.1455	0.1960	
-0.0241	0.1557	0.2189	
-0.0332	0.1885	0.2733	
-0.0445	0.2106	0.3208	
-0.0564	0.2130	0.3483	
-0.0705	0.2079	0.3721	
-0.0852	0.2012	0.3956	
-0.0982	0.1770	0.3964	
-0.1109	0.1507	0.3942	
-0.1230	0.1261	0.3928	
-0.1333	0.1033	0.3898	
-0.1421	0.0899	0.3934	
-0.1494	0.0706	0.3878	
-0.1557	0.0693	0.3994	
-0.1618	0.0615	0.4036	
-0.1682	0.0560	0.4110	
-0.1762	0.0414	0.4120	
-0.1856	0.0320	0.4213	
-0.1931	0.0260	0.4303	
-0.1995	0.0216	0.4390	
-0.2056	0.0190	0.4489	
-0.2114	0.0126	0.4541	
-0.2164	0.0089	0.4603	
-0.2200	0.0098	0.4691	
-0.2233	0.0068	0.4726	
-0.2255	0.0081	0.4785	
-0.2278	0.0053	0.4802	
-0.2294	0.0040	0.4823	
-0.2304	0.0054	0.4859	
-0.2311	0.0063	0.4882	
-0.2324	0.0027	0.4871	
-0.2330	0.0019	0.4874	
-0.2331	0.0036	0.4896	
-0.2334	0.0035	0.4901	
-0.2338	0.0029	0.4902	
-0.2341	0.0024	0.4903	
-0.2343	0.0020	0.4903	
-0.2342	0.0031	0.4912	
-0.2345	0.0021	0.4908	
-0.2345	0.0022	0.4911	
-0.2348	0.0016	0.4908	
-0.2348	0.0019	0.4912	
-0.2346	0.0027	0.4916	
-0.2350	0.0012	0.4909	
-0.2350	0.0015	0.4913	
-0.2347	0.0028	0.4920	
-0.2351	0.0016	0.4915	
-0.2352	0.0014	0.4915	
-0.2348	0.0027	0.4922	
-0.2352	0.0017	0.4918	
-0.2353	0.0015	0.4918	
-0.2353	0.0015	0.4919	
-0.2354	0.0012	0.4917	
-0.2352	0.0020	0.4922	
-0.2354	0.0017	0.4921	
-0.2352	0.0023	0.4924	
-0.2354	0.0016	0.4922	
-0.2356	0.0007	0.4917	
-0.2353	0.0022	0.4925	
-0.2355	0.0017	0.4924	
-0.2355	0.0017	0.4925	
-0.2354	0.0021	0.4927	
-0.2357	0.0010	0.4922	
-0.2357	0.0010	0.4922	
-0.2353	0.0025	0.4928	
-0.2356	0.0017	0.4926	
-0.2357	0.0014	0.4925	
-0.2356	0.0017	0.4927	
-0.2357	0.0014	0.4926	
-0.2357	0.0017	0.4928	
-0.2358	0.0012	0.4926	
-0.2357	0.0016	0.4928	
-0.2358	0.0013	0.4927	
-0.2358	0.0014	0.4928	
-0.2358	0.0015	0.4929	
-0.2357	0.0018	0.4931	
-0.2358	0.0015	0.4930	
-0.2359	0.0015	0.4930	
-0.2359	0.0015	0.4930	
-0.2361	0.0008	0.4927	
-0.2357	0.0021	0.4933	
-0.2360	0.0014	0.4931	
-0.2358	0.0019	0.4933	
-0.2359	0.0016	0.4933	
-0.2359	0.0017	0.4933	
-0.2362	0.0010	0.4931	
-0.2360	0.0018	0.4935	
-0.2362	0.0013	0.4934	
-0.2363	0.0011	0.4935	
-0.2362	0.0017	0.4939	
-0.2362	0.0017	0.4940	
-0.2364	0.0014	0.4940	
-0.2365	0.0014	0.4941	
-0.2363	0.0022	0.4946	
-0.2367	0.0011	0.4942	
-0.2366	0.0017	0.4947	
-0.2365	0.0020	0.4949	
-0.2368	0.0014	0.4948	
-0.2368	0.0014	0.4950	
-0.2366	0.0022	0.4954	
-0.2366	0.0024	0.4956	
-0.2368	0.0020	0.4955	
-0.2370	0.0015	0.4954	
-0.2370	0.0018	0.4956	
-0.2368	0.0023	0.4958	
-0.2368	0.0022	0.4958	
-0.2371	0.0017	0.4957	
-0.2371	0.0015	0.4956	
-0.2372	0.0012	0.4955	
-0.2369	0.0025	0.4962	
-0.2368	0.0027	0.4963	
-0.2373	0.0010	0.4955	
-0.2369	0.0028	0.4965	
-0.2372	0.0016	0.4959	
