Loss_Adversary	Loss_Target	
-0.3064	0.1324	0.8153	
-0.3064	0.1146	0.7948	
-0.3059	0.1007	0.7774	
-0.3061	0.1077	0.7862	
-0.3062	0.1385	0.8219	
-0.3052	0.0889	0.7622	
-0.3064	0.1332	0.8162	
-0.3059	0.0990	0.7755	
-0.3069	0.1142	0.7952	
-0.3070	0.1302	0.8140	
-0.3061	0.1009	0.7781	
-0.3053	0.1597	0.8447	
-0.3057	0.0935	0.7687	
-0.3069	0.1272	0.8105	
-0.3064	0.1035	0.7818	
-0.3064	0.1031	0.7813	
-0.3070	0.1261	0.8093	
-0.3067	0.1066	0.7861	
-0.3071	0.1099	0.7907	
-0.3069	0.1123	0.7932	
-0.3062	0.0968	0.7737	
-0.3065	0.1454	0.8305	
-0.3053	0.0837	0.7564	
-0.3071	0.1335	0.8181	
-0.3069	0.1135	0.7945	
-0.3065	0.1063	0.7853	
-0.3066	0.1293	0.8122	
-0.3062	0.1022	0.7799	
-0.3069	0.1160	0.7973	
-0.3071	0.1168	0.7989	
-0.3070	0.1103	0.7911	
-0.3070	0.1286	0.8122	
-0.3067	0.1024	0.7811	
-0.3072	0.1167	0.7989	
-0.3069	0.1051	0.7847	
-0.3070	0.1083	0.7887	
-0.3073	0.1195	0.8023	
-0.3073	0.1119	0.7935	
-0.3070	0.1058	0.7859	
-0.3073	0.1204	0.8034	
-0.3061	0.0936	0.7697	
-0.3066	0.1464	0.8320	
-0.3068	0.1037	0.7829	
-0.3072	0.1138	0.7955	
-0.3070	0.1434	0.8295	
-0.3070	0.1028	0.7824	
-0.3070	0.1458	0.8321	
-0.3069	0.1005	0.7794	
-0.3075	0.1294	0.8141	
-0.3072	0.1080	0.7888	
-0.3073	0.1180	0.8006	
-0.3071	0.1031	0.7829	
-0.3075	0.1126	0.7947	
-0.3074	0.1101	0.7916	
-0.3072	0.1117	0.7932	
-0.3075	0.1265	0.8109	
-0.3070	0.1014	0.7807	
-0.3077	0.1180	0.8014	
-0.3076	0.1135	0.7961	
-0.3067	0.0973	0.7751	
-0.3074	0.1186	0.8016	
-0.3070	0.1010	0.7803	
-0.3074	0.1094	0.7908	
-0.3075	0.1238	0.8077	
-0.3069	0.1011	0.7802	
-0.3074	0.1017	0.7819	
-0.3078	0.1145	0.7975	
-0.3077	0.1057	0.7871	
-0.3077	0.1124	0.7949	
-0.3073	0.1040	0.7844	
-0.3075	0.1191	0.8024	
-0.3074	0.1067	0.7876	
-0.3069	0.0997	0.7785	
-0.3072	0.1433	0.8297	
-0.3069	0.0992	0.7780	
-0.3077	0.1185	0.8021	
-0.3068	0.0965	0.7746	
-0.3076	0.1174	0.8006	
-0.3078	0.1138	0.7967	
-0.3077	0.1109	0.7932	
-0.3071	0.0987	0.7778	
-0.3078	0.1283	0.8136	
-0.3077	0.1057	0.7871	
-0.3077	0.1114	0.7938	
-0.3076	0.1052	0.7863	
-0.3075	0.1016	0.7820	
-0.3075	0.1287	0.8134	
-0.3071	0.0961	0.7747	
-0.3078	0.1087	0.7908	
-0.3076	0.1088	0.7905	
-0.3070	0.1012	0.7805	
-0.3078	0.1292	0.8147	
-0.3071	0.0924	0.7704	
-0.3079	0.1180	0.8019	
-0.3071	0.0989	0.7780	
-0.3079	0.1156	0.7991	
-0.3074	0.0983	0.7779	
-0.3077	0.1193	0.8029	
-0.3075	0.1047	0.7856	
-0.3079	0.1237	0.8084	
-0.3077	0.1095	0.7915	
-0.3078	0.1055	0.7871	
-0.3080	0.1247	0.8098	
-0.3075	0.1043	0.7851	
-0.3080	0.1288	0.8146	
-0.3075	0.0998	0.7800	
-0.3082	0.1157	0.7998	
-0.3080	0.1174	0.8013	
-0.3075	0.1023	0.7827	
-0.3080	0.1212	0.8060	
-0.3077	0.1073	0.7890	
-0.3080	0.1228	0.8077	
-0.3079	0.1047	0.7865	
-0.3082	0.1240	0.8095	
-0.3073	0.0987	0.7783	
-0.3081	0.1215	0.8063	
-0.3076	0.1157	0.7987	
-0.3081	0.1071	0.7897	
-0.3081	0.1329	0.8197	
-0.3070	0.0878	0.7649	
-0.3081	0.1229	0.8080	
