Loss_Adversary	Loss_Target	
-0.0866	0.2412	0.4684	
-0.1174	0.1966	0.4831	
-0.1400	0.1613	0.4909	
-0.1567	0.1336	0.4947	
-0.1696	0.1104	0.4956	
-0.1797	0.0913	0.4953	
-0.1879	0.0750	0.4941	
-0.1948	0.0611	0.4929	
-0.2008	0.0505	0.4935	
-0.2059	0.0415	0.4941	
-0.2101	0.0341	0.4944	
-0.2137	0.0284	0.4956	
-0.2166	0.0242	0.4970	
-0.2187	0.0205	0.4973	
-0.2200	0.0178	0.4970	
-0.2209	0.0158	0.4966	
-0.2217	0.0142	0.4965	
-0.2222	0.0130	0.4962	
-0.2226	0.0121	0.4959	
-0.2229	0.0113	0.4957	
-0.2232	0.0106	0.4954	
-0.2234	0.0098	0.4949	
-0.2235	0.0093	0.4946	
-0.2237	0.0088	0.4944	
-0.2238	0.0083	0.4942	
-0.2240	0.0079	0.4941	
-0.2242	0.0076	0.4941	
-0.2243	0.0073	0.4940	
-0.2244	0.0069	0.4938	
-0.2246	0.0065	0.4937	
-0.2247	0.0062	0.4935	
-0.2247	0.0059	0.4933	
-0.2248	0.0057	0.4933	
-0.2249	0.0056	0.4932	
-0.2250	0.0053	0.4932	
-0.2250	0.0052	0.4931	
-0.2251	0.0051	0.4931	
-0.2251	0.0049	0.4930	
-0.2252	0.0048	0.4930	
-0.2253	0.0046	0.4930	
-0.2253	0.0045	0.4930	
-0.2253	0.0044	0.4929	
-0.2254	0.0044	0.4929	
-0.2254	0.0042	0.4929	
-0.2255	0.0042	0.4928	
-0.2256	0.0040	0.4929	
-0.2256	0.0039	0.4929	
-0.2257	0.0038	0.4929	
-0.2257	0.0038	0.4929	
-0.2257	0.0038	0.4929	
-0.2257	0.0037	0.4930	
-0.2259	0.0035	0.4930	
-0.2259	0.0034	0.4930	
-0.2260	0.0034	0.4931	
-0.2261	0.0033	0.4932	
-0.2262	0.0032	0.4932	
-0.2263	0.0031	0.4933	
-0.2263	0.0031	0.4934	
-0.2264	0.0030	0.4935	
-0.2264	0.0031	0.4937	
-0.2265	0.0031	0.4938	
-0.2265	0.0031	0.4939	
-0.2267	0.0028	0.4940	
-0.2268	0.0028	0.4941	
-0.2268	0.0028	0.4942	
-0.2268	0.0028	0.4942	
-0.2269	0.0028	0.4943	
-0.2270	0.0027	0.4944	
-0.2271	0.0026	0.4945	
-0.2271	0.0026	0.4946	
-0.2272	0.0025	0.4946	
-0.2272	0.0024	0.4946	
-0.2272	0.0025	0.4947	
-0.2273	0.0024	0.4947	
-0.2272	0.0026	0.4948	
-0.2273	0.0024	0.4949	
-0.2274	0.0024	0.4949	
-0.2274	0.0023	0.4950	
-0.2275	0.0023	0.4950	
-0.2275	0.0023	0.4951	
-0.2275	0.0023	0.4951	
-0.2275	0.0023	0.4952	
-0.2276	0.0022	0.4952	
-0.2276	0.0023	0.4952	
-0.2277	0.0021	0.4952	
-0.2277	0.0021	0.4953	
-0.2278	0.0020	0.4953	
-0.2278	0.0020	0.4953	
-0.2278	0.0021	0.4954	
-0.2278	0.0021	0.4955	
-0.2277	0.0023	0.4955	
-0.2277	0.0023	0.4956	
-0.2278	0.0021	0.4956	
-0.2279	0.0020	0.4955	
-0.2279	0.0019	0.4955	
-0.2279	0.0020	0.4956	
-0.2279	0.0019	0.4956	
-0.2279	0.0020	0.4957	
-0.2279	0.0020	0.4957	
-0.2280	0.0019	0.4957	
-0.2280	0.0019	0.4957	
-0.2280	0.0019	0.4958	
-0.2281	0.0019	0.4958	
-0.2280	0.0020	0.4959	
-0.2280	0.0019	0.4958	
-0.2281	0.0019	0.4959	
-0.2281	0.0018	0.4959	
-0.2282	0.0017	0.4959	
-0.2282	0.0016	0.4959	
-0.2282	0.0016	0.4959	
-0.2282	0.0018	0.4959	
-0.2280	0.0021	0.4961	
-0.2281	0.0019	0.4960	
-0.2282	0.0018	0.4960	
-0.2282	0.0017	0.4960	
-0.2283	0.0016	0.4960	
-0.2283	0.0017	0.4960	
-0.2282	0.0018	0.4961	
-0.2283	0.0017	0.4961	
-0.2282	0.0019	0.4961	
-0.2283	0.0017	0.4961	
-0.2283	0.0016	0.4961	
-0.2283	0.0016	0.4961	
-0.2283	0.0017	0.4962	
-0.2283	0.0017	0.4961	
-0.2283	0.0017	0.4962	
-0.2283	0.0017	0.4962	
-0.2283	0.0017	0.4962	
-0.2283	0.0018	0.4962	
-0.2283	0.0017	0.4962	
-0.2284	0.0015	0.4961	
-0.2284	0.0015	0.4961	
-0.2283	0.0017	0.4962	
-0.2284	0.0016	0.4961	
-0.2284	0.0016	0.4961	
-0.2284	0.0016	0.4962	
-0.2283	0.0017	0.4962	
-0.2283	0.0017	0.4962	
-0.2283	0.0017	0.4962	
-0.2284	0.0016	0.4962	
-0.2285	0.0014	0.4961	
-0.2285	0.0014	0.4962	
-0.2284	0.0016	0.4962	
-0.2284	0.0016	0.4962	
-0.2284	0.0017	0.4963	
-0.2285	0.0014	0.4962	
-0.2285	0.0013	0.4962	
-0.2284	0.0016	0.4963	
-0.2284	0.0016	0.4962	
-0.2283	0.0017	0.4962	
-0.2283	0.0017	0.4962	
-0.2283	0.0017	0.4962	
-0.2284	0.0015	0.4962	
-0.2284	0.0015	0.4962	
-0.2284	0.0017	0.4962	
-0.2284	0.0017	0.4962	
-0.2284	0.0016	0.4962	
-0.2284	0.0015	0.4962	
-0.2284	0.0015	0.4962	
-0.2284	0.0016	0.4963	
-0.2284	0.0016	0.4963	
-0.2284	0.0016	0.4963	
-0.2283	0.0018	0.4963	
-0.2284	0.0017	0.4963	
-0.2285	0.0015	0.4963	
-0.2285	0.0015	0.4963	
-0.2285	0.0014	0.4962	
-0.2285	0.0014	0.4962	
-0.2285	0.0013	0.4962	
-0.2285	0.0015	0.4962	
-0.2285	0.0013	0.4962	
-0.2285	0.0014	0.4962	
-0.2285	0.0014	0.4963	
-0.2285	0.0015	0.4963	
-0.2284	0.0016	0.4963	
-0.2285	0.0015	0.4963	
-0.2285	0.0014	0.4963	
-0.2286	0.0013	0.4963	
-0.2285	0.0014	0.4963	
-0.2285	0.0016	0.4964	
-0.2285	0.0016	0.4964	
-0.2284	0.0016	0.4964	
-0.2284	0.0016	0.4964	
-0.2285	0.0015	0.4963	
-0.2285	0.0016	0.4964	
-0.2285	0.0016	0.4964	
-0.2285	0.0016	0.4964	
-0.2285	0.0016	0.4964	
-0.2285	0.0015	0.4963	
-0.2285	0.0014	0.4963	
-0.2285	0.0015	0.4964	
-0.2285	0.0014	0.4963	
-0.2286	0.0013	0.4962	
-0.2285	0.0015	0.4963	
-0.2284	0.0017	0.4964	
-0.2285	0.0015	0.4963	
-0.2285	0.0014	0.4962	
-0.2285	0.0015	0.4963	
-0.2284	0.0017	0.4964	
-0.2285	0.0015	0.4963	
-0.2286	0.0013	0.4962	
-0.2286	0.0013	0.4962	
-0.2286	0.0013	0.4962	
-0.2286	0.0012	0.4962	
-0.2285	0.0015	0.4963	
-0.2284	0.0018	0.4964	
-0.2285	0.0017	0.4964	
-0.2285	0.0015	0.4964	
-0.2286	0.0014	0.4964	
-0.2286	0.0013	0.4963	
-0.2285	0.0015	0.4964	
-0.2285	0.0015	0.4963	
-0.2285	0.0014	0.4963	
-0.2286	0.0013	0.4963	
-0.2285	0.0016	0.4964	
-0.2286	0.0014	0.4964	
-0.2286	0.0013	0.4964	
-0.2285	0.0016	0.4964	
-0.2285	0.0016	0.4964	
-0.2285	0.0016	0.4964	
-0.2285	0.0015	0.4964	
-0.2285	0.0017	0.4965	
-0.2285	0.0017	0.4965	
-0.2285	0.0016	0.4964	
-0.2285	0.0015	0.4964	
-0.2285	0.0015	0.4964	
-0.2285	0.0015	0.4964	
-0.2285	0.0016	0.4964	
-0.2284	0.0019	0.4965	
-0.2285	0.0015	0.4964	
