Loss_Adversary	Loss_Target	
-0.1496	0.2443	0.4718	
-0.1792	0.2062	0.4945	
-0.2022	0.1830	0.5174	
-0.2205	0.1732	0.5426	
-0.2362	0.1750	0.5726	
-0.2501	0.1856	0.6066	
-0.2632	0.2024	0.6441	
-0.2760	0.2249	0.6858	
-0.2886	0.2528	0.7315	
-0.3001	0.2815	0.7760	
-0.3104	0.3088	0.8171	
-0.3195	0.3338	0.8540	
-0.3274	0.3548	0.8855	
-0.3347	0.3700	0.9113	
-0.3401	0.3790	0.9284	
-0.3441	0.3829	0.9389	
-0.3461	0.3873	0.9462	
-0.3475	0.3916	0.9523	
-0.3486	0.3952	0.9573	
-0.3496	0.3976	0.9609	
-0.3503	0.3993	0.9636	
-0.3509	0.4004	0.9656	
-0.3515	0.4011	0.9673	
-0.3520	0.4017	0.9686	
-0.3525	0.4020	0.9698	
-0.3529	0.4023	0.9708	
-0.3534	0.4025	0.9718	
-0.3538	0.4025	0.9726	
-0.3542	0.4026	0.9733	
-0.3545	0.4025	0.9739	
-0.3548	0.4025	0.9745	
-0.3552	0.4024	0.9751	
-0.3556	0.4023	0.9756	
-0.3559	0.4021	0.9761	
-0.3562	0.4018	0.9764	
-0.3565	0.4015	0.9767	
-0.3569	0.4010	0.9770	
-0.3573	0.4006	0.9773	
-0.3576	0.4001	0.9775	
-0.3579	0.3996	0.9777	
-0.3582	0.3990	0.9777	
-0.3585	0.3984	0.9778	
-0.3588	0.3978	0.9778	
-0.3591	0.3970	0.9778	
-0.3594	0.3962	0.9776	
-0.3597	0.3954	0.9776	
-0.3600	0.3946	0.9774	
-0.3603	0.3936	0.9771	
-0.3606	0.3927	0.9769	
-0.3609	0.3916	0.9766	
-0.3612	0.3905	0.9763	
-0.3615	0.3893	0.9758	
-0.3617	0.3884	0.9754	
-0.3620	0.3869	0.9748	
-0.3623	0.3857	0.9744	
-0.3626	0.3845	0.9738	
-0.3628	0.3832	0.9733	
-0.3632	0.3818	0.9728	
-0.3635	0.3806	0.9722	
-0.3637	0.3795	0.9717	
-0.3639	0.3781	0.9710	
-0.3643	0.3767	0.9705	
-0.3645	0.3756	0.9700	
-0.3646	0.3744	0.9692	
-0.3648	0.3734	0.9688	
-0.3651	0.3721	0.9683	
-0.3653	0.3705	0.9674	
-0.3655	0.3696	0.9670	
-0.3658	0.3682	0.9663	
-0.3659	0.3670	0.9655	
-0.3661	0.3657	0.9649	
-0.3663	0.3647	0.9644	
-0.3663	0.3642	0.9639	
-0.3666	0.3627	0.9633	
-0.3667	0.3619	0.9629	
-0.3670	0.3609	0.9626	
-0.3672	0.3600	0.9621	
-0.3673	0.3595	0.9619	
-0.3674	0.3586	0.9615	
-0.3675	0.3577	0.9609	
-0.3677	0.3570	0.9607	
-0.3679	0.3562	0.9604	
-0.3680	0.3552	0.9598	
-0.3681	0.3553	0.9600	
-0.3683	0.3544	0.9596	
-0.3685	0.3537	0.9594	
-0.3686	0.3533	0.9593	
-0.3688	0.3526	0.9590	
-0.3689	0.3519	0.9587	
-0.3691	0.3519	0.9590	
-0.3691	0.3515	0.9587	
-0.3694	0.3509	0.9586	
-0.3694	0.3508	0.9587	
-0.3696	0.3500	0.9583	
-0.3698	0.3499	0.9586	
-0.3700	0.3492	0.9585	
-0.3702	0.3485	0.9581	
-0.3703	0.3478	0.9579	
-0.3705	0.3472	0.9578	
-0.3707	0.3471	0.9580	
-0.3709	0.3461	0.9576	
-0.3710	0.3458	0.9575	
-0.3713	0.3451	0.9575	
-0.3716	0.3445	0.9574	
-0.3718	0.3435	0.9571	
-0.3720	0.3428	0.9569	
-0.3723	0.3427	0.9573	
-0.3726	0.3413	0.9567	
-0.3730	0.3403	0.9566	
-0.3732	0.3393	0.9562	
-0.3735	0.3386	0.9561	
-0.3737	0.3382	0.9561	
-0.3741	0.3366	0.9556	
-0.3745	0.3355	0.9554	
-0.3748	0.3339	0.9547	
-0.3752	0.3329	0.9545	
-0.3755	0.3323	0.9545	
-0.3757	0.3316	0.9545	
