Loss_A	Loss_T	Accuracy_A	Accuracy_T	
0.2792	0.1332	60.2000	51.5000	
0.2564	0.1111	60.5000	61.5000	
0.2454	0.0963	62.1000	65.6000	
0.2467	0.0860	57.8000	69.6000	
0.2458	0.0762	58.4000	71.4000	
0.2433	0.0697	61.3000	72.3000	
0.2415	0.0644	61.2000	71.7000	
0.2401	0.0597	61.5000	70.9000	
0.2393	0.0554	60.9000	70.4000	
0.2386	0.0516	61.2000	71.2000	
0.2377	0.0483	61.3000	71.2000	
0.2371	0.0453	60.8000	71.5000	
0.2369	0.0427	61.9000	72.0000	
0.2364	0.0404	61.1000	72.4000	
0.2359	0.0385	61.9000	72.5000	
0.2359	0.0370	61.0000	72.3000	
0.2356	0.0358	60.9000	72.1000	
0.2353	0.0348	61.0000	72.5000	
0.2349	0.0339	61.5000	72.6000	
0.2345	0.0333	61.5000	72.9000	
0.2345	0.0329	60.8000	72.9000	
0.2344	0.0326	61.4000	73.3000	
0.2342	0.0324	60.8000	73.4000	
0.2339	0.0322	60.9000	73.3000	
0.2341	0.0321	61.0000	73.5000	
0.2341	0.0320	61.1000	73.4000	
0.2339	0.0318	61.0000	73.7000	
0.2339	0.0318	61.2000	73.7000	
0.2337	0.0317	61.4000	73.8000	
0.2338	0.0317	61.6000	74.3000	
0.2339	0.0315	60.9000	73.9000	
0.2340	0.0315	62.0000	73.7000	
0.2337	0.0315	61.2000	73.9000	
0.2336	0.0315	61.4000	73.8000	
0.2337	0.0314	62.0000	73.9000	
0.2340	0.0314	62.1000	74.2000	
0.2337	0.0314	61.5000	74.3000	
0.2340	0.0317	62.3000	73.9000	
0.2337	0.0316	61.9000	74.0000	
0.2340	0.0313	61.3000	74.1000	
0.2338	0.0315	61.0000	73.9000	
0.2339	0.0313	61.6000	74.2000	
0.2337	0.0313	61.0000	74.0000	
0.2339	0.0313	61.1000	74.0000	
0.2335	0.0313	61.0000	74.4000	
0.2342	0.0312	61.3000	74.6000	
0.2336	0.0311	61.5000	74.4000	
0.2337	0.0311	61.4000	74.4000	
0.2335	0.0311	61.8000	74.0000	
0.2335	0.0311	61.6000	74.2000	
0.2335	0.0310	61.7000	74.2000	
0.2336	0.0310	61.5000	74.4000	
0.2335	0.0310	61.4000	74.4000	
0.2335	0.0310	61.4000	74.4000	
0.2335	0.0310	61.2000	74.2000	
0.2335	0.0310	61.2000	74.2000	
0.2335	0.0310	61.2000	74.4000	
0.2336	0.0310	61.2000	74.2000	
0.2335	0.0310	61.4000	74.3000	
0.2336	0.0310	61.2000	74.4000	
0.2336	0.0310	61.3000	74.3000	
0.2335	0.0310	61.2000	74.1000	
0.2335	0.0310	61.4000	74.4000	
0.2336	0.0310	61.4000	74.3000	
0.2336	0.0310	61.3000	74.3000	
0.2336	0.0310	61.2000	74.2000	
0.2335	0.0310	61.1000	74.2000	
0.2335	0.0310	61.1000	74.4000	
0.2335	0.0310	61.4000	74.3000	
0.2335	0.0310	61.3000	74.2000	
0.2335	0.0310	61.0000	74.3000	
0.2335	0.0310	61.5000	74.3000	
0.2336	0.0310	61.3000	74.3000	
0.2335	0.0310	61.4000	74.3000	
0.2335	0.0310	61.2000	74.3000	
0.2335	0.0310	61.2000	74.3000	
0.2335	0.0310	61.0000	74.3000	
0.2335	0.0310	61.2000	74.3000	
0.2337	0.0310	61.6000	74.4000	
0.2335	0.0310	61.1000	74.0000	
0.2335	0.0310	61.2000	74.4000	
0.2335	0.0310	61.1000	74.4000	
0.2335	0.0310	61.2000	74.2000	
0.2335	0.0310	61.2000	74.3000	
0.2335	0.0310	61.2000	74.3000	
0.2335	0.0310	61.3000	74.3000	
0.2335	0.0310	61.1000	74.3000	
0.2335	0.0310	61.1000	74.2000	
0.2335	0.0310	61.4000	74.3000	
0.2335	0.0310	61.3000	74.4000	
0.2335	0.0310	61.3000	74.4000	
0.2336	0.0310	61.2000	74.3000	
0.2335	0.0310	61.0000	74.2000	
0.2335	0.0310	61.2000	74.3000	
0.2335	0.0310	61.3000	74.3000	
0.2335	0.0310	61.4000	74.4000	
0.2335	0.0310	61.3000	74.3000	
0.2335	0.0310	61.2000	74.3000	
0.2335	0.0310	61.3000	74.4000	
0.2335	0.0310	61.0000	74.3000	
0.2336	0.0310	61.0000	74.4000	
0.2335	0.0310	61.3000	74.3000	
0.2336	0.0310	61.2000	74.3000	
0.2335	0.0310	61.2000	74.4000	
0.2335	0.0310	61.3000	74.3000	
0.2335	0.0310	61.3000	74.3000	
0.2335	0.0310	61.3000	74.3000	
0.2335	0.0310	61.0000	74.4000	
0.2335	0.0310	61.0000	74.3000	
0.2335	0.0310	60.9000	74.3000	
0.2335	0.0310	61.2000	74.3000	
0.2335	0.0310	61.3000	74.2000	
0.2335	0.0310	61.2000	74.3000	
0.2335	0.0310	61.3000	74.3000	
0.2335	0.0309	61.4000	74.4000	
0.2335	0.0310	61.2000	74.3000	
0.2335	0.0310	61.1000	74.3000	
0.2335	0.0310	61.1000	74.4000	
0.2335	0.0310	61.0000	74.3000	
0.2335	0.0310	61.3000	74.4000	
0.2335	0.0309	61.3000	74.2000	
0.2335	0.0309	61.3000	74.4000	
0.2335	0.0309	61.3000	74.3000	
0.2334	0.0309	61.3000	74.3000	
0.2335	0.0309	61.3000	74.3000	
0.2335	0.0310	61.2000	74.3000	
0.2335	0.0309	61.2000	74.2000	
0.2334	0.0309	61.3000	74.4000	
0.2334	0.0309	61.0000	74.3000	
0.2334	0.0309	61.3000	74.3000	
0.2334	0.0309	61.3000	74.4000	
0.2335	0.0309	61.0000	74.2000	
0.2334	0.0309	61.2000	74.3000	
0.2334	0.0309	61.3000	74.4000	
0.2334	0.0309	61.2000	74.3000	
0.2335	0.0309	61.1000	74.3000	
0.2335	0.0309	61.0000	74.3000	
0.2334	0.0309	61.3000	74.3000	
0.2334	0.0309	61.1000	74.4000	
0.2334	0.0309	61.0000	74.2000	
0.2334	0.0309	61.4000	74.3000	
0.2334	0.0309	61.0000	74.4000	
0.2335	0.0309	61.0000	74.3000	
0.2334	0.0309	61.2000	74.2000	
0.2334	0.0309	61.0000	74.3000	
0.2334	0.0309	61.3000	74.3000	
0.2334	0.0309	61.2000	74.2000	
0.2335	0.0309	61.3000	74.3000	
0.2334	0.0309	61.0000	74.2000	
0.2333	0.0309	61.0000	74.4000	
0.2334	0.0309	61.1000	74.3000	
0.2334	0.0309	61.0000	74.2000	
0.2334	0.0309	61.0000	74.3000	
0.2335	0.0309	61.0000	74.4000	
0.2334	0.0309	61.0000	74.2000	
0.2334	0.0309	61.0000	74.3000	
0.2334	0.0309	61.0000	74.3000	
0.2333	0.0309	61.4000	74.3000	
0.2334	0.0309	61.1000	74.3000	
0.2334	0.0309	61.1000	74.2000	
0.2334	0.0309	60.9000	74.4000	
0.2334	0.0309	60.9000	74.2000	
0.2334	0.0309	60.9000	74.2000	
0.2333	0.0309	61.4000	74.3000	
0.2334	0.0309	60.9000	74.4000	
0.2334	0.0309	60.9000	74.3000	
0.2334	0.0309	60.9000	74.3000	
0.2333	0.0309	61.3000	74.2000	
0.2334	0.0309	61.0000	74.3000	
0.2334	0.0309	61.0000	74.2000	
0.2334	0.0309	61.0000	74.3000	
0.2334	0.0309	60.9000	74.3000	
0.2333	0.0309	61.2000	74.3000	
0.2333	0.0309	61.2000	74.3000	
0.2334	0.0309	61.1000	74.3000	
0.2334	0.0309	61.0000	74.2000	
0.2334	0.0309	61.0000	74.2000	
0.2333	0.0309	60.9000	74.3000	
0.2334	0.0309	61.0000	74.3000	
0.2334	0.0309	61.0000	74.3000	
0.2334	0.0309	61.0000	74.2000	
0.2334	0.0309	61.0000	74.3000	
0.2334	0.0309	61.1000	74.2000	
0.2334	0.0309	61.1000	74.2000	
0.2333	0.0309	61.1000	74.3000	
0.2333	0.0309	61.1000	74.3000	
0.2333	0.0309	60.9000	74.3000	
0.2333	0.0309	60.9000	74.1000	
0.2334	0.0309	61.1000	74.3000	
0.2334	0.0309	60.8000	74.3000	
0.2333	0.0309	61.2000	74.2000	
0.2333	0.0309	60.9000	74.3000	
0.2333	0.0309	61.1000	74.3000	
0.2333	0.0309	60.9000	74.3000	
0.2333	0.0309	60.9000	74.3000	
0.2333	0.0309	61.0000	74.3000	
0.2333	0.0309	60.9000	74.3000	
0.2333	0.0309	60.9000	74.2000	
0.2333	0.0309	60.9000	74.4000	
0.2334	0.0309	61.0000	74.3000	
