Loss_A	Loss_T	Accuracy_A	Accuracy_T	
0.4994	0.1880	50.7250	58.6750	
0.4348	0.1516	50.0000	50.7250	
0.3839	0.1306	50.0000	50.0250	
0.3381	0.1188	50.0000	50.0000	
0.2996	0.1088	50.0000	50.0000	
0.2702	0.0991	50.0000	50.0000	
0.2501	0.0906	50.0000	50.0000	
0.2393	0.0831	50.0000	50.1250	
0.2340	0.0765	50.0000	51.0250	
0.2306	0.0705	50.0000	53.0500	
0.2280	0.0653	54.5000	56.4250	
0.2252	0.0608	65.3500	59.7500	
0.2226	0.0568	67.6500	61.9500	
0.2201	0.0534	68.5000	63.1750	
0.2179	0.0504	68.9500	64.9250	
0.2157	0.0478	69.4250	65.1750	
0.2135	0.0455	69.9250	64.4000	
0.2116	0.0434	70.4000	63.9750	
0.2098	0.0415	69.8000	63.3750	
0.2077	0.0396	71.4500	62.6750	
0.2058	0.0379	70.8750	62.2250	
0.2041	0.0363	70.9500	62.0000	
0.2023	0.0348	71.0000	61.6250	
0.2006	0.0333	71.1750	61.8500	
0.1990	0.0318	71.1500	61.9500	
0.1976	0.0305	71.5500	61.8500	
0.1961	0.0292	71.2250	62.5000	
0.1946	0.0279	71.5500	62.7500	
0.1934	0.0267	71.4000	63.2000	
0.1922	0.0255	71.2500	63.5000	
0.1910	0.0244	71.6750	63.5750	
0.1901	0.0232	71.4500	63.8500	
0.1890	0.0222	71.6750	63.9500	
0.1880	0.0212	72.0250	64.1250	
0.1871	0.0202	71.6750	64.5250	
0.1863	0.0193	71.7000	64.8000	
0.1854	0.0184	71.6750	65.0000	
0.1849	0.0176	71.5500	65.1750	
0.1840	0.0168	71.6500	65.7000	
0.1833	0.0160	71.7250	65.8750	
0.1827	0.0153	71.4750	66.1500	
0.1823	0.0147	71.7000	66.2750	
0.1816	0.0141	71.6250	66.7000	
0.1810	0.0135	71.6750	66.9250	
0.1804	0.0129	71.8500	67.4250	
0.1798	0.0124	71.9500	67.3000	
0.1794	0.0119	71.7250	67.7500	
0.1792	0.0115	71.8250	67.9500	
0.1786	0.0110	72.0250	68.2250	
0.1783	0.0107	71.6500	68.5250	
0.1780	0.0104	71.8000	68.5250	
0.1779	0.0104	71.8250	68.4750	
0.1779	0.0103	71.7750	68.4000	
0.1778	0.0103	71.8500	68.5250	
0.1778	0.0103	71.8500	68.5250	
0.1778	0.0102	71.8500	68.5750	
0.1777	0.0102	71.8750	68.5750	
0.1777	0.0102	71.8250	68.6000	
0.1777	0.0101	71.8250	68.6250	
0.1776	0.0101	71.9000	68.5500	
0.1776	0.0101	71.8500	68.6000	
0.1776	0.0100	71.8750	68.5750	
0.1775	0.0100	71.8000	68.5750	
0.1775	0.0100	71.8250	68.5750	
0.1775	0.0099	71.8750	68.6000	
0.1775	0.0099	71.9750	68.6750	
0.1774	0.0099	71.9250	68.6750	
0.1774	0.0098	71.8750	68.7250	
0.1773	0.0098	71.8750	68.7250	
0.1773	0.0098	71.8500	68.7250	
0.1773	0.0097	71.8500	68.7250	
0.1773	0.0097	71.9500	68.7500	
0.1772	0.0096	71.8750	68.7500	
0.1772	0.0096	71.9000	68.7500	
0.1772	0.0096	71.9250	68.7500	
0.1771	0.0095	71.9250	68.8250	
0.1771	0.0095	71.8500	68.8000	
0.1771	0.0095	71.9000	68.8500	
0.1770	0.0094	71.8500	68.9000	
0.1770	0.0094	71.9000	68.9250	
0.1770	0.0094	71.8500	68.9500	
0.1769	0.0093	71.8500	68.9500	
0.1769	0.0093	71.9000	68.9500	
0.1769	0.0093	71.9750	68.9750	
0.1769	0.0092	71.8750	69.0000	
0.1768	0.0092	71.9000	69.0000	
0.1768	0.0092	71.8500	69.0250	
0.1768	0.0091	71.9500	69.0750	
0.1767	0.0091	71.9000	69.0500	
0.1767	0.0091	71.8500	69.1250	
0.1767	0.0090	71.9500	69.1000	
0.1767	0.0090	71.9000	69.2000	
0.1767	0.0090	71.9000	69.1500	
0.1766	0.0089	71.9250	69.2000	
0.1766	0.0089	72.0250	69.3000	
0.1766	0.0089	71.8750	69.3250	
0.1766	0.0088	71.8750	69.3500	
0.1765	0.0088	71.9250	69.3750	
0.1765	0.0088	71.9500	69.4750	
0.1765	0.0087	72.0000	69.5500	
0.1764	0.0087	71.9000	69.5500	
0.1764	0.0087	71.9500	69.6000	
0.1764	0.0086	72.0250	69.6500	
0.1763	0.0086	71.9500	69.6250	
0.1763	0.0086	71.8750	69.6500	
0.1763	0.0085	71.9250	69.7750	
0.1763	0.0085	71.8500	69.8000	
0.1762	0.0085	71.9250	69.8500	
0.1762	0.0084	72.0000	69.8500	
0.1762	0.0084	71.9250	69.8500	
