Loss_A	Loss_T	Accuracy_A	Accuracy_T	
0.4393	0.1537	56.0000	50.6000	
0.3739	0.1133	50.9000	50.0000	
0.3074	0.0981	56.1000	50.0000	
0.2530	0.0892	68.0000	52.1000	
0.2157	0.0795	70.4000	68.7000	
0.1914	0.0720	73.5000	83.2000	
0.1764	0.0677	73.3000	89.0000	
0.1656	0.0646	72.5000	94.7000	
0.1590	0.0622	72.5000	96.9000	
0.1539	0.0604	72.1000	98.0000	
0.1508	0.0591	71.6000	98.6000	
0.1478	0.0580	72.2000	99.0000	
0.1489	0.0572	71.7000	99.2000	
0.1468	0.0564	71.8000	99.2000	
0.1475	0.0557	72.8000	99.2000	
0.1456	0.0549	71.9000	99.1000	
0.1470	0.0541	72.8000	99.0000	
0.1460	0.0531	72.4000	99.2000	
0.1461	0.0520	72.4000	99.2000	
0.1453	0.0509	72.8000	99.3000	
0.1464	0.0495	73.0000	99.4000	
0.1450	0.0481	72.8000	99.2000	
0.1452	0.0464	72.9000	99.3000	
0.1448	0.0446	73.1000	99.3000	
0.1451	0.0427	73.1000	99.1000	
0.1449	0.0405	73.1000	99.1000	
0.1448	0.0379	73.1000	99.2000	
0.1443	0.0350	73.4000	99.2000	
0.1439	0.0319	73.7000	98.6000	
0.1436	0.0288	73.2000	98.2000	
0.1445	0.0255	73.1000	97.2000	
0.1439	0.0222	73.7000	95.9000	
0.1441	0.0166	73.7000	92.3000	
0.1436	0.0103	73.5000	88.1000	
0.1437	0.0070	73.5000	84.1000	
0.1427	0.0041	73.0000	82.6000	
0.1450	0.0026	73.6000	80.6000	
0.1431	0.0018	72.8000	77.8000	
0.1440	0.0013	73.2000	76.2000	
0.1432	0.0011	73.3000	74.4000	
0.1448	0.0011	73.3000	73.8000	
0.1434	0.0010	73.5000	72.8000	
0.1436	0.0010	73.4000	72.6000	
0.1436	0.0010	73.3000	72.7000	
0.1440	0.0009	73.4000	72.5000	
0.1437	0.0009	73.6000	72.6000	
0.1443	0.0009	73.4000	72.5000	
0.1426	0.0009	73.0000	72.6000	
0.1447	0.0009	73.6000	72.6000	
0.1421	0.0009	73.2000	72.6000	
0.1422	0.0009	73.7000	72.6000	
0.1430	0.0009	72.9000	72.6000	
0.1437	0.0009	73.4000	72.6000	
0.1438	0.0009	73.4000	72.6000	
0.1436	0.0009	73.7000	72.6000	
0.1433	0.0009	73.1000	72.6000	
0.1432	0.0009	73.1000	72.6000	
0.1433	0.0009	73.0000	72.6000	
0.1435	0.0009	73.3000	72.6000	
0.1433	0.0009	73.0000	72.6000	
0.1433	0.0009	73.0000	72.7000	
0.1433	0.0009	73.0000	72.6000	
0.1432	0.0009	73.1000	72.7000	
0.1434	0.0009	73.3000	72.7000	
0.1436	0.0009	73.3000	72.7000	
0.1435	0.0009	73.4000	72.6000	
0.1433	0.0009	73.1000	72.7000	
0.1430	0.0009	73.1000	72.6000	
0.1432	0.0009	73.1000	72.8000	
0.1432	0.0009	73.0000	72.7000	
0.1433	0.0009	73.1000	72.6000	
0.1436	0.0009	73.4000	72.8000	
0.1433	0.0009	73.3000	72.8000	
0.1434	0.0009	73.3000	72.6000	
0.1434	0.0009	73.2000	72.8000	
0.1430	0.0009	73.1000	72.6000	
0.1433	0.0009	73.1000	72.8000	
0.1432	0.0009	73.0000	72.8000	
0.1433	0.0009	73.2000	72.8000	
0.1433	0.0009	73.1000	72.6000	
0.1435	0.0009	73.4000	72.8000	
0.1432	0.0009	73.2000	72.8000	
0.1431	0.0009	73.1000	72.7000	
0.1433	0.0009	73.2000	72.8000	
0.1434	0.0009	73.3000	72.8000	
0.1434	0.0009	73.3000	72.7000	
0.1432	0.0009	73.0000	72.8000	
0.1431	0.0009	73.0000	72.8000	
0.1432	0.0009	72.9000	72.8000	
0.1432	0.0009	73.0000	72.8000	
0.1434	0.0009	73.3000	72.8000	
0.1433	0.0009	73.2000	72.8000	
0.1434	0.0009	73.2000	72.8000	
0.1433	0.0009	73.2000	72.8000	
0.1431	0.0009	73.1000	72.8000	
0.1433	0.0009	73.2000	72.8000	
0.1433	0.0009	73.1000	72.8000	
0.1431	0.0009	73.0000	72.9000	
0.1433	0.0009	73.1000	72.8000	
0.1433	0.0009	73.1000	72.8000	
0.1431	0.0009	73.1000	72.8000	
0.1431	0.0009	73.1000	72.8000	
0.1432	0.0009	72.9000	72.9000	
0.1433	0.0009	73.2000	72.8000	
0.1433	0.0009	73.1000	72.8000	
0.1433	0.0009	73.1000	72.8000	
0.1432	0.0009	72.9000	72.8000	
0.1434	0.0009	73.4000	72.8000	
0.1431	0.0009	73.1000	72.9000	
0.1430	0.0009	73.0000	72.8000	
0.1433	0.0009	73.1000	72.8000	
0.1433	0.0009	73.2000	72.8000	
0.1432	0.0009	73.2000	72.8000	
0.1432	0.0009	73.0000	72.9000	
0.1430	0.0009	73.0000	72.9000	
0.1433	0.0009	73.2000	72.9000	
0.1433	0.0009	73.2000	72.9000	
0.1431	0.0009	73.1000	72.9000	
0.1434	0.0009	73.5000	72.8000	
0.1433	0.0009	73.3000	72.9000	
0.1429	0.0009	72.9000	72.8000	
0.1431	0.0009	73.1000	72.8000	
0.1432	0.0009	73.2000	72.8000	
0.1434	0.0009	73.5000	72.9000	
0.1432	0.0009	73.1000	72.9000	
0.1431	0.0009	72.9000	72.9000	
0.1431	0.0009	73.1000	72.9000	
0.1433	0.0009	73.3000	72.9000	
0.1433	0.0009	73.1000	72.9000	
0.1431	0.0009	72.9000	72.9000	
0.1433	0.0009	73.1000	72.9000	
0.1431	0.0009	73.1000	72.9000	
0.1431	0.0009	73.0000	72.8000	
0.1432	0.0009	73.2000	72.9000	
0.1432	0.0009	73.2000	72.8000	
0.1433	0.0009	73.4000	72.9000	
0.1430	0.0009	73.0000	72.8000	
0.1432	0.0009	73.2000	72.9000	
0.1431	0.0009	73.1000	72.9000	
0.1430	0.0009	73.1000	72.9000	
0.1432	0.0009	73.1000	72.9000	
0.1430	0.0009	73.1000	72.9000	
0.1432	0.0009	73.0000	72.9000	
0.1430	0.0009	73.0000	72.9000	
0.1432	0.0009	73.0000	72.9000	
0.1431	0.0009	73.1000	72.9000	
0.1432	0.0009	73.2000	72.9000	
0.1432	0.0009	73.1000	72.9000	
0.1430	0.0009	73.0000	72.9000	
0.1430	0.0009	72.9000	72.9000	
0.1433	0.0009	73.4000	72.9000	
0.1434	0.0009	73.4000	72.9000	
0.1429	0.0009	73.0000	72.9000	
0.1429	0.0009	73.0000	72.9000	
0.1430	0.0009	73.1000	72.9000	
0.1432	0.0009	73.2000	72.9000	
0.1431	0.0009	73.1000	73.0000	
0.1431	0.0009	73.1000	72.9000	
0.1432	0.0009	73.1000	72.9000	
0.1432	0.0009	73.1000	72.9000	
0.1431	0.0009	73.1000	73.0000	
0.1431	0.0009	73.1000	72.9000	
0.1431	0.0009	73.1000	73.0000	
0.1432	0.0009	73.2000	73.0000	
0.1430	0.0009	73.1000	73.0000	
0.1430	0.0009	73.1000	72.9000	
0.1429	0.0009	73.0000	72.9000	
0.1431	0.0009	73.1000	72.9000	
0.1431	0.0009	73.0000	72.9000	
0.1431	0.0009	73.1000	73.0000	
0.1429	0.0009	73.0000	73.0000	
0.1429	0.0009	72.9000	73.0000	
0.1431	0.0009	73.1000	73.0000	
0.1432	0.0009	73.2000	73.0000	
0.1431	0.0009	73.2000	72.9000	
0.1428	0.0009	73.0000	72.9000	
0.1430	0.0009	73.1000	72.9000	
0.1430	0.0009	73.2000	72.9000	
0.1432	0.0009	73.2000	72.9000	
0.1429	0.0009	72.9000	73.0000	
0.1431	0.0009	73.1000	73.0000	
0.1431	0.0009	73.1000	73.0000	
0.1428	0.0009	73.0000	73.0000	
0.1429	0.0009	73.0000	73.0000	
0.1433	0.0009	73.5000	73.0000	
0.1429	0.0009	72.8000	73.0000	
0.1430	0.0009	73.1000	72.9000	
0.1431	0.0009	73.1000	73.0000	
0.1431	0.0009	73.2000	73.0000	
0.1428	0.0009	73.0000	73.0000	
0.1427	0.0009	72.8000	73.0000	
0.1431	0.0009	73.2000	73.0000	
0.1432	0.0009	73.2000	73.0000	
0.1432	0.0009	73.3000	73.0000	
0.1428	0.0009	73.0000	73.0000	
0.1428	0.0009	73.0000	72.9000	
0.1430	0.0009	73.1000	73.0000	
0.1430	0.0008	73.0000	73.0000	
0.1430	0.0009	73.0000	73.0000	
0.1430	0.0008	73.1000	73.0000	
