Loss_A	Loss_T	Accuracy_A	Accuracy_T	
0.4145	0.1663	50.0000	58.4500	
0.3356	0.1399	50.0000	68.6250	
0.2900	0.1261	50.5750	70.9500	
0.2655	0.1149	55.0500	72.8000	
0.2552	0.1038	57.6750	74.2250	
0.2516	0.0897	57.7500	75.6000	
0.2499	0.0742	57.1250	76.8500	
0.2489	0.0609	57.5250	77.2750	
0.2481	0.0517	58.3250	77.7250	
0.2474	0.0464	58.4500	77.4500	
0.2468	0.0440	58.3750	77.1750	
0.2463	0.0426	58.1500	77.1250	
0.2459	0.0415	58.2750	77.5750	
0.2455	0.0404	58.0500	77.4750	
0.2452	0.0394	57.8000	77.0250	
0.2449	0.0384	57.9750	77.3500	
0.2447	0.0374	57.9500	77.3750	
0.2445	0.0365	58.0750	77.5500	
0.2444	0.0357	58.1500	77.3000	
0.2443	0.0348	58.4500	77.1000	
0.2441	0.0341	57.7250	76.9750	
0.2438	0.0335	58.1250	76.9500	
0.2437	0.0329	57.8750	76.7250	
0.2435	0.0323	58.4000	76.5750	
0.2434	0.0319	58.1500	76.5250	
0.2432	0.0315	58.2750	76.4000	
0.2430	0.0313	58.1500	76.3250	
0.2429	0.0310	58.4000	76.2250	
0.2427	0.0308	58.1250	76.1000	
0.2426	0.0307	58.1250	76.0250	
0.2424	0.0305	58.2500	75.9000	
0.2423	0.0305	58.2500	75.7250	
0.2422	0.0304	58.2500	75.9250	
0.2421	0.0303	58.3500	75.9750	
0.2421	0.0302	58.1750	75.9500	
0.2420	0.0302	58.2000	76.0000	
0.2419	0.0301	58.2750	76.0500	
0.2418	0.0301	58.1750	75.9500	
0.2418	0.0301	58.1000	75.8500	
0.2418	0.0301	57.9750	75.8750	
0.2417	0.0301	58.2000	75.8500	
0.2417	0.0301	58.2750	75.6500	
0.2416	0.0301	58.2000	75.9500	
0.2416	0.0301	57.8500	75.9500	
0.2416	0.0302	58.2500	75.8250	
0.2415	0.0300	58.0500	75.9000	
0.2414	0.0301	58.3500	75.8500	
0.2413	0.0300	58.0500	75.7750	
0.2415	0.0301	58.0500	75.7750	
0.2413	0.0301	57.9250	75.8250	
0.2413	0.0300	58.1500	75.9750	
0.2412	0.0300	58.0750	75.8000	
0.2412	0.0300	58.0750	75.8500	
0.2412	0.0300	58.0250	75.7500	
0.2412	0.0300	58.0250	75.8250	
0.2412	0.0300	58.1000	75.8000	
0.2412	0.0300	58.1500	75.7750	
0.2412	0.0300	58.0750	75.8250	
0.2412	0.0300	58.2000	75.8250	
0.2412	0.0300	58.0750	75.7500	
0.2412	0.0300	58.1000	75.8000	
0.2411	0.0300	58.1750	75.7500	
0.2411	0.0300	58.2000	75.7750	
0.2411	0.0300	58.1750	75.7750	
0.2411	0.0300	58.1250	75.7250	
0.2411	0.0300	58.1750	75.8250	
0.2411	0.0300	58.2250	75.7500	
0.2411	0.0300	58.2250	75.8250	
0.2411	0.0300	58.2250	75.8000	
0.2411	0.0300	58.2000	75.7750	
0.2411	0.0300	58.1250	75.8000	
0.2411	0.0300	58.2000	75.8500	
0.2411	0.0300	58.1250	75.7500	
0.2411	0.0300	58.1250	75.8250	
0.2411	0.0300	58.2750	75.7750	
0.2411	0.0300	58.1250	75.8250	
0.2411	0.0300	58.1750	75.7500	
0.2411	0.0300	58.2000	75.8500	
0.2411	0.0300	58.1250	75.9000	
0.2411	0.0300	58.0750	75.8250	
0.2411	0.0300	58.1250	75.7500	
0.2410	0.0300	58.1250	75.8250	
0.2410	0.0300	58.1750	75.8750	
0.2410	0.0300	58.1250	75.8250	
0.2410	0.0300	58.1500	75.8250	
0.2410	0.0300	58.2000	75.8750	
0.2410	0.0300	58.0500	75.8500	
0.2410	0.0300	58.2000	75.8000	
0.2410	0.0300	58.1500	75.8750	
0.2410	0.0300	58.1500	75.8500	
0.2410	0.0300	58.1750	75.8500	
0.2410	0.0300	58.2250	75.7750	
0.2410	0.0300	58.2250	75.8250	
0.2410	0.0300	58.1500	75.8000	
0.2410	0.0300	58.2000	75.7500	
0.2410	0.0300	58.1500	75.8500	
0.2410	0.0300	58.0500	75.8250	
0.2410	0.0300	58.0500	75.8000	
0.2410	0.0300	57.9750	75.8250	
0.2410	0.0300	58.0500	75.7750	
0.2410	0.0300	58.1250	75.8500	
0.2409	0.0300	58.1750	75.7750	
0.2409	0.0300	58.0500	75.8250	
0.2409	0.0300	58.1250	75.8250	
0.2409	0.0300	58.2000	75.8750	
0.2409	0.0300	58.2500	75.7500	
0.2409	0.0300	57.9500	75.8750	
0.2409	0.0300	58.0500	75.8250	
0.2409	0.0300	58.1000	75.8000	
0.2409	0.0300	57.9500	75.7500	
0.2409	0.0300	58.0000	75.8250	
0.2409	0.0300	58.0750	75.7250	
0.2409	0.0300	58.1750	75.9250	
0.2409	0.0300	58.0000	75.6500	
0.2409	0.0299	58.1000	75.8750	
0.2409	0.0300	58.1000	75.8000	
0.2409	0.0299	58.1750	75.8500	
0.2409	0.0300	58.2000	75.7500	
0.2409	0.0300	58.1000	75.8000	
0.2409	0.0300	58.0000	75.8500	
0.2409	0.0300	58.0750	75.7750	
0.2408	0.0299	58.1500	75.7750	
0.2408	0.0299	58.1500	75.8750	
0.2408	0.0299	58.1500	75.8250	
0.2408	0.0299	58.1000	75.8750	
0.2408	0.0299	58.1500	75.7500	
0.2408	0.0299	58.1250	75.7750	
0.2408	0.0300	58.2000	75.7500	
0.2408	0.0299	58.0000	75.7250	
0.2408	0.0299	58.0500	75.9250	
0.2408	0.0300	58.1500	75.7500	
0.2408	0.0299	58.1500	75.7750	
0.2408	0.0299	58.1500	75.8250	
0.2408	0.0300	58.1750	75.8500	
0.2408	0.0299	58.2000	75.7750	
0.2408	0.0299	58.2000	75.8750	
0.2408	0.0299	58.2500	75.7250	
0.2408	0.0299	58.1500	75.7750	
0.2407	0.0299	58.2250	75.8000	
0.2407	0.0299	57.9750	75.7750	
0.2407	0.0299	57.9500	75.8000	
0.2407	0.0299	57.9500	75.8000	
0.2407	0.0299	58.1500	75.8000	
0.2407	0.0299	57.9750	75.7750	
0.2407	0.0299	58.0250	75.8250	
0.2407	0.0299	58.1250	75.6750	
0.2407	0.0299	58.1250	75.8500	
0.2407	0.0299	58.1250	75.7750	
0.2407	0.0299	58.2500	75.8000	
0.2407	0.0299	58.1500	75.7500	
0.2407	0.0299	58.1000	75.7750	
0.2407	0.0299	57.9750	75.7250	
0.2407	0.0299	58.1750	75.8250	
0.2407	0.0299	58.1500	75.7000	
0.2407	0.0299	58.1500	75.8250	
0.2407	0.0299	58.1000	75.7500	
0.2407	0.0299	58.1250	75.8000	
0.2407	0.0299	58.0500	75.7250	
0.2407	0.0299	57.8750	75.7750	
0.2406	0.0299	58.1250	75.6750	
0.2406	0.0299	58.0250	75.7250	
0.2406	0.0299	57.9000	75.8750	
0.2406	0.0299	57.9000	75.7750	
0.2406	0.0299	58.0250	75.8000	
0.2406	0.0299	58.0250	75.8000	
0.2406	0.0299	58.1250	75.7750	
0.2406	0.0299	58.1000	75.8750	
0.2406	0.0299	58.0750	75.7500	
0.2406	0.0299	57.8750	75.7250	
